Benchmark/1-4          	16976878	        69.84 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4          	17023856	        69.80 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4          	16135369	        69.93 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4          	16843744	        70.20 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4          	16485170	        70.06 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4          	16332663	        69.82 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4          	16522902	        70.58 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4          	16397391	        70.05 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4          	16058347	        69.96 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4          	16279857	        70.39 ns/op	      64 B/op	       2 allocs/op
Benchmark/10-4         	 1699852	       702.5 ns/op	     640 B/op	      20 allocs/op
Benchmark/10-4         	 1689355	       706.4 ns/op	     640 B/op	      20 allocs/op
Benchmark/10-4         	 1705633	       701.2 ns/op	     640 B/op	      20 allocs/op
Benchmark/10-4         	 1665028	       702.7 ns/op	     640 B/op	      20 allocs/op
Benchmark/10-4         	 1701590	       711.6 ns/op	     640 B/op	      20 allocs/op
Benchmark/10-4         	 1690058	       700.7 ns/op	     640 B/op	      20 allocs/op
Benchmark/10-4         	 1704111	       700.2 ns/op	     640 B/op	      20 allocs/op
Benchmark/10-4         	 1707247	       703.8 ns/op	     640 B/op	      20 allocs/op
Benchmark/10-4         	 1712014	       715.4 ns/op	     640 B/op	      20 allocs/op
Benchmark/10-4         	 1460996	       741.5 ns/op	     640 B/op	      20 allocs/op
Benchmark/100-4        	  162200	      7109 ns/op	    6400 B/op	     200 allocs/op
Benchmark/100-4        	  158665	      6987 ns/op	    6400 B/op	     200 allocs/op
Benchmark/100-4        	  170622	      6980 ns/op	    6400 B/op	     200 allocs/op
Benchmark/100-4        	  169363	      7013 ns/op	    6400 B/op	     200 allocs/op
Benchmark/100-4        	  167340	      6975 ns/op	    6400 B/op	     200 allocs/op
Benchmark/100-4        	  165168	      7027 ns/op	    6400 B/op	     200 allocs/op
Benchmark/100-4        	  161988	      6995 ns/op	    6400 B/op	     200 allocs/op
Benchmark/100-4        	  169796	      7068 ns/op	    6400 B/op	     200 allocs/op
Benchmark/100-4        	  163827	      6970 ns/op	    6400 B/op	     200 allocs/op
Benchmark/100-4        	  162830	      6955 ns/op	    6400 B/op	     200 allocs/op
Benchmark/1000-4       	   17258	     69815 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/1000-4       	   17208	     69600 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/1000-4       	   17242	     69274 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/1000-4       	   17083	     69451 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/1000-4       	   17235	     73540 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/1000-4       	   17086	     69046 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/1000-4       	   17190	     69011 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/1000-4       	   17089	     69122 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/1000-4       	   17220	     69527 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/1000-4       	   17115	     69150 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/10000-4      	    1680	    695684 ns/op	  640003 B/op	   20000 allocs/op
Benchmark/10000-4      	    1704	    694607 ns/op	  640002 B/op	   20000 allocs/op
Benchmark/10000-4      	    1719	    698254 ns/op	  640002 B/op	   20000 allocs/op
Benchmark/10000-4      	    1658	    694418 ns/op	  640002 B/op	   20000 allocs/op
Benchmark/10000-4      	    1699	    708762 ns/op	  640002 B/op	   20000 allocs/op
Benchmark/10000-4      	    1723	    696640 ns/op	  640003 B/op	   20000 allocs/op
Benchmark/10000-4      	    1701	    694493 ns/op	  640003 B/op	   20000 allocs/op
Benchmark/10000-4      	    1706	    695205 ns/op	  640002 B/op	   20000 allocs/op
Benchmark/10000-4      	    1701	    696088 ns/op	  640002 B/op	   20000 allocs/op
Benchmark/10000-4      	    1689	    693523 ns/op	  640002 B/op	   20000 allocs/op
Benchmark/100000-4     	     171	   6922411 ns/op	 6400024 B/op	  200000 allocs/op
Benchmark/100000-4     	     170	   6903564 ns/op	 6400032 B/op	  200000 allocs/op
Benchmark/100000-4     	     170	   6942375 ns/op	 6400019 B/op	  200000 allocs/op
Benchmark/100000-4     	     170	   6937165 ns/op	 6400025 B/op	  200000 allocs/op
Benchmark/100000-4     	     170	   6904111 ns/op	 6400026 B/op	  200000 allocs/op
Benchmark/100000-4     	     170	   6898221 ns/op	 6400033 B/op	  200000 allocs/op
Benchmark/100000-4     	     171	   6952023 ns/op	 6400030 B/op	  200000 allocs/op
Benchmark/100000-4     	     171	   6985554 ns/op	 6400027 B/op	  200000 allocs/op
Benchmark/100000-4     	     171	   6924309 ns/op	 6400029 B/op	  200000 allocs/op
Benchmark/100000-4     	     168	   7189954 ns/op	 6400030 B/op	  200000 allocs/op
Benchmark/1000000-4    	      16	  70090350 ns/op	64000294 B/op	 2000003 allocs/op
Benchmark/1000000-4    	      16	  71085817 ns/op	64000258 B/op	 2000002 allocs/op
Benchmark/1000000-4    	      16	  69773394 ns/op	64000240 B/op	 2000002 allocs/op
Benchmark/1000000-4    	      16	  70489841 ns/op	64000258 B/op	 2000002 allocs/op
Benchmark/1000000-4    	      16	  69666362 ns/op	64000198 B/op	 2000002 allocs/op
Benchmark/1000000-4    	      16	  69711458 ns/op	64000294 B/op	 2000003 allocs/op
Benchmark/1000000-4    	      15	  69196811 ns/op	64000275 B/op	 2000002 allocs/op
Benchmark/1000000-4    	      15	  69651266 ns/op	64000275 B/op	 2000002 allocs/op
Benchmark/1000000-4    	      16	  69362749 ns/op	64000336 B/op	 2000003 allocs/op
Benchmark/1000000-4    	      16	  69905864 ns/op	64000318 B/op	 2000003 allocs/op
