Benchmark/1-4          	17072752	        70.12 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4          	16422789	        70.17 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4          	16537890	        70.43 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4          	16164892	        70.65 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4          	16733367	        74.77 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4          	16707606	        70.27 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4          	16781127	        70.43 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4          	16989402	        70.12 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4          	16813123	        70.42 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4          	16010510	        70.24 ns/op	      64 B/op	       2 allocs/op
Benchmark/10-4         	 1686406	       704.3 ns/op	     640 B/op	      20 allocs/op
Benchmark/10-4         	 1699472	       706.3 ns/op	     640 B/op	      20 allocs/op
Benchmark/10-4         	 1685739	       703.4 ns/op	     640 B/op	      20 allocs/op
Benchmark/10-4         	 1699255	       702.4 ns/op	     640 B/op	      20 allocs/op
Benchmark/10-4         	 1644740	       705.8 ns/op	     640 B/op	      20 allocs/op
Benchmark/10-4         	 1677896	       705.2 ns/op	     640 B/op	      20 allocs/op
Benchmark/10-4         	 1677160	       704.9 ns/op	     640 B/op	      20 allocs/op
Benchmark/10-4         	 1697298	       703.0 ns/op	     640 B/op	      20 allocs/op
Benchmark/10-4         	 1682070	       704.6 ns/op	     640 B/op	      20 allocs/op
Benchmark/10-4         	 1691498	       705.3 ns/op	     640 B/op	      20 allocs/op
Benchmark/100-4        	  170650	      6973 ns/op	    6400 B/op	     200 allocs/op
Benchmark/100-4        	  170194	      6992 ns/op	    6400 B/op	     200 allocs/op
Benchmark/100-4        	  159698	      6981 ns/op	    6400 B/op	     200 allocs/op
Benchmark/100-4        	  164280	      6985 ns/op	    6400 B/op	     200 allocs/op
Benchmark/100-4        	  168112	      7000 ns/op	    6400 B/op	     200 allocs/op
Benchmark/100-4        	  170596	      7000 ns/op	    6400 B/op	     200 allocs/op
Benchmark/100-4        	  170193	      6973 ns/op	    6400 B/op	     200 allocs/op
