Benchmark/1-4          	34193869	        34.99 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	31508276	        34.78 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	32902479	        37.42 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	29635981	        35.03 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	33425432	        34.80 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	32846270	        34.91 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	33141552	        34.99 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	33217886	        34.82 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	33369346	        34.75 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	32599227	        35.12 ns/op	      16 B/op	       1 allocs/op
Benchmark/10-4         	 3410196	       354.4 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3394952	       351.9 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3414439	       355.4 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3372697	       354.7 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3429681	       360.1 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3383948	       353.9 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3413913	       355.2 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3413668	       351.8 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3030681	       357.0 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3363673	       353.1 ns/op	     160 B/op	      10 allocs/op
Benchmark/100-4        	  331615	      3436 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  333916	      3459 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  344293	      3427 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  333906	      3462 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  322238	      3429 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  336924	      3433 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  333770	      3467 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  329726	      3457 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  328530	      3469 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  323805	      3440 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1000-4       	   35024	     34138 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   34995	     34347 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   35079	     34220 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   35004	     34143 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   34837	     34392 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   35086	     34501 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   34050	     34276 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   33544	     34481 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   35205	     34257 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   35112	     34284 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10000-4      	    3306	    346310 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    3300	    342776 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    3283	    345223 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    3405	    342479 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    3297	    342359 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    3279	    343610 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    3397	    381381 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    3049	    342693 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    3363	    345855 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    3331	    342446 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100000-4     	     351	   3444079 ns/op	 1600007 B/op	  100000 allocs/op
Benchmark/100000-4     	     349	   3433065 ns/op	 1600004 B/op	  100000 allocs/op
Benchmark/100000-4     	     351	   3448948 ns/op	 1600004 B/op	  100000 allocs/op
Benchmark/100000-4     	     350	   3444984 ns/op	 1600005 B/op	  100000 allocs/op
Benchmark/100000-4     	     342	   3447859 ns/op	 1600008 B/op	  100000 allocs/op
Benchmark/100000-4     	     349	   3415587 ns/op	 1600004 B/op	  100000 allocs/op
Benchmark/100000-4     	     350	   3434968 ns/op	 1600006 B/op	  100000 allocs/op
Benchmark/100000-4     	     338	   3451966 ns/op	 1600006 B/op	  100000 allocs/op
Benchmark/100000-4     	     343	   3422664 ns/op	 1600005 B/op	  100000 allocs/op
Benchmark/100000-4     	     348	   3456196 ns/op	 1600006 B/op	  100000 allocs/op
Benchmark/1000000-4    	      34	  34321953 ns/op	16000056 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      32	  34435601 ns/op	16000069 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      32	  34551595 ns/op	16000072 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      33	  34202049 ns/op	16000055 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      33	  34482867 ns/op	16000061 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      32	  34559845 ns/op	16000060 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      33	  34375568 ns/op	16000058 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      31	  34781816 ns/op	16000068 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      31	  34435155 ns/op	16000061 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      32	  34529766 ns/op	16000048 B/op	 1000000 allocs/op
