Benchmark/1-4          	35399540	        33.61 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	33540357	        33.87 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	33605364	        34.03 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	34361648	        34.43 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	34336716	        33.72 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	33301936	        36.20 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	33350922	        34.41 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	33866602	        34.58 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	33273578	        33.77 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	33616018	        34.18 ns/op	      16 B/op	       1 allocs/op
Benchmark/10-4         	 3394891	       341.7 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3473803	       346.6 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3482938	       344.8 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3496776	       345.5 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3513645	       344.2 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3513410	       348.6 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3475880	       344.0 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3514782	       342.0 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3436250	       343.6 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3498561	       372.1 ns/op	     160 B/op	      10 allocs/op
Benchmark/100-4        	  345063	      3332 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  334718	      3346 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  340320	      3369 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  337226	      3347 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  338900	      3337 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  341889	      3343 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  339168	      3356 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  343495	      3344 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  340485	      3355 ns/op	    1600 B/op	     100 allocs/op
