Benchmark/1-4          	20401333	        62.44 ns/op	      24 B/op	       2 allocs/op
Benchmark/1-4          	18755964	        60.80 ns/op	      24 B/op	       2 allocs/op
Benchmark/1-4          	18611316	        60.53 ns/op	      24 B/op	       2 allocs/op
Benchmark/1-4          	19102830	        60.09 ns/op	      24 B/op	       2 allocs/op
Benchmark/1-4          	19755181	        59.95 ns/op	      24 B/op	       2 allocs/op
Benchmark/1-4          	19762504	        59.67 ns/op	      24 B/op	       2 allocs/op
Benchmark/1-4          	19384869	        60.05 ns/op	      24 B/op	       2 allocs/op
Benchmark/1-4          	19812219	        60.74 ns/op	      24 B/op	       2 allocs/op
Benchmark/1-4          	19886707	        60.16 ns/op	      24 B/op	       2 allocs/op
Benchmark/1-4          	19275961	        59.75 ns/op	      24 B/op	       2 allocs/op
Benchmark/10-4         	 1991206	       602.9 ns/op	     240 B/op	      20 allocs/op
Benchmark/10-4         	 2008923	       732.2 ns/op	     240 B/op	      20 allocs/op
Benchmark/10-4         	 1987366	       595.9 ns/op	     240 B/op	      20 allocs/op
Benchmark/10-4         	 1981550	       597.0 ns/op	     240 B/op	      20 allocs/op
Benchmark/10-4         	 2010265	       598.9 ns/op	     240 B/op	      20 allocs/op
Benchmark/10-4         	 2002963	       598.8 ns/op	     240 B/op	      20 allocs/op
Benchmark/10-4         	 1992585	       596.8 ns/op	     240 B/op	      20 allocs/op
Benchmark/10-4         	 2017311	       594.9 ns/op	     240 B/op	      20 allocs/op
Benchmark/10-4         	 2008056	       598.8 ns/op	     240 B/op	      20 allocs/op
Benchmark/10-4         	 2010715	       602.0 ns/op	     240 B/op	      20 allocs/op
Benchmark/100-4        	  194205	      5909 ns/op	    2400 B/op	     200 allocs/op
Benchmark/100-4        	  200112	      5922 ns/op	    2400 B/op	     200 allocs/op
Benchmark/100-4        	  199467	      5866 ns/op	    2400 B/op	     200 allocs/op
Benchmark/100-4        	  196053	      5865 ns/op	    2400 B/op	     200 allocs/op
Benchmark/100-4        	  201706	      5908 ns/op	    2400 B/op	     200 allocs/op
Benchmark/100-4        	  201567	      5884 ns/op	    2400 B/op	     200 allocs/op
Benchmark/100-4        	  199275	      5915 ns/op	    2400 B/op	     200 allocs/op
Benchmark/100-4        	  198243	      5867 ns/op	    2400 B/op	     200 allocs/op
Benchmark/100-4        	  202066	      5901 ns/op	    2400 B/op	     200 allocs/op
Benchmark/100-4        	  200025	      5936 ns/op	    2400 B/op	     200 allocs/op
Benchmark/1000-4       	   20331	     58461 ns/op	   24000 B/op	    2000 allocs/op
Benchmark/1000-4       	   20040	     60340 ns/op	   24000 B/op	    2000 allocs/op
Benchmark/1000-4       	   20150	     58871 ns/op	   24000 B/op	    2000 allocs/op
Benchmark/1000-4       	   20241	     58992 ns/op	   24000 B/op	    2000 allocs/op
Benchmark/1000-4       	   20403	     58966 ns/op	   24000 B/op	    2000 allocs/op
Benchmark/1000-4       	   20186	     58877 ns/op	   24000 B/op	    2000 allocs/op
Benchmark/1000-4       	   20155	     58657 ns/op	   24000 B/op	    2000 allocs/op
Benchmark/1000-4       	   20491	     58591 ns/op	   24000 B/op	    2000 allocs/op
Benchmark/1000-4       	   20451	     59123 ns/op	   24000 B/op	    2000 allocs/op
Benchmark/1000-4       	   20533	     59312 ns/op	   24000 B/op	    2000 allocs/op
Benchmark/10000-4      	    1918	    587687 ns/op	  240000 B/op	   20000 allocs/op
Benchmark/10000-4      	    2042	    591456 ns/op	  240000 B/op	   20000 allocs/op
Benchmark/10000-4      	    1977	    588624 ns/op	  240001 B/op	   20000 allocs/op
Benchmark/10000-4      	    2043	    585389 ns/op	  240000 B/op	   20000 allocs/op
Benchmark/10000-4      	    2011	    588452 ns/op	  240001 B/op	   20000 allocs/op
Benchmark/10000-4      	    1963	    587874 ns/op	  240001 B/op	   20000 allocs/op
Benchmark/10000-4      	    1994	    587434 ns/op	  240000 B/op	   20000 allocs/op
Benchmark/10000-4      	    2006	    594535 ns/op	  240000 B/op	   20000 allocs/op
Benchmark/10000-4      	    2020	    586516 ns/op	  240000 B/op	   20000 allocs/op
Benchmark/10000-4      	    1966	    598932 ns/op	  240001 B/op	   20000 allocs/op
Benchmark/100000-4     	     202	   6105532 ns/op	 2400011 B/op	  200000 allocs/op
Benchmark/100000-4     	     190	   5869495 ns/op	 2400008 B/op	  200000 allocs/op
Benchmark/100000-4     	     202	   5885121 ns/op	 2400009 B/op	  200000 allocs/op
Benchmark/100000-4     	     201	   5876642 ns/op	 2400012 B/op	  200000 allocs/op
Benchmark/100000-4     	     202	   5873577 ns/op	 2400009 B/op	  200000 allocs/op
Benchmark/100000-4     	     201	   5860274 ns/op	 2400010 B/op	  200000 allocs/op
Benchmark/100000-4     	     200	   5849630 ns/op	 2400008 B/op	  200000 allocs/op
Benchmark/100000-4     	     201	   5848139 ns/op	 2400013 B/op	  200000 allocs/op
Benchmark/100000-4     	     201	   5865682 ns/op	 2400008 B/op	  200000 allocs/op
