Benchmark/1-4          	35447133	        32.86 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	36970882	        32.59 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	33469518	        33.48 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	37927101	        32.72 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	35862279	        32.37 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	35851742	        33.00 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	37309760	        32.51 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	36047390	        32.74 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	36554428	        32.52 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	36367032	        32.96 ns/op	      16 B/op	       1 allocs/op
Benchmark/10-4         	 3577388	       336.0 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3658798	       331.4 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3671175	       330.7 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3642757	       333.2 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3636956	       331.9 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3674755	       329.7 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3622316	       330.9 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3657134	       328.8 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3601680	       329.7 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3661857	       328.9 ns/op	     160 B/op	      10 allocs/op
Benchmark/100-4        	  372772	      3228 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  372310	      3242 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  358405	      3203 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  372861	      3457 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  365516	      3222 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  364090	      3235 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  370304	      3195 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  369754	      3225 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  367096	      3199 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  354553	      3198 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1000-4       	   37566	     31913 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   37561	     32332 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   37596	     32413 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   37024	     31891 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   37555	     32670 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   36724	     32961 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   37467	     32333 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   37485	     31963 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   36598	     32758 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   37452	     32107 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10000-4      	    3459	    325479 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    3805	    320239 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    3504	    318922 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    3528	    321716 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    3787	    320494 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    3812	    320545 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    3816	    321604 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    3418	    320073 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    3717	    319613 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    3661	    317898 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100000-4     	     374	   3229292 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     369	   3195448 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     361	   3201943 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     372	   3222840 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     375	   3237983 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     364	   3254193 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     368	   3232856 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     364	   3225653 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     373	   3262939 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     370	   3226310 ns/op	 1600000 B/op	  100000 allocs/op
