Benchmark/1-4          	  131008	      9202 ns/op	   65704 B/op	       5 allocs/op
Benchmark/1-4          	  125709	      9444 ns/op	   65704 B/op	       5 allocs/op
Benchmark/1-4          	  127897	      9076 ns/op	   65704 B/op	       5 allocs/op
Benchmark/1-4          	  130987	     13588 ns/op	   65704 B/op	       5 allocs/op
Benchmark/1-4          	   70322	     31178 ns/op	   65704 B/op	       5 allocs/op
Benchmark/1-4          	  112744	      9259 ns/op	   65704 B/op	       5 allocs/op
Benchmark/1-4          	  130016	      9082 ns/op	   65704 B/op	       5 allocs/op
Benchmark/1-4          	  119710	     10512 ns/op	   65704 B/op	       5 allocs/op
Benchmark/1-4          	  126452	      9604 ns/op	   65704 B/op	       5 allocs/op
Benchmark/1-4          	  127008	      9676 ns/op	   65704 B/op	       5 allocs/op
Benchmark/10-4         	  111805	      9844 ns/op	   65992 B/op	      23 allocs/op
Benchmark/10-4         	  122365	      9891 ns/op	   65992 B/op	      23 allocs/op
Benchmark/10-4         	  121058	      9646 ns/op	   65992 B/op	      23 allocs/op
Benchmark/10-4         	  120201	     11856 ns/op	   65992 B/op	      23 allocs/op
Benchmark/10-4         	  108598	     10010 ns/op	   65992 B/op	      23 allocs/op
Benchmark/10-4         	  113972	      9892 ns/op	   65992 B/op	      23 allocs/op
Benchmark/10-4         	  119247	      9872 ns/op	   65992 B/op	      23 allocs/op
Benchmark/10-4         	  121833	      9750 ns/op	   65992 B/op	      23 allocs/op
Benchmark/10-4         	  118942	      9855 ns/op	   65992 B/op	      23 allocs/op
Benchmark/10-4         	  118690	      9869 ns/op	   65992 B/op	      23 allocs/op
Benchmark/100-4        	   81318	     14825 ns/op	   68872 B/op	     203 allocs/op
Benchmark/100-4        	   80866	     14807 ns/op	   68872 B/op	     203 allocs/op
Benchmark/100-4        	   80545	     14753 ns/op	   68872 B/op	     203 allocs/op
Benchmark/100-4        	   80983	     14941 ns/op	   68872 B/op	     203 allocs/op
Benchmark/100-4        	   79615	     14861 ns/op	   68872 B/op	     203 allocs/op
Benchmark/100-4        	   80734	     15243 ns/op	   68872 B/op	     203 allocs/op
