Benchmark/1-4          	  132639	      8907 ns/op	   65704 B/op	       5 allocs/op
Benchmark/1-4          	  124194	      8947 ns/op	   65704 B/op	       5 allocs/op
Benchmark/1-4          	  130123	      9020 ns/op	   65704 B/op	       5 allocs/op
Benchmark/1-4          	  129733	      9024 ns/op	   65704 B/op	       5 allocs/op
Benchmark/1-4          	  130802	      9058 ns/op	   65704 B/op	       5 allocs/op
Benchmark/1-4          	  130392	      8977 ns/op	   65704 B/op	       5 allocs/op
Benchmark/1-4          	  131314	      9070 ns/op	   65704 B/op	       5 allocs/op
Benchmark/1-4          	  124158	      8951 ns/op	   65704 B/op	       5 allocs/op
Benchmark/1-4          	  125784	      9062 ns/op	   65704 B/op	       5 allocs/op
Benchmark/1-4          	  124710	      9125 ns/op	   65704 B/op	       5 allocs/op
Benchmark/10-4         	  117936	      9824 ns/op	   65992 B/op	      23 allocs/op
Benchmark/10-4         	  119281	      9849 ns/op	   65992 B/op	      23 allocs/op
Benchmark/10-4         	  118394	      9946 ns/op	   65992 B/op	      23 allocs/op
Benchmark/10-4         	  118993	      9863 ns/op	   65992 B/op	      23 allocs/op
Benchmark/10-4         	  120894	      9730 ns/op	   65992 B/op	      23 allocs/op
Benchmark/10-4         	  119612	      9857 ns/op	   65992 B/op	      23 allocs/op
Benchmark/10-4         	  120600	      9930 ns/op	   65992 B/op	      23 allocs/op
Benchmark/10-4         	  113971	      9948 ns/op	   65992 B/op	      23 allocs/op
Benchmark/10-4         	  119497	      9958 ns/op	   65992 B/op	      23 allocs/op
Benchmark/10-4         	  119276	      9952 ns/op	   65992 B/op	      23 allocs/op
Benchmark/100-4        	   79964	     14975 ns/op	   68872 B/op	     203 allocs/op
Benchmark/100-4        	   80329	     14864 ns/op	   68872 B/op	     203 allocs/op
Benchmark/100-4        	   79479	     14918 ns/op	   68872 B/op	     203 allocs/op
Benchmark/100-4        	   80025	     15004 ns/op	   68872 B/op	     203 allocs/op
Benchmark/100-4        	   79496	     16082 ns/op	   68872 B/op	     203 allocs/op
Benchmark/100-4        	   69916	     15049 ns/op	   68872 B/op	     203 allocs/op
Benchmark/100-4        	   77820	     15049 ns/op	   68872 B/op	     203 allocs/op
Benchmark/100-4        	   78610	     14934 ns/op	   68872 B/op	     203 allocs/op
Benchmark/100-4        	   78644	     15395 ns/op	   68872 B/op	     203 allocs/op
Benchmark/100-4        	   69801	     15125 ns/op	   68872 B/op	     203 allocs/op
Benchmark/1000-4       	   17083	     69522 ns/op	   97672 B/op	    2003 allocs/op
Benchmark/1000-4       	   17109	     69827 ns/op	   97672 B/op	    2003 allocs/op
Benchmark/1000-4       	   17058	     69417 ns/op	   97672 B/op	    2003 allocs/op
Benchmark/1000-4       	   16959	     69681 ns/op	   97672 B/op	    2003 allocs/op
Benchmark/1000-4       	   17110	     70338 ns/op	   97672 B/op	    2003 allocs/op
Benchmark/1000-4       	   17058	     69585 ns/op	   97672 B/op	    2003 allocs/op
Benchmark/1000-4       	   17106	     69408 ns/op	   97672 B/op	    2003 allocs/op
Benchmark/1000-4       	   17124	     69776 ns/op	   97672 B/op	    2003 allocs/op
Benchmark/1000-4       	   16996	     69556 ns/op	   97672 B/op	    2003 allocs/op
Benchmark/1000-4       	   17156	     69426 ns/op	   97672 B/op	    2003 allocs/op
Benchmark/10000-4      	    1803	    649769 ns/op	  516874 B/op	   20007 allocs/op
Benchmark/10000-4      	    1810	    660814 ns/op	  516874 B/op	   20007 allocs/op
Benchmark/10000-4      	    1800	    648110 ns/op	  516873 B/op	   20007 allocs/op
Benchmark/10000-4      	    1718	    648180 ns/op	  516874 B/op	   20007 allocs/op
Benchmark/10000-4      	    1818	    646540 ns/op	  516873 B/op	   20007 allocs/op
Benchmark/10000-4      	    1800	    648813 ns/op	  516873 B/op	   20007 allocs/op
Benchmark/10000-4      	    1788	    648103 ns/op	  516873 B/op	   20007 allocs/op
Benchmark/10000-4      	    1804	    660479 ns/op	  516873 B/op	   20007 allocs/op
Benchmark/10000-4      	    1827	    650990 ns/op	  516873 B/op	   20007 allocs/op
Benchmark/10000-4      	    1791	    651310 ns/op	  516873 B/op	   20007 allocs/op
Benchmark/100000-4     	     148	   7988004 ns/op	 4846594 B/op	  200051 allocs/op
Benchmark/100000-4     	     148	   7984013 ns/op	 4846592 B/op	  200051 allocs/op
Benchmark/100000-4     	     146	   7872570 ns/op	 4846590 B/op	  200051 allocs/op
Benchmark/100000-4     	     148	   8012439 ns/op	 4846588 B/op	  200051 allocs/op
Benchmark/100000-4     	     148	   7901077 ns/op	 4846589 B/op	  200051 allocs/op
Benchmark/100000-4     	     150	   7937049 ns/op	 4846585 B/op	  200051 allocs/op
Benchmark/100000-4     	     148	   7978101 ns/op	 4846593 B/op	  200051 allocs/op
Benchmark/100000-4     	     147	   7957136 ns/op	 4846590 B/op	  200051 allocs/op
Benchmark/100000-4     	     146	   7919264 ns/op	 4846592 B/op	  200051 allocs/op
Benchmark/100000-4     	     148	   7912525 ns/op	 4846589 B/op	  200051 allocs/op
Benchmark/1000000-4    	      14	  81413678 ns/op	48830136 B/op	 2000491 allocs/op
Benchmark/1000000-4    	      14	  89655637 ns/op	48830149 B/op	 2000491 allocs/op
Benchmark/1000000-4    	      14	  79372911 ns/op	48830142 B/op	 2000491 allocs/op
Benchmark/1000000-4    	      15	  80232564 ns/op	48830136 B/op	 2000491 allocs/op
Benchmark/1000000-4    	      14	  79619421 ns/op	48830142 B/op	 2000491 allocs/op
Benchmark/1000000-4    	      14	  79919262 ns/op	48830142 B/op	 2000491 allocs/op
Benchmark/1000000-4    	      15	  80009518 ns/op	48830136 B/op	 2000491 allocs/op
Benchmark/1000000-4    	      14	  79857381 ns/op	48830149 B/op	 2000491 allocs/op
Benchmark/1000000-4    	      14	  79175395 ns/op	48830142 B/op	 2000491 allocs/op
Benchmark/1000000-4    	      14	  81431370 ns/op	48830142 B/op	 2000491 allocs/op
