Benchmark/1-4          	 6157974	       195.2 ns/op	     176 B/op	       5 allocs/op
Benchmark/1-4          	 6087165	       194.3 ns/op	     176 B/op	       5 allocs/op
Benchmark/1-4          	 6146128	       195.1 ns/op	     176 B/op	       5 allocs/op
Benchmark/1-4          	 6112052	       196.0 ns/op	     176 B/op	       5 allocs/op
Benchmark/1-4          	 6103942	       195.5 ns/op	     176 B/op	       5 allocs/op
Benchmark/1-4          	 6059161	       195.8 ns/op	     176 B/op	       5 allocs/op
Benchmark/1-4          	 6169782	       195.9 ns/op	     176 B/op	       5 allocs/op
Benchmark/1-4          	 6118161	       194.8 ns/op	     176 B/op	       5 allocs/op
Benchmark/1-4          	 6105480	       195.5 ns/op	     176 B/op	       5 allocs/op
Benchmark/1-4          	 6128996	       194.9 ns/op	     176 B/op	       5 allocs/op
Benchmark/10-4         	 1000000	      1047 ns/op	    1104 B/op	      25 allocs/op
Benchmark/10-4         	 1000000	      1048 ns/op	    1104 B/op	      25 allocs/op
Benchmark/10-4         	 1000000	      1050 ns/op	    1104 B/op	      25 allocs/op
Benchmark/10-4         	 1000000	      1045 ns/op	    1104 B/op	      25 allocs/op
Benchmark/10-4         	 1000000	      1047 ns/op	    1104 B/op	      25 allocs/op
Benchmark/10-4         	 1000000	      1037 ns/op	    1104 B/op	      25 allocs/op
Benchmark/10-4         	 1000000	      1100 ns/op	    1104 B/op	      25 allocs/op
Benchmark/10-4         	  974481	      1060 ns/op	    1104 B/op	      25 allocs/op
Benchmark/10-4         	 1000000	      1037 ns/op	    1104 B/op	      25 allocs/op
Benchmark/10-4         	 1000000	      1038 ns/op	    1104 B/op	      25 allocs/op
Benchmark/100-4        	  160716	      7329 ns/op	    6080 B/op	     207 allocs/op
Benchmark/100-4        	  160156	      7356 ns/op	    6080 B/op	     207 allocs/op
Benchmark/100-4        	  161536	      7366 ns/op	    6080 B/op	     207 allocs/op
Benchmark/100-4        	  155710	      7350 ns/op	    6080 B/op	     207 allocs/op
Benchmark/100-4        	  161095	      7359 ns/op	    6080 B/op	     207 allocs/op
Benchmark/100-4        	  160132	      7401 ns/op	    6080 B/op	     207 allocs/op
Benchmark/100-4        	  160329	      7329 ns/op	    6080 B/op	     207 allocs/op
Benchmark/100-4        	  162081	      7364 ns/op	    6080 B/op	     207 allocs/op
Benchmark/100-4        	  159411	      7338 ns/op	    6080 B/op	     207 allocs/op
Benchmark/100-4        	  160436	      7429 ns/op	    6080 B/op	     207 allocs/op
Benchmark/1000-4       	   17762	     67237 ns/op	   43264 B/op	    2015 allocs/op
Benchmark/1000-4       	   17652	     67322 ns/op	   43264 B/op	    2015 allocs/op
Benchmark/1000-4       	   17737	     67059 ns/op	   43264 B/op	    2015 allocs/op
Benchmark/1000-4       	   17802	     67000 ns/op	   43264 B/op	    2015 allocs/op
Benchmark/1000-4       	   17570	     67363 ns/op	   43264 B/op	    2015 allocs/op
Benchmark/1000-4       	   17439	     68227 ns/op	   43264 B/op	    2015 allocs/op
Benchmark/1000-4       	   17830	     67312 ns/op	   43264 B/op	    2015 allocs/op
Benchmark/1000-4       	   17758	     67778 ns/op	   43264 B/op	    2015 allocs/op
Benchmark/1000-4       	   17616	     66932 ns/op	   43264 B/op	    2015 allocs/op
Benchmark/1000-4       	   17576	     67190 ns/op	   43264 B/op	    2015 allocs/op
Benchmark/10000-4      	    1711	    680340 ns/op	  404624 B/op	   20085 allocs/op
Benchmark/10000-4      	    1734	    683407 ns/op	  404624 B/op	   20085 allocs/op
Benchmark/10000-4      	    1735	    685163 ns/op	  404624 B/op	   20085 allocs/op
Benchmark/10000-4      	    1611	    683155 ns/op	  404624 B/op	   20085 allocs/op
Benchmark/10000-4      	    1750	    679220 ns/op	  404624 B/op	   20085 allocs/op
Benchmark/10000-4      	    1693	    681780 ns/op	  404624 B/op	   20085 allocs/op
Benchmark/10000-4      	    1718	    690456 ns/op	  404624 B/op	   20085 allocs/op
Benchmark/10000-4      	    1695	    704970 ns/op	  404624 B/op	   20085 allocs/op
Benchmark/10000-4      	    1730	    691207 ns/op	  404624 B/op	   20085 allocs/op
Benchmark/10000-4      	    1672	    702443 ns/op	  404624 B/op	   20085 allocs/op
Benchmark/100000-4     	     153	   7730382 ns/op	 4020325 B/op	  200787 allocs/op
Benchmark/100000-4     	     152	   7715477 ns/op	 4020327 B/op	  200787 allocs/op
Benchmark/100000-4     	     153	   7660892 ns/op	 4020325 B/op	  200787 allocs/op
Benchmark/100000-4     	     154	   7692825 ns/op	 4020328 B/op	  200787 allocs/op
