Benchmark/1-4          	 5966898	       207.1 ns/op	     208 B/op	       5 allocs/op
Benchmark/1-4          	 5329066	       241.5 ns/op	     208 B/op	       5 allocs/op
Benchmark/1-4          	 5939307	       217.4 ns/op	     208 B/op	       5 allocs/op
Benchmark/1-4          	 5105108	       217.4 ns/op	     208 B/op	       5 allocs/op
Benchmark/1-4          	 4770306	       271.5 ns/op	     208 B/op	       5 allocs/op
Benchmark/1-4          	 4891278	       259.1 ns/op	     208 B/op	       5 allocs/op
Benchmark/1-4          	 4949600	       212.1 ns/op	     208 B/op	       5 allocs/op
Benchmark/1-4          	 6179064	       195.5 ns/op	     208 B/op	       5 allocs/op
Benchmark/1-4          	 5933146	       282.6 ns/op	     208 B/op	       5 allocs/op
Benchmark/1-4          	 5398186	       239.5 ns/op	     208 B/op	       5 allocs/op
Benchmark/10-4         	  919299	      1155 ns/op	    1776 B/op	      25 allocs/op
Benchmark/10-4         	 1000000	      1286 ns/op	    1776 B/op	      25 allocs/op
Benchmark/10-4         	 1000000	      1191 ns/op	    1776 B/op	      25 allocs/op
Benchmark/10-4         	  986484	      1135 ns/op	    1776 B/op	      25 allocs/op
Benchmark/10-4         	 1000000	      1133 ns/op	    1776 B/op	      25 allocs/op
Benchmark/10-4         	  975709	      1141 ns/op	    1776 B/op	      25 allocs/op
Benchmark/10-4         	 1000000	      1134 ns/op	    1776 B/op	      25 allocs/op
Benchmark/10-4         	 1000000	      1133 ns/op	    1776 B/op	      25 allocs/op
Benchmark/10-4         	 1000000	      1134 ns/op	    1776 B/op	      25 allocs/op
Benchmark/10-4         	 1000000	      1128 ns/op	    1776 B/op	      25 allocs/op
Benchmark/100-4        	  154849	      7793 ns/op	    8800 B/op	     207 allocs/op
Benchmark/100-4        	  149023	      7815 ns/op	    8800 B/op	     207 allocs/op
Benchmark/100-4        	  153752	      7831 ns/op	    8800 B/op	     207 allocs/op
Benchmark/100-4        	  153004	      7856 ns/op	    8800 B/op	     207 allocs/op
Benchmark/100-4        	  148027	      7891 ns/op	    8800 B/op	     207 allocs/op
Benchmark/100-4        	  151766	      7807 ns/op	    8800 B/op	     207 allocs/op
Benchmark/100-4        	  153625	      7849 ns/op	    8800 B/op	     207 allocs/op
