Benchmark/1-4          	 6069274	       195.0 ns/op	     176 B/op	       5 allocs/op
Benchmark/1-4          	 6157551	       196.6 ns/op	     176 B/op	       5 allocs/op
Benchmark/1-4          	 6078414	       198.0 ns/op	     176 B/op	       5 allocs/op
Benchmark/1-4          	 6107043	       195.7 ns/op	     176 B/op	       5 allocs/op
Benchmark/1-4          	 6125540	       196.3 ns/op	     176 B/op	       5 allocs/op
Benchmark/1-4          	 6137600	       195.5 ns/op	     176 B/op	       5 allocs/op
Benchmark/1-4          	 6098949	       196.7 ns/op	     176 B/op	       5 allocs/op
Benchmark/1-4          	 5796234	       196.4 ns/op	     176 B/op	       5 allocs/op
Benchmark/1-4          	 6129624	       196.5 ns/op	     176 B/op	       5 allocs/op
Benchmark/1-4          	 6082688	       198.1 ns/op	     176 B/op	       5 allocs/op
Benchmark/10-4         	 1329176	       899.1 ns/op	     592 B/op	      24 allocs/op
Benchmark/10-4         	 1347781	       883.2 ns/op	     592 B/op	      24 allocs/op
Benchmark/10-4         	 1349119	       883.9 ns/op	     592 B/op	      24 allocs/op
Benchmark/10-4         	 1342544	       908.2 ns/op	     592 B/op	      24 allocs/op
Benchmark/10-4         	 1336756	       893.2 ns/op	     592 B/op	      24 allocs/op
Benchmark/10-4         	 1349845	       883.2 ns/op	     592 B/op	      24 allocs/op
Benchmark/10-4         	 1337726	       887.2 ns/op	     592 B/op	      24 allocs/op
Benchmark/10-4         	 1339796	       890.2 ns/op	     592 B/op	      24 allocs/op
Benchmark/10-4         	 1338727	       889.7 ns/op	     592 B/op	      24 allocs/op
Benchmark/10-4         	 1343544	       887.0 ns/op	     592 B/op	      24 allocs/op
Benchmark/100-4        	  157239	      7515 ns/op	    6080 B/op	     207 allocs/op
Benchmark/100-4        	  158061	      7463 ns/op	    6080 B/op	     207 allocs/op
Benchmark/100-4        	  156909	      7439 ns/op	    6080 B/op	     207 allocs/op
Benchmark/100-4        	  160096	      7607 ns/op	    6080 B/op	     207 allocs/op
Benchmark/100-4        	  158900	      7498 ns/op	    6080 B/op	     207 allocs/op
Benchmark/100-4        	  151978	      7448 ns/op	    6080 B/op	     207 allocs/op
Benchmark/100-4        	  157977	      7454 ns/op	    6080 B/op	     207 allocs/op
Benchmark/100-4        	  155458	      7513 ns/op	    6080 B/op	     207 allocs/op
Benchmark/100-4        	  158667	      7587 ns/op	    6080 B/op	     207 allocs/op
Benchmark/100-4        	  149064	      7795 ns/op	    6080 B/op	     207 allocs/op
Benchmark/1000-4       	   16856	     71980 ns/op	   41168 B/op	    2013 allocs/op
Benchmark/1000-4       	   17061	     69629 ns/op	   41168 B/op	    2013 allocs/op
Benchmark/1000-4       	   16953	     69213 ns/op	   41168 B/op	    2013 allocs/op
Benchmark/1000-4       	   17450	     68546 ns/op	   41168 B/op	    2013 allocs/op
Benchmark/1000-4       	   16995	     69428 ns/op	   41168 B/op	    2013 allocs/op
Benchmark/1000-4       	   17872	     66714 ns/op	   41168 B/op	    2013 allocs/op
Benchmark/1000-4       	   17510	     67071 ns/op	   41168 B/op	    2013 allocs/op
Benchmark/1000-4       	   17664	     67148 ns/op	   41168 B/op	    2013 allocs/op
Benchmark/1000-4       	   17733	     67324 ns/op	   41168 B/op	    2013 allocs/op
Benchmark/1000-4       	   17732	     67422 ns/op	   41168 B/op	    2013 allocs/op
Benchmark/10000-4      	    1684	    706503 ns/op	  402528 B/op	   20083 allocs/op
Benchmark/10000-4      	    1567	    724181 ns/op	  402528 B/op	   20083 allocs/op
Benchmark/10000-4      	    1557	    703035 ns/op	  402529 B/op	   20083 allocs/op
Benchmark/10000-4      	    1665	    712008 ns/op	  402528 B/op	   20083 allocs/op
Benchmark/10000-4      	    1681	    701920 ns/op	  402528 B/op	   20083 allocs/op
Benchmark/10000-4      	    1623	    722312 ns/op	  402528 B/op	   20083 allocs/op
Benchmark/10000-4      	    1602	    705500 ns/op	  402528 B/op	   20083 allocs/op
Benchmark/10000-4      	    1684	    705958 ns/op	  402528 B/op	   20083 allocs/op
Benchmark/10000-4      	    1660	    710397 ns/op	  402528 B/op	   20083 allocs/op
Benchmark/10000-4      	    1634	    725143 ns/op	  402528 B/op	   20083 allocs/op
Benchmark/100000-4     	     153	   7668331 ns/op	 4020325 B/op	  200787 allocs/op
Benchmark/100000-4     	     153	   7697429 ns/op	 4020330 B/op	  200787 allocs/op
Benchmark/100000-4     	     156	   7606621 ns/op	 4020328 B/op	  200787 allocs/op
Benchmark/100000-4     	     150	   7828719 ns/op	 4020330 B/op	  200787 allocs/op
Benchmark/100000-4     	     157	   7640432 ns/op	 4020327 B/op	  200787 allocs/op
Benchmark/100000-4     	     156	   7666714 ns/op	 4020324 B/op	  200787 allocs/op
Benchmark/100000-4     	     154	   7655814 ns/op	 4020330 B/op	  200787 allocs/op
Benchmark/100000-4     	     150	   7860309 ns/op	 4020326 B/op	  200787 allocs/op
Benchmark/100000-4     	     154	   7585909 ns/op	 4020324 B/op	  200787 allocs/op
Benchmark/100000-4     	     156	   7603746 ns/op	 4020324 B/op	  200787 allocs/op
Benchmark/1000000-4    	      13	  84258770 ns/op	40189907 B/op	 2007819 allocs/op
Benchmark/1000000-4    	      13	  91852100 ns/op	40189892 B/op	 2007819 allocs/op
Benchmark/1000000-4    	      12	  83603608 ns/op	40189872 B/op	 2007819 allocs/op
Benchmark/1000000-4    	      13	  84443665 ns/op	40189892 B/op	 2007819 allocs/op
Benchmark/1000000-4    	      13	  84086341 ns/op	40189922 B/op	 2007819 allocs/op
Benchmark/1000000-4    	      13	  83397861 ns/op	40189878 B/op	 2007819 allocs/op
Benchmark/1000000-4    	      13	  83602389 ns/op	40189856 B/op	 2007819 allocs/op
Benchmark/1000000-4    	      13	  83294366 ns/op	40189885 B/op	 2007819 allocs/op
Benchmark/1000000-4    	      13	  83137468 ns/op	40189878 B/op	 2007819 allocs/op
Benchmark/1000000-4    	      12	  85714034 ns/op	40189888 B/op	 2007819 allocs/op
