Benchmark/1-4          	 6044102	       197.4 ns/op	     208 B/op	       5 allocs/op
Benchmark/1-4          	 6079095	       197.7 ns/op	     208 B/op	       5 allocs/op
Benchmark/1-4          	 6093428	       197.7 ns/op	     208 B/op	       5 allocs/op
Benchmark/1-4          	 6057669	       197.1 ns/op	     208 B/op	       5 allocs/op
Benchmark/1-4          	 6023892	       197.8 ns/op	     208 B/op	       5 allocs/op
Benchmark/1-4          	 6024463	       197.3 ns/op	     208 B/op	       5 allocs/op
Benchmark/1-4          	 6098869	       197.8 ns/op	     208 B/op	       5 allocs/op
Benchmark/1-4          	 6042031	       197.5 ns/op	     208 B/op	       5 allocs/op
Benchmark/1-4          	 6049081	       198.1 ns/op	     208 B/op	       5 allocs/op
Benchmark/1-4          	 6029138	       197.0 ns/op	     208 B/op	       5 allocs/op
Benchmark/10-4         	 1331283	       904.1 ns/op	     752 B/op	      24 allocs/op
Benchmark/10-4         	 1326645	       903.3 ns/op	     752 B/op	      24 allocs/op
Benchmark/10-4         	 1327206	       906.7 ns/op	     752 B/op	      24 allocs/op
Benchmark/10-4         	 1327708	       906.0 ns/op	     752 B/op	      24 allocs/op
Benchmark/10-4         	 1329260	       900.5 ns/op	     752 B/op	      24 allocs/op
Benchmark/10-4         	 1320668	       907.9 ns/op	     752 B/op	      24 allocs/op
Benchmark/10-4         	 1329253	       904.8 ns/op	     752 B/op	      24 allocs/op
Benchmark/10-4         	 1327975	      1016 ns/op	     752 B/op	      24 allocs/op
Benchmark/10-4         	 1000000	      1123 ns/op	     752 B/op	      24 allocs/op
Benchmark/10-4         	 1248793	       977.4 ns/op	     752 B/op	      24 allocs/op
Benchmark/100-4        	  149194	      8385 ns/op	    8800 B/op	     207 allocs/op
Benchmark/100-4        	  142772	      8506 ns/op	    8800 B/op	     207 allocs/op
Benchmark/100-4        	  140116	      8785 ns/op	    8800 B/op	     207 allocs/op
Benchmark/100-4        	  138296	      8176 ns/op	    8800 B/op	     207 allocs/op
Benchmark/100-4        	  146382	      8479 ns/op	    8800 B/op	     207 allocs/op
Benchmark/100-4        	  134353	      8443 ns/op	    8800 B/op	     207 allocs/op
Benchmark/100-4        	  145892	      8631 ns/op	    8800 B/op	     207 allocs/op
Benchmark/100-4        	  148394	      8068 ns/op	    8800 B/op	     207 allocs/op
Benchmark/100-4        	  143512	      8033 ns/op	    8800 B/op	     207 allocs/op
Benchmark/100-4        	  150736	      8018 ns/op	    8800 B/op	     207 allocs/op
Benchmark/1000-4       	   17332	     68597 ns/op	   50032 B/op	    2013 allocs/op
Benchmark/1000-4       	   17442	     68994 ns/op	   50032 B/op	    2013 allocs/op
Benchmark/1000-4       	   17383	     69195 ns/op	   50032 B/op	    2013 allocs/op
Benchmark/1000-4       	   17454	     69197 ns/op	   50032 B/op	    2013 allocs/op
Benchmark/1000-4       	   17452	     68762 ns/op	   50032 B/op	    2013 allocs/op
Benchmark/1000-4       	   16774	     71547 ns/op	   50032 B/op	    2013 allocs/op
Benchmark/1000-4       	   16773	     70669 ns/op	   50032 B/op	    2013 allocs/op
Benchmark/1000-4       	   17151	     71883 ns/op	   50032 B/op	    2013 allocs/op
Benchmark/1000-4       	   16688	     71798 ns/op	   50032 B/op	    2013 allocs/op
Benchmark/1000-4       	   16833	     69907 ns/op	   50032 B/op	    2013 allocs/op
Benchmark/10000-4      	    1672	    717355 ns/op	  483073 B/op	   20083 allocs/op
Benchmark/10000-4      	    1725	    720696 ns/op	  483073 B/op	   20083 allocs/op
Benchmark/10000-4      	    1711	    737999 ns/op	  483074 B/op	   20083 allocs/op
Benchmark/10000-4      	    1646	    726849 ns/op	  483073 B/op	   20083 allocs/op
Benchmark/10000-4      	    1692	    714077 ns/op	  483073 B/op	   20083 allocs/op
Benchmark/10000-4      	    1678	    738010 ns/op	  483073 B/op	   20083 allocs/op
Benchmark/10000-4      	    1682	    714214 ns/op	  483073 B/op	   20083 allocs/op
Benchmark/10000-4      	    1654	    724085 ns/op	  483073 B/op	   20083 allocs/op
Benchmark/10000-4      	    1610	    727355 ns/op	  483074 B/op	   20083 allocs/op
Benchmark/10000-4      	    1665	    702977 ns/op	  483073 B/op	   20083 allocs/op
Benchmark/100000-4     	     150	   8008950 ns/op	 4821774 B/op	  200787 allocs/op
Benchmark/100000-4     	     150	   7955848 ns/op	 4821777 B/op	  200787 allocs/op
Benchmark/100000-4     	     150	   8128186 ns/op	 4821770 B/op	  200787 allocs/op
Benchmark/100000-4     	     150	   7990754 ns/op	 4821780 B/op	  200787 allocs/op
Benchmark/100000-4     	     150	   7959061 ns/op	 4821770 B/op	  200787 allocs/op
Benchmark/100000-4     	     150	   8000237 ns/op	 4821778 B/op	  200787 allocs/op
Benchmark/100000-4     	     148	   8266529 ns/op	 4821771 B/op	  200787 allocs/op
Benchmark/100000-4     	     141	   8120545 ns/op	 4821771 B/op	  200787 allocs/op
Benchmark/100000-4     	     150	   8059193 ns/op	 4821768 B/op	  200787 allocs/op
Benchmark/100000-4     	     148	   8329364 ns/op	 4821767 B/op	  200787 allocs/op
Benchmark/1000000-4    	      14	  80652645 ns/op	48192077 B/op	 2007819 allocs/op
Benchmark/1000000-4    	      14	  81866762 ns/op	48192105 B/op	 2007819 allocs/op
Benchmark/1000000-4    	      14	  80596702 ns/op	48192105 B/op	 2007819 allocs/op
Benchmark/1000000-4    	      14	  80893657 ns/op	48192070 B/op	 2007819 allocs/op
Benchmark/1000000-4    	      14	  81163590 ns/op	48192091 B/op	 2007819 allocs/op
Benchmark/1000000-4    	      13	  80837963 ns/op	48192093 B/op	 2007819 allocs/op
Benchmark/1000000-4    	      14	  81287332 ns/op	48192105 B/op	 2007819 allocs/op
Benchmark/1000000-4    	      14	  80200462 ns/op	48192098 B/op	 2007819 allocs/op
Benchmark/1000000-4    	      14	  81441292 ns/op	48192098 B/op	 2007819 allocs/op
Benchmark/1000000-4    	      14	  81404503 ns/op	48192070 B/op	 2007819 allocs/op
