Benchmark/1-4          	 6408637	       188.9 ns/op	     336 B/op	       4 allocs/op
Benchmark/1-4          	 6297570	       188.0 ns/op	     336 B/op	       4 allocs/op
Benchmark/1-4          	 6284554	       187.8 ns/op	     336 B/op	       4 allocs/op
Benchmark/1-4          	 6339145	       189.0 ns/op	     336 B/op	       4 allocs/op
Benchmark/1-4          	 6383407	       188.9 ns/op	     336 B/op	       4 allocs/op
Benchmark/1-4          	 6275829	       188.4 ns/op	     336 B/op	       4 allocs/op
Benchmark/1-4          	 6340470	       190.0 ns/op	     336 B/op	       4 allocs/op
Benchmark/1-4          	 6368894	       189.4 ns/op	     336 B/op	       4 allocs/op
Benchmark/1-4          	 6314656	       188.0 ns/op	     336 B/op	       4 allocs/op
Benchmark/1-4          	 6351250	       189.2 ns/op	     336 B/op	       4 allocs/op
Benchmark/10-4         	 1521486	       778.2 ns/op	     624 B/op	      22 allocs/op
Benchmark/10-4         	 1510284	       778.3 ns/op	     624 B/op	      22 allocs/op
Benchmark/10-4         	 1523791	       782.0 ns/op	     624 B/op	      22 allocs/op
Benchmark/10-4         	 1519226	       785.3 ns/op	     624 B/op	      22 allocs/op
Benchmark/10-4         	 1505869	       782.2 ns/op	     624 B/op	      22 allocs/op
Benchmark/10-4         	 1523811	       777.7 ns/op	     624 B/op	      22 allocs/op
Benchmark/10-4         	 1519662	       780.4 ns/op	     624 B/op	      22 allocs/op
Benchmark/10-4         	 1525219	       784.5 ns/op	     624 B/op	      22 allocs/op
Benchmark/10-4         	 1511564	       782.3 ns/op	     624 B/op	      22 allocs/op
Benchmark/10-4         	 1518531	       781.1 ns/op	     624 B/op	      22 allocs/op
Benchmark/100-4        	  143605	      8118 ns/op	    8880 B/op	     208 allocs/op
Benchmark/100-4        	  143427	      8158 ns/op	    8880 B/op	     208 allocs/op
Benchmark/100-4        	  144960	      8708 ns/op	    8880 B/op	     208 allocs/op
Benchmark/100-4        	  135651	      8149 ns/op	    8880 B/op	     208 allocs/op
Benchmark/100-4        	  143606	      8101 ns/op	    8880 B/op	     208 allocs/op
Benchmark/100-4        	  141484	      8117 ns/op	    8880 B/op	     208 allocs/op
Benchmark/100-4        	  143948	      8120 ns/op	    8880 B/op	     208 allocs/op
Benchmark/100-4        	  144914	      8105 ns/op	    8880 B/op	     208 allocs/op
Benchmark/100-4        	  144058	      8115 ns/op	    8880 B/op	     208 allocs/op
Benchmark/100-4        	  144645	      8086 ns/op	    8880 B/op	     208 allocs/op
Benchmark/1000-4       	   16216	     73797 ns/op	   80688 B/op	    2014 allocs/op
Benchmark/1000-4       	   16017	     73485 ns/op	   80688 B/op	    2014 allocs/op
Benchmark/1000-4       	   16022	     74033 ns/op	   80688 B/op	    2014 allocs/op
Benchmark/1000-4       	   15663	     73655 ns/op	   80688 B/op	    2014 allocs/op
