Benchmark/1-4          	 1804075	       660.0 ns/op	    1232 B/op	      10 allocs/op
Benchmark/1-4          	 1807168	       661.5 ns/op	    1232 B/op	      10 allocs/op
Benchmark/1-4          	 1802144	       659.8 ns/op	    1232 B/op	      10 allocs/op
Benchmark/1-4          	 1801670	       667.2 ns/op	    1232 B/op	      10 allocs/op
Benchmark/1-4          	 1803948	       665.4 ns/op	    1232 B/op	      10 allocs/op
Benchmark/1-4          	 1797843	       660.7 ns/op	    1232 B/op	      10 allocs/op
Benchmark/1-4          	 1803220	       664.4 ns/op	    1232 B/op	      10 allocs/op
Benchmark/1-4          	 1796808	       659.2 ns/op	    1232 B/op	      10 allocs/op
Benchmark/1-4          	 1805385	       663.8 ns/op	    1232 B/op	      10 allocs/op
Benchmark/1-4          	 1786704	       661.6 ns/op	    1232 B/op	      10 allocs/op
Benchmark/10-4         	  528506	      2208 ns/op	    1520 B/op	      28 allocs/op
Benchmark/10-4         	  542744	      2214 ns/op	    1520 B/op	      28 allocs/op
Benchmark/10-4         	  516658	      2200 ns/op	    1520 B/op	      28 allocs/op
Benchmark/10-4         	  511632	      2208 ns/op	    1520 B/op	      28 allocs/op
Benchmark/10-4         	  520747	      2202 ns/op	    1520 B/op	      28 allocs/op
Benchmark/10-4         	  524924	      2201 ns/op	    1520 B/op	      28 allocs/op
Benchmark/10-4         	  522265	      2202 ns/op	    1520 B/op	      28 allocs/op
Benchmark/10-4         	  526323	      2198 ns/op	    1520 B/op	      28 allocs/op
Benchmark/10-4         	  508862	      2196 ns/op	    1520 B/op	      28 allocs/op
Benchmark/10-4         	  524769	      2194 ns/op	    1520 B/op	      28 allocs/op
Benchmark/100-4        	   69625	     16969 ns/op	    4400 B/op	     208 allocs/op
Benchmark/100-4        	   70861	     16995 ns/op	    4400 B/op	     208 allocs/op
Benchmark/100-4        	   70171	     16910 ns/op	    4400 B/op	     208 allocs/op
Benchmark/100-4        	   70359	     16939 ns/op	    4400 B/op	     208 allocs/op
Benchmark/100-4        	   71298	     16988 ns/op	    4400 B/op	     208 allocs/op
Benchmark/100-4        	   70652	     16848 ns/op	    4400 B/op	     208 allocs/op
Benchmark/100-4        	   71176	     16745 ns/op	    4400 B/op	     208 allocs/op
Benchmark/100-4        	   70398	     16716 ns/op	    4400 B/op	     208 allocs/op
Benchmark/100-4        	   70059	     16766 ns/op	    4400 B/op	     208 allocs/op
Benchmark/100-4        	   70246	     16840 ns/op	    4400 B/op	     208 allocs/op
Benchmark/1000-4       	    6642	    169550 ns/op	   42384 B/op	    2039 allocs/op
Benchmark/1000-4       	    6590	    167694 ns/op	   42384 B/op	    2039 allocs/op
Benchmark/1000-4       	    6712	    167824 ns/op	   42384 B/op	    2039 allocs/op
Benchmark/1000-4       	    6802	    167639 ns/op	   42384 B/op	    2039 allocs/op
Benchmark/1000-4       	    6817	    169375 ns/op	   42384 B/op	    2039 allocs/op
Benchmark/1000-4       	    6922	    168020 ns/op	   42384 B/op	    2039 allocs/op
Benchmark/1000-4       	    6680	    168760 ns/op	   42384 B/op	    2039 allocs/op
Benchmark/1000-4       	    6596	    168400 ns/op	   42384 B/op	    2039 allocs/op
Benchmark/1000-4       	    6457	    169667 ns/op	   42384 B/op	    2039 allocs/op
Benchmark/1000-4       	    6892	    168638 ns/op	   42384 B/op	    2039 allocs/op
Benchmark/10000-4      	     711	   1684567 ns/op	  410040 B/op	   20201 allocs/op
Benchmark/10000-4      	     704	   1685704 ns/op	  410041 B/op	   20201 allocs/op
Benchmark/10000-4      	     706	   1684709 ns/op	  410041 B/op	   20201 allocs/op
Benchmark/10000-4      	     704	   1693259 ns/op	  410040 B/op	   20201 allocs/op
Benchmark/10000-4      	     676	   1696186 ns/op	  410040 B/op	   20201 allocs/op
Benchmark/10000-4      	     706	   1686024 ns/op	  410040 B/op	   20201 allocs/op
Benchmark/10000-4      	     711	   1663314 ns/op	  410040 B/op	   20201 allocs/op
Benchmark/10000-4      	     700	   1680123 ns/op	  410040 B/op	   20201 allocs/op
Benchmark/10000-4      	     712	   1689170 ns/op	  410040 B/op	   20201 allocs/op
Benchmark/10000-4      	     703	   1693391 ns/op	  410040 B/op	   20201 allocs/op
Benchmark/100000-4     	      61	  18014526 ns/op	 4084980 B/op	  201631 allocs/op
Benchmark/100000-4     	      64	  18112247 ns/op	 4084974 B/op	  201631 allocs/op
Benchmark/100000-4     	      63	  17898380 ns/op	 4084974 B/op	  201631 allocs/op
Benchmark/100000-4     	      64	  18078985 ns/op	 4084972 B/op	  201631 allocs/op
Benchmark/100000-4     	      63	  17998962 ns/op	 4084980 B/op	  201631 allocs/op
