Benchmark/1-4          	 1745834	       680.8 ns/op	    1232 B/op	      10 allocs/op
Benchmark/1-4          	 1735359	       690.7 ns/op	    1232 B/op	      10 allocs/op
Benchmark/1-4          	 1749434	       679.7 ns/op	    1232 B/op	      10 allocs/op
Benchmark/1-4          	 1746580	       678.8 ns/op	    1232 B/op	      10 allocs/op
Benchmark/1-4          	 1749228	       680.9 ns/op	    1232 B/op	      10 allocs/op
Benchmark/1-4          	 1754305	       678.1 ns/op	    1232 B/op	      10 allocs/op
Benchmark/1-4          	 1742836	       680.2 ns/op	    1232 B/op	      10 allocs/op
Benchmark/1-4          	 1753081	       679.7 ns/op	    1232 B/op	      10 allocs/op
Benchmark/1-4          	 1743134	       680.0 ns/op	    1232 B/op	      10 allocs/op
Benchmark/1-4          	 1754078	       678.9 ns/op	    1232 B/op	      10 allocs/op
Benchmark/10-4         	  469810	      2436 ns/op	    1520 B/op	      28 allocs/op
Benchmark/10-4         	  456259	      2449 ns/op	    1520 B/op	      28 allocs/op
Benchmark/10-4         	  467385	      2444 ns/op	    1520 B/op	      28 allocs/op
Benchmark/10-4         	  467611	      2452 ns/op	    1520 B/op	      28 allocs/op
Benchmark/10-4         	  478644	      2440 ns/op	    1520 B/op	      28 allocs/op
Benchmark/10-4         	  470118	      2448 ns/op	    1520 B/op	      28 allocs/op
Benchmark/10-4         	  471944	      2437 ns/op	    1520 B/op	      28 allocs/op
Benchmark/10-4         	  467998	      2443 ns/op	    1520 B/op	      28 allocs/op
Benchmark/10-4         	  466611	      2448 ns/op	    1520 B/op	      28 allocs/op
Benchmark/10-4         	  481804	      2447 ns/op	    1520 B/op	      28 allocs/op
Benchmark/100-4        	   60771	     19364 ns/op	    4400 B/op	     208 allocs/op
Benchmark/100-4        	   61489	     19355 ns/op	    4400 B/op	     208 allocs/op
Benchmark/100-4        	   59738	     19560 ns/op	    4400 B/op	     208 allocs/op
Benchmark/100-4        	   61610	     19387 ns/op	    4400 B/op	     208 allocs/op
Benchmark/100-4        	   61354	     19270 ns/op	    4400 B/op	     208 allocs/op
Benchmark/100-4        	   61399	     19374 ns/op	    4400 B/op	     208 allocs/op
Benchmark/100-4        	   61896	     19399 ns/op	    4400 B/op	     208 allocs/op
Benchmark/100-4        	   61614	     19419 ns/op	    4400 B/op	     208 allocs/op
Benchmark/100-4        	   61552	     19431 ns/op	    4400 B/op	     208 allocs/op
Benchmark/100-4        	   61692	     19391 ns/op	    4400 B/op	     208 allocs/op
Benchmark/1000-4       	    5979	    193346 ns/op	   41352 B/op	    2038 allocs/op
Benchmark/1000-4       	    5958	    194112 ns/op	   41352 B/op	    2038 allocs/op
Benchmark/1000-4       	    5935	    198225 ns/op	   41352 B/op	    2038 allocs/op
Benchmark/1000-4       	    5994	    191480 ns/op	   41352 B/op	    2038 allocs/op
Benchmark/1000-4       	    5989	    192100 ns/op	   41352 B/op	    2038 allocs/op
Benchmark/1000-4       	    6219	    194425 ns/op	   41352 B/op	    2038 allocs/op
Benchmark/1000-4       	    5871	    195091 ns/op	   41352 B/op	    2038 allocs/op
Benchmark/1000-4       	    5794	    192603 ns/op	   41352 B/op	    2038 allocs/op
Benchmark/1000-4       	    6087	    194147 ns/op	   41352 B/op	    2038 allocs/op
Benchmark/1000-4       	    5926	    193061 ns/op	   41352 B/op	    2038 allocs/op
Benchmark/10000-4      	     618	   1930042 ns/op	  410088 B/op	   20203 allocs/op
Benchmark/10000-4      	     621	   1926904 ns/op	  410088 B/op	   20203 allocs/op
Benchmark/10000-4      	     618	   1926321 ns/op	  410089 B/op	   20203 allocs/op
Benchmark/10000-4      	     618	   1935403 ns/op	  410089 B/op	   20203 allocs/op
Benchmark/10000-4      	     614	   1949730 ns/op	  410088 B/op	   20203 allocs/op
Benchmark/10000-4      	     619	   1933681 ns/op	  410089 B/op	   20203 allocs/op
Benchmark/10000-4      	     620	   1930300 ns/op	  410088 B/op	   20203 allocs/op
Benchmark/10000-4      	     600	   1951158 ns/op	  410088 B/op	   20203 allocs/op
Benchmark/10000-4      	     594	   1940064 ns/op	  410088 B/op	   20203 allocs/op
Benchmark/10000-4      	     619	   1932069 ns/op	  410088 B/op	   20203 allocs/op
Benchmark/100000-4     	      56	  20443689 ns/op	 4085026 B/op	  201633 allocs/op
Benchmark/100000-4     	      52	  20304837 ns/op	 4085027 B/op	  201633 allocs/op
Benchmark/100000-4     	      57	  20178580 ns/op	 4085024 B/op	  201633 allocs/op
Benchmark/100000-4     	      55	  20336540 ns/op	 4085026 B/op	  201633 allocs/op
Benchmark/100000-4     	      56	  20246516 ns/op	 4085028 B/op	  201633 allocs/op
Benchmark/100000-4     	      57	  20258297 ns/op	 4085024 B/op	  201633 allocs/op
Benchmark/100000-4     	      56	  20268979 ns/op	 4085022 B/op	  201633 allocs/op
Benchmark/100000-4     	      54	  20399161 ns/op	 4085026 B/op	  201633 allocs/op
Benchmark/100000-4     	      56	  20335042 ns/op	 4085036 B/op	  201633 allocs/op
Benchmark/100000-4     	      58	  20252446 ns/op	 4085025 B/op	  201633 allocs/op
Benchmark/1000000-4    	       5	 205295670 ns/op	40835542 B/op	 2015725 allocs/op
Benchmark/1000000-4    	       5	 206283436 ns/op	40835504 B/op	 2015725 allocs/op
Benchmark/1000000-4    	       5	 206322384 ns/op	40835542 B/op	 2015725 allocs/op
Benchmark/1000000-4    	       5	 207150668 ns/op	40835600 B/op	 2015726 allocs/op
Benchmark/1000000-4    	       5	 208145401 ns/op	40835561 B/op	 2015725 allocs/op
Benchmark/1000000-4    	       5	 205725203 ns/op	40835523 B/op	 2015725 allocs/op
Benchmark/1000000-4    	       5	 207800846 ns/op	40835542 B/op	 2015725 allocs/op
Benchmark/1000000-4    	       5	 206166185 ns/op	40835542 B/op	 2015725 allocs/op
