Benchmark/1-4          	 5092644	       235.3 ns/op	     160 B/op	       6 allocs/op
Benchmark/1-4          	 5022937	       235.5 ns/op	     160 B/op	       6 allocs/op
Benchmark/1-4          	 5045360	       236.2 ns/op	     160 B/op	       6 allocs/op
Benchmark/1-4          	 5125420	       250.9 ns/op	     160 B/op	       6 allocs/op
Benchmark/1-4          	 5116521	       237.0 ns/op	     160 B/op	       6 allocs/op
Benchmark/1-4          	 5092628	       236.5 ns/op	     160 B/op	       6 allocs/op
Benchmark/1-4          	 5053954	       234.8 ns/op	     160 B/op	       6 allocs/op
Benchmark/1-4          	 5083665	       234.8 ns/op	     160 B/op	       6 allocs/op
Benchmark/1-4          	 5119153	       234.4 ns/op	     160 B/op	       6 allocs/op
Benchmark/1-4          	 5126485	       235.9 ns/op	     160 B/op	       6 allocs/op
Benchmark/10-4         	  732802	      1517 ns/op	    2976 B/op	      29 allocs/op
Benchmark/10-4         	  786967	      1509 ns/op	    2976 B/op	      29 allocs/op
Benchmark/10-4         	  756127	      1509 ns/op	    2976 B/op	      29 allocs/op
Benchmark/10-4         	  761800	      1520 ns/op	    2976 B/op	      29 allocs/op
Benchmark/10-4         	  780152	      1531 ns/op	    2976 B/op	      29 allocs/op
Benchmark/10-4         	  779640	      1507 ns/op	    2976 B/op	      29 allocs/op
Benchmark/10-4         	  772972	      1512 ns/op	    2976 B/op	      29 allocs/op
Benchmark/10-4         	  786362	      1505 ns/op	    2976 B/op	      29 allocs/op
Benchmark/10-4         	  753391	      1512 ns/op	    2976 B/op	      29 allocs/op
Benchmark/10-4         	  782196	      1513 ns/op	    2976 B/op	      29 allocs/op
Benchmark/100-4        	  154107	      7605 ns/op	    7936 B/op	     211 allocs/op
Benchmark/100-4        	  154612	      7666 ns/op	    7936 B/op	     211 allocs/op
Benchmark/100-4        	  154312	      7591 ns/op	    7936 B/op	     211 allocs/op
Benchmark/100-4        	  154080	      7596 ns/op	    7936 B/op	     211 allocs/op
Benchmark/100-4        	  154032	      7601 ns/op	    7936 B/op	     211 allocs/op
Benchmark/100-4        	  155126	      7620 ns/op	    7936 B/op	     211 allocs/op
Benchmark/100-4        	  151952	      7595 ns/op	    7936 B/op	     211 allocs/op
Benchmark/100-4        	  155040	      7598 ns/op	    7936 B/op	     211 allocs/op
Benchmark/100-4        	  153171	      7586 ns/op	    7936 B/op	     211 allocs/op
Benchmark/100-4        	  153520	      7623 ns/op	    7936 B/op	     211 allocs/op
Benchmark/1000-4       	   16982	     69668 ns/op	   65856 B/op	    2039 allocs/op
Benchmark/1000-4       	   16982	     69585 ns/op	   65856 B/op	    2039 allocs/op
Benchmark/1000-4       	   17036	     69486 ns/op	   65856 B/op	    2039 allocs/op
Benchmark/1000-4       	   16939	     69691 ns/op	   65856 B/op	    2039 allocs/op
Benchmark/1000-4       	   17072	     69631 ns/op	   65856 B/op	    2039 allocs/op
Benchmark/1000-4       	   16846	     69547 ns/op	   65856 B/op	    2039 allocs/op
Benchmark/1000-4       	   16686	     69677 ns/op	   65856 B/op	    2039 allocs/op
Benchmark/1000-4       	   17088	     69917 ns/op	   65856 B/op	    2039 allocs/op
Benchmark/1000-4       	   17136	     69817 ns/op	   65856 B/op	    2039 allocs/op
Benchmark/1000-4       	   17076	     69679 ns/op	   65856 B/op	    2039 allocs/op
Benchmark/10000-4      	    1664	    702797 ns/op	  647137 B/op	   20321 allocs/op
Benchmark/10000-4      	    1684	    700143 ns/op	  647137 B/op	   20321 allocs/op
Benchmark/10000-4      	    1680	    700007 ns/op	  647138 B/op	   20321 allocs/op
Benchmark/10000-4      	    1657	    700338 ns/op	  647137 B/op	   20321 allocs/op
Benchmark/10000-4      	    1611	    703058 ns/op	  647137 B/op	   20321 allocs/op
Benchmark/10000-4      	    1666	    740044 ns/op	  647138 B/op	   20321 allocs/op
Benchmark/10000-4      	    1568	    719051 ns/op	  647138 B/op	   20321 allocs/op
Benchmark/10000-4      	    1662	    701092 ns/op	  647137 B/op	   20321 allocs/op
Benchmark/10000-4      	    1675	    702317 ns/op	  647138 B/op	   20321 allocs/op
Benchmark/10000-4      	    1676	    698501 ns/op	  647137 B/op	   20321 allocs/op
Benchmark/100000-4     	     142	   8258268 ns/op	 6451638 B/op	  203133 allocs/op
Benchmark/100000-4     	     142	   8229263 ns/op	 6451632 B/op	  203133 allocs/op
Benchmark/100000-4     	     142	   8332009 ns/op	 6451633 B/op	  203133 allocs/op
Benchmark/100000-4     	     142	   8290561 ns/op	 6451638 B/op	  203133 allocs/op
Benchmark/100000-4     	     141	   8365263 ns/op	 6451639 B/op	  203133 allocs/op
Benchmark/100000-4     	     142	   8268710 ns/op	 6451628 B/op	  203133 allocs/op
Benchmark/100000-4     	     142	   8232347 ns/op	 6451632 B/op	  203133 allocs/op
Benchmark/100000-4     	     142	   8277580 ns/op	 6451638 B/op	  203133 allocs/op
Benchmark/100000-4     	     141	   8277862 ns/op	 6451630 B/op	  203133 allocs/op
Benchmark/100000-4     	     141	   8436612 ns/op	 6451630 B/op	  203133 allocs/op
Benchmark/1000000-4    	      12	  90565894 ns/op	64500592 B/op	 2031257 allocs/op
Benchmark/1000000-4    	      13	  88259445 ns/op	64500635 B/op	 2031257 allocs/op
Benchmark/1000000-4    	      12	  88203643 ns/op	64500584 B/op	 2031257 allocs/op
Benchmark/1000000-4    	      13	  89185113 ns/op	64500642 B/op	 2031257 allocs/op
Benchmark/1000000-4    	      13	  87000539 ns/op	64500649 B/op	 2031257 allocs/op
Benchmark/1000000-4    	      13	  87964110 ns/op	64500612 B/op	 2031257 allocs/op
Benchmark/1000000-4    	      13	  87872432 ns/op	64500598 B/op	 2031257 allocs/op
Benchmark/1000000-4    	      13	  87712462 ns/op	64500612 B/op	 2031257 allocs/op
Benchmark/1000000-4    	      13	 110274748 ns/op	64500649 B/op	 2031257 allocs/op
Benchmark/1000000-4    	      13	  87208746 ns/op	64500642 B/op	 2031257 allocs/op
