Benchmark/1-4          	 6555567	       181.9 ns/op	     176 B/op	       5 allocs/op
Benchmark/1-4          	 6497672	       182.1 ns/op	     176 B/op	       5 allocs/op
Benchmark/1-4          	 6509044	       182.0 ns/op	     176 B/op	       5 allocs/op
Benchmark/1-4          	 6626988	       184.1 ns/op	     176 B/op	       5 allocs/op
Benchmark/1-4          	 6578043	       182.8 ns/op	     176 B/op	       5 allocs/op
Benchmark/1-4          	 6595176	       182.6 ns/op	     176 B/op	       5 allocs/op
Benchmark/1-4          	 6523561	       182.3 ns/op	     176 B/op	       5 allocs/op
Benchmark/1-4          	 6575301	       183.3 ns/op	     176 B/op	       5 allocs/op
Benchmark/1-4          	 6494492	       182.2 ns/op	     176 B/op	       5 allocs/op
Benchmark/1-4          	 6612471	       181.9 ns/op	     176 B/op	       5 allocs/op
Benchmark/10-4         	  815697	      1442 ns/op	    1328 B/op	      41 allocs/op
Benchmark/10-4         	  794868	      1431 ns/op	    1328 B/op	      41 allocs/op
Benchmark/10-4         	  793342	      1443 ns/op	    1328 B/op	      41 allocs/op
Benchmark/10-4         	  798475	      1438 ns/op	    1328 B/op	      41 allocs/op
Benchmark/10-4         	  813879	      1531 ns/op	    1328 B/op	      41 allocs/op
Benchmark/10-4         	  706382	      1436 ns/op	    1328 B/op	      41 allocs/op
Benchmark/10-4         	  816128	      1433 ns/op	    1328 B/op	      41 allocs/op
Benchmark/10-4         	  810765	      1438 ns/op	    1328 B/op	      41 allocs/op
Benchmark/10-4         	  811854	      1435 ns/op	    1328 B/op	      41 allocs/op
Benchmark/10-4         	  812356	      1427 ns/op	    1328 B/op	      41 allocs/op
Benchmark/100-4        	   86631	     13909 ns/op	   12848 B/op	     401 allocs/op
Benchmark/100-4        	   85474	     13877 ns/op	   12848 B/op	     401 allocs/op
Benchmark/100-4        	   86530	     13825 ns/op	   12848 B/op	     401 allocs/op
Benchmark/100-4        	   86383	     13924 ns/op	   12848 B/op	     401 allocs/op
Benchmark/100-4        	   84585	     13817 ns/op	   12848 B/op	     401 allocs/op
Benchmark/100-4        	   86617	     13905 ns/op	   12848 B/op	     401 allocs/op
Benchmark/100-4        	   86923	     14152 ns/op	   12848 B/op	     401 allocs/op
Benchmark/100-4        	   86504	     13876 ns/op	   12848 B/op	     401 allocs/op
Benchmark/100-4        	   83343	     13800 ns/op	   12848 B/op	     401 allocs/op
Benchmark/100-4        	   85351	     13863 ns/op	   12848 B/op	     401 allocs/op
Benchmark/1000-4       	    8221	    138861 ns/op	  128048 B/op	    4001 allocs/op
Benchmark/1000-4       	    8191	    138516 ns/op	  128048 B/op	    4001 allocs/op
Benchmark/1000-4       	    8187	    138378 ns/op	  128048 B/op	    4001 allocs/op
Benchmark/1000-4       	    8184	    138309 ns/op	  128048 B/op	    4001 allocs/op
Benchmark/1000-4       	    8570	    138086 ns/op	  128048 B/op	    4001 allocs/op
Benchmark/1000-4       	    8298	    137920 ns/op	  128048 B/op	    4001 allocs/op
Benchmark/1000-4       	    8286	    138675 ns/op	  128048 B/op	    4001 allocs/op
Benchmark/1000-4       	    8235	    138353 ns/op	  128048 B/op	    4001 allocs/op
Benchmark/1000-4       	    8137	    138768 ns/op	  128048 B/op	    4001 allocs/op
Benchmark/1000-4       	    8258	    138173 ns/op	  128048 B/op	    4001 allocs/op
Benchmark/10000-4      	     866	   1407698 ns/op	 1280053 B/op	   40001 allocs/op
Benchmark/10000-4      	     832	   1386004 ns/op	 1280055 B/op	   40001 allocs/op
Benchmark/10000-4      	     861	   1389281 ns/op	 1280053 B/op	   40001 allocs/op
Benchmark/10000-4      	     860	   1383755 ns/op	 1280053 B/op	   40001 allocs/op
Benchmark/10000-4      	     836	   1384064 ns/op	 1280055 B/op	   40001 allocs/op
Benchmark/10000-4      	     858	   1385415 ns/op	 1280054 B/op	   40001 allocs/op
Benchmark/10000-4      	     860	   1383831 ns/op	 1280055 B/op	   40001 allocs/op
Benchmark/10000-4      	     841	   1379861 ns/op	 1280054 B/op	   40001 allocs/op
Benchmark/10000-4      	     850	   1399808 ns/op	 1280056 B/op	   40001 allocs/op
Benchmark/10000-4      	     861	   1384846 ns/op	 1280053 B/op	   40001 allocs/op
Benchmark/100000-4     	      49	  24719549 ns/op	12800067 B/op	  400001 allocs/op
Benchmark/100000-4     	      48	  25365458 ns/op	12800092 B/op	  400001 allocs/op
Benchmark/100000-4     	      44	  24568825 ns/op	12800080 B/op	  400001 allocs/op
Benchmark/100000-4     	      44	  24575967 ns/op	12800080 B/op	  400001 allocs/op
Benchmark/100000-4     	      50	  24039623 ns/op	12800082 B/op	  400001 allocs/op
Benchmark/100000-4     	      45	  23971909 ns/op	12800060 B/op	  400001 allocs/op
Benchmark/100000-4     	      43	  24475549 ns/op	12800088 B/op	  400001 allocs/op
Benchmark/100000-4     	      46	  24440210 ns/op	12800073 B/op	  400001 allocs/op
Benchmark/100000-4     	      54	  24681388 ns/op	12800083 B/op	  400001 allocs/op
Benchmark/100000-4     	      52	  25270410 ns/op	12800103 B/op	  400001 allocs/op
Benchmark/1000000-4    	       5	 262399129 ns/op	128000067 B/op	 4000001 allocs/op
Benchmark/1000000-4    	       5	 260612986 ns/op	128000067 B/op	 4000001 allocs/op
Benchmark/1000000-4    	       5	 224235081 ns/op	128000105 B/op	 4000001 allocs/op
Benchmark/1000000-4    	       5	 222973154 ns/op	128000086 B/op	 4000001 allocs/op
Benchmark/1000000-4    	       5	 241014085 ns/op	128000086 B/op	 4000001 allocs/op
Benchmark/1000000-4    	       5	 226042211 ns/op	128000048 B/op	 4000001 allocs/op
Benchmark/1000000-4    	       5	 225285343 ns/op	128000124 B/op	 4000001 allocs/op
Benchmark/1000000-4    	       5	 225076706 ns/op	128000086 B/op	 4000001 allocs/op
Benchmark/1000000-4    	       5	 232950934 ns/op	128000048 B/op	 4000001 allocs/op
Benchmark/1000000-4    	       4	 260328228 ns/op	128000096 B/op	 4000001 allocs/op
