Benchmark/1-4          	 6505894	       178.8 ns/op	     176 B/op	       5 allocs/op
Benchmark/1-4          	 6708344	       179.8 ns/op	     176 B/op	       5 allocs/op
Benchmark/1-4          	 6683619	       179.9 ns/op	     176 B/op	       5 allocs/op
Benchmark/1-4          	 6628038	       178.5 ns/op	     176 B/op	       5 allocs/op
Benchmark/1-4          	 6611740	       179.5 ns/op	     176 B/op	       5 allocs/op
Benchmark/1-4          	 6681084	       179.4 ns/op	     176 B/op	       5 allocs/op
Benchmark/1-4          	 6711279	       179.3 ns/op	     176 B/op	       5 allocs/op
Benchmark/1-4          	 6624554	       180.3 ns/op	     176 B/op	       5 allocs/op
Benchmark/1-4          	 6674566	       178.3 ns/op	     176 B/op	       5 allocs/op
Benchmark/1-4          	 6708705	       180.3 ns/op	     176 B/op	       5 allocs/op
Benchmark/10-4         	  815986	      1420 ns/op	    1328 B/op	      41 allocs/op
Benchmark/10-4         	  817310	      1414 ns/op	    1328 B/op	      41 allocs/op
Benchmark/10-4         	  797364	      1415 ns/op	    1328 B/op	      41 allocs/op
Benchmark/10-4         	  810464	      1418 ns/op	    1328 B/op	      41 allocs/op
Benchmark/10-4         	  821268	      1426 ns/op	    1328 B/op	      41 allocs/op
Benchmark/10-4         	  779832	      1419 ns/op	    1328 B/op	      41 allocs/op
Benchmark/10-4         	  811086	      1431 ns/op	    1328 B/op	      41 allocs/op
Benchmark/10-4         	  723970	      1424 ns/op	    1328 B/op	      41 allocs/op
Benchmark/10-4         	  822181	      1436 ns/op	    1328 B/op	      41 allocs/op
Benchmark/10-4         	  763485	      1418 ns/op	    1328 B/op	      41 allocs/op
Benchmark/100-4        	   87178	     13692 ns/op	   12848 B/op	     401 allocs/op
Benchmark/100-4        	   84176	     13742 ns/op	   12848 B/op	     401 allocs/op
Benchmark/100-4        	   87423	     13721 ns/op	   12848 B/op	     401 allocs/op
Benchmark/100-4        	   86056	     13740 ns/op	   12848 B/op	     401 allocs/op
Benchmark/100-4        	   85011	     13699 ns/op	   12848 B/op	     401 allocs/op
Benchmark/100-4        	   85306	     13813 ns/op	   12848 B/op	     401 allocs/op
Benchmark/100-4        	   86930	     13715 ns/op	   12848 B/op	     401 allocs/op
Benchmark/100-4        	   83206	     13804 ns/op	   12848 B/op	     401 allocs/op
Benchmark/100-4        	   86354	     13713 ns/op	   12848 B/op	     401 allocs/op
Benchmark/100-4        	   85801	     13766 ns/op	   12848 B/op	     401 allocs/op
Benchmark/1000-4       	    8196	    137507 ns/op	  128048 B/op	    4001 allocs/op
Benchmark/1000-4       	    8154	    137475 ns/op	  128048 B/op	    4001 allocs/op
Benchmark/1000-4       	    7886	    137073 ns/op	  128048 B/op	    4001 allocs/op
Benchmark/1000-4       	    8785	    136833 ns/op	  128048 B/op	    4001 allocs/op
Benchmark/1000-4       	    8640	    137049 ns/op	  128048 B/op	    4001 allocs/op
Benchmark/1000-4       	    8478	    136676 ns/op	  128048 B/op	    4001 allocs/op
Benchmark/1000-4       	    8324	    137041 ns/op	  128048 B/op	    4001 allocs/op
Benchmark/1000-4       	    8216	    137325 ns/op	  128048 B/op	    4001 allocs/op
Benchmark/1000-4       	    8316	    136709 ns/op	  128048 B/op	    4001 allocs/op
Benchmark/1000-4       	    8170	    137102 ns/op	  128048 B/op	    4001 allocs/op
Benchmark/10000-4      	     862	   1407207 ns/op	 1280053 B/op	   40001 allocs/op
Benchmark/10000-4      	     867	   1396697 ns/op	 1280056 B/op	   40001 allocs/op
Benchmark/10000-4      	     864	   1383857 ns/op	 1280054 B/op	   40001 allocs/op
Benchmark/10000-4      	     868	   1378211 ns/op	 1280054 B/op	   40001 allocs/op
Benchmark/10000-4      	     868	   1382782 ns/op	 1280052 B/op	   40001 allocs/op
Benchmark/10000-4      	     846	   1384120 ns/op	 1280052 B/op	   40001 allocs/op
Benchmark/10000-4      	     864	   1378802 ns/op	 1280053 B/op	   40001 allocs/op
Benchmark/10000-4      	     868	   1388218 ns/op	 1280055 B/op	   40001 allocs/op
Benchmark/10000-4      	     850	   1383142 ns/op	 1280055 B/op	   40001 allocs/op
