Benchmark/1-4          	 5923772	       201.8 ns/op	     128 B/op	       5 allocs/op
Benchmark/1-4          	 5927658	       200.3 ns/op	     128 B/op	       5 allocs/op
Benchmark/1-4          	 5928735	       202.6 ns/op	     128 B/op	       5 allocs/op
Benchmark/1-4          	 5981209	       202.6 ns/op	     128 B/op	       5 allocs/op
Benchmark/1-4          	 5995746	       200.4 ns/op	     128 B/op	       5 allocs/op
Benchmark/1-4          	 6003028	       199.2 ns/op	     128 B/op	       5 allocs/op
Benchmark/1-4          	 5934816	       199.8 ns/op	     128 B/op	       5 allocs/op
Benchmark/1-4          	 6032335	       199.8 ns/op	     128 B/op	       5 allocs/op
Benchmark/1-4          	 5957871	       200.4 ns/op	     128 B/op	       5 allocs/op
Benchmark/1-4          	 5942594	       200.5 ns/op	     128 B/op	       5 allocs/op
Benchmark/10-4         	  955062	      1152 ns/op	     992 B/op	      27 allocs/op
Benchmark/10-4         	  998689	      1157 ns/op	     992 B/op	      27 allocs/op
Benchmark/10-4         	  988681	      1157 ns/op	     992 B/op	      27 allocs/op
Benchmark/10-4         	  994792	      1268 ns/op	     992 B/op	      27 allocs/op
Benchmark/10-4         	  876874	      1158 ns/op	     992 B/op	      27 allocs/op
Benchmark/10-4         	  998487	      1157 ns/op	     992 B/op	      27 allocs/op
Benchmark/10-4         	  998917	      1153 ns/op	     992 B/op	      27 allocs/op
Benchmark/10-4         	 1000000	      1157 ns/op	     992 B/op	      27 allocs/op
Benchmark/10-4         	  901959	      1155 ns/op	     992 B/op	      27 allocs/op
Benchmark/10-4         	  973879	      1154 ns/op	     992 B/op	      27 allocs/op
Benchmark/100-4        	  137353	      8593 ns/op	    9248 B/op	     213 allocs/op
Benchmark/100-4        	  138526	      8611 ns/op	    9248 B/op	     213 allocs/op
Benchmark/100-4        	  134430	      8571 ns/op	    9248 B/op	     213 allocs/op
Benchmark/100-4        	  137684	      8540 ns/op	    9248 B/op	     213 allocs/op
Benchmark/100-4        	  138034	      8627 ns/op	    9248 B/op	     213 allocs/op
Benchmark/100-4        	  137474	      8665 ns/op	    9248 B/op	     213 allocs/op
Benchmark/100-4        	  136753	      8783 ns/op	    9248 B/op	     213 allocs/op
Benchmark/100-4        	  136172	      8629 ns/op	    9248 B/op	     213 allocs/op
Benchmark/100-4        	  136698	      8650 ns/op	    9248 B/op	     213 allocs/op
Benchmark/100-4        	  137814	      8671 ns/op	    9248 B/op	     213 allocs/op
Benchmark/1000-4       	   15704	     75870 ns/op	   81056 B/op	    2019 allocs/op
Benchmark/1000-4       	   15711	     75575 ns/op	   81056 B/op	    2019 allocs/op
Benchmark/1000-4       	   15579	     75406 ns/op	   81056 B/op	    2019 allocs/op
Benchmark/1000-4       	   15660	     78307 ns/op	   81056 B/op	    2019 allocs/op
Benchmark/1000-4       	   15598	     74854 ns/op	   81056 B/op	    2019 allocs/op
Benchmark/1000-4       	   15795	     75371 ns/op	   81056 B/op	    2019 allocs/op
Benchmark/1000-4       	   15841	     75096 ns/op	   81056 B/op	    2019 allocs/op
Benchmark/1000-4       	   15771	     75085 ns/op	   81056 B/op	    2019 allocs/op
Benchmark/1000-4       	   15513	     75494 ns/op	   81056 B/op	    2019 allocs/op
Benchmark/1000-4       	   15723	     74860 ns/op	   81056 B/op	    2019 allocs/op
Benchmark/10000-4      	    1380	    857258 ns/op	 1106336 B/op	   20027 allocs/op
Benchmark/10000-4      	    1396	    849931 ns/op	 1106336 B/op	   20027 allocs/op
Benchmark/10000-4      	    1371	    849619 ns/op	 1106337 B/op	   20027 allocs/op
Benchmark/10000-4      	    1360	    854322 ns/op	 1106336 B/op	   20027 allocs/op
Benchmark/10000-4      	    1386	    859187 ns/op	 1106336 B/op	   20027 allocs/op
Benchmark/10000-4      	    1316	    850478 ns/op	 1106337 B/op	   20027 allocs/op
Benchmark/10000-4      	    1384	    849795 ns/op	 1106337 B/op	   20027 allocs/op
Benchmark/10000-4      	    1384	    850704 ns/op	 1106336 B/op	   20027 allocs/op
Benchmark/10000-4      	    1362	    853100 ns/op	 1106336 B/op	   20027 allocs/op
Benchmark/10000-4      	    1376	    852288 ns/op	 1106336 B/op	   20027 allocs/op
Benchmark/100000-4     	     100	  10299839 ns/op	 9491378 B/op	  200033 allocs/op
Benchmark/100000-4     	     100	  10260158 ns/op	 9491377 B/op	  200033 allocs/op
Benchmark/100000-4     	     100	  10254872 ns/op	 9491381 B/op	  200033 allocs/op
Benchmark/100000-4     	     100	  10234686 ns/op	 9491375 B/op	  200033 allocs/op
Benchmark/100000-4     	     100	  10235959 ns/op	 9491382 B/op	  200033 allocs/op
Benchmark/100000-4     	     100	  10268675 ns/op	 9491385 B/op	  200033 allocs/op
Benchmark/100000-4     	     100	  10212564 ns/op	 9491378 B/op	  200033 allocs/op
Benchmark/100000-4     	     100	  11545907 ns/op	 9491381 B/op	  200033 allocs/op
Benchmark/100000-4     	      98	  10498199 ns/op	 9491381 B/op	  200033 allocs/op
Benchmark/100000-4     	     100	  10302990 ns/op	 9491388 B/op	  200033 allocs/op
Benchmark/1000000-4    	      12	  99172628 ns/op	82331560 B/op	 2000039 allocs/op
Benchmark/1000000-4    	      12	  99220955 ns/op	82331560 B/op	 2000039 allocs/op
Benchmark/1000000-4    	      12	 100665819 ns/op	82331568 B/op	 2000039 allocs/op
Benchmark/1000000-4    	      10	 100976457 ns/op	82331571 B/op	 2000039 allocs/op
Benchmark/1000000-4    	      12	  98667302 ns/op	82331568 B/op	 2000039 allocs/op
Benchmark/1000000-4    	      12	  99320388 ns/op	82331552 B/op	 2000039 allocs/op
Benchmark/1000000-4    	      12	  99302551 ns/op	82331560 B/op	 2000039 allocs/op
Benchmark/1000000-4    	      12	 108399140 ns/op	82331552 B/op	 2000039 allocs/op
Benchmark/1000000-4    	      10	 101668880 ns/op	82331552 B/op	 2000039 allocs/op
Benchmark/1000000-4    	      12	 100187985 ns/op	82331560 B/op	 2000039 allocs/op
