Benchmark/1-4          	 6394759	       186.6 ns/op	      80 B/op	       5 allocs/op
Benchmark/1-4          	 6389307	       187.5 ns/op	      80 B/op	       5 allocs/op
Benchmark/1-4          	 6305409	       186.2 ns/op	      80 B/op	       5 allocs/op
Benchmark/1-4          	 6188156	       185.7 ns/op	      80 B/op	       5 allocs/op
Benchmark/1-4          	 6403574	       186.6 ns/op	      80 B/op	       5 allocs/op
Benchmark/1-4          	 6424198	       185.7 ns/op	      80 B/op	       5 allocs/op
Benchmark/1-4          	 6275577	       186.2 ns/op	      80 B/op	       5 allocs/op
Benchmark/1-4          	 6303370	       187.6 ns/op	      80 B/op	       5 allocs/op
Benchmark/1-4          	 6405350	       188.7 ns/op	      80 B/op	       5 allocs/op
Benchmark/1-4          	 6374056	       187.7 ns/op	      80 B/op	       5 allocs/op
Benchmark/10-4         	  920156	      1168 ns/op	     768 B/op	      29 allocs/op
Benchmark/10-4         	  987991	      1156 ns/op	     768 B/op	      29 allocs/op
Benchmark/10-4         	  995619	      1154 ns/op	     768 B/op	      29 allocs/op
Benchmark/10-4         	  991634	      1159 ns/op	     768 B/op	      29 allocs/op
Benchmark/10-4         	  997245	      1153 ns/op	     768 B/op	      29 allocs/op
Benchmark/10-4         	 1000000	      1152 ns/op	     768 B/op	      29 allocs/op
Benchmark/10-4         	  969780	      1158 ns/op	     768 B/op	      29 allocs/op
Benchmark/10-4         	 1000000	      1154 ns/op	     768 B/op	      29 allocs/op
Benchmark/10-4         	 1000000	      1156 ns/op	     768 B/op	      29 allocs/op
Benchmark/10-4         	  948951	      1157 ns/op	     768 B/op	      29 allocs/op
Benchmark/100-4        	  150978	      7680 ns/op	    6656 B/op	     214 allocs/op
Benchmark/100-4        	  154042	      7587 ns/op	    6656 B/op	     214 allocs/op
Benchmark/100-4        	  149458	      7499 ns/op	    6656 B/op	     214 allocs/op
Benchmark/100-4        	  156850	      7534 ns/op	    6656 B/op	     214 allocs/op
Benchmark/100-4        	  152594	      7513 ns/op	    6656 B/op	     214 allocs/op
Benchmark/100-4        	  154474	      7545 ns/op	    6656 B/op	     214 allocs/op
Benchmark/100-4        	  154155	      7567 ns/op	    6656 B/op	     214 allocs/op
Benchmark/100-4        	  157419	      7569 ns/op	    6656 B/op	     214 allocs/op
Benchmark/100-4        	  152882	      7561 ns/op	    6656 B/op	     214 allocs/op
Benchmark/100-4        	  157885	      7504 ns/op	    6656 B/op	     214 allocs/op
Benchmark/1000-4       	   17167	     69350 ns/op	   78080 B/op	    2021 allocs/op
Benchmark/1000-4       	   17350	     68554 ns/op	   78080 B/op	    2021 allocs/op
Benchmark/1000-4       	   17196	     69473 ns/op	   78080 B/op	    2021 allocs/op
Benchmark/1000-4       	   17319	     68906 ns/op	   78080 B/op	    2021 allocs/op
Benchmark/1000-4       	   16758	     70821 ns/op	   78080 B/op	    2021 allocs/op
Benchmark/1000-4       	   17332	     68997 ns/op	   78080 B/op	    2021 allocs/op
Benchmark/1000-4       	   17317	     69293 ns/op	   78080 B/op	    2021 allocs/op
Benchmark/1000-4       	   17354	     69054 ns/op	   78080 B/op	    2021 allocs/op
Benchmark/1000-4       	   17522	     69532 ns/op	   78080 B/op	    2021 allocs/op
Benchmark/1000-4       	   17085	     69134 ns/op	   78080 B/op	    2021 allocs/op
Benchmark/10000-4      	    1484	    805180 ns/op	  963969 B/op	   20033 allocs/op
Benchmark/10000-4      	    1626	    746849 ns/op	  963969 B/op	   20033 allocs/op
Benchmark/10000-4      	    1587	    741859 ns/op	  963969 B/op	   20033 allocs/op
Benchmark/10000-4      	    1608	    741995 ns/op	  963969 B/op	   20033 allocs/op
Benchmark/10000-4      	    1612	    745297 ns/op	  963969 B/op	   20033 allocs/op
Benchmark/10000-4      	    1549	    740798 ns/op	  963969 B/op	   20033 allocs/op
Benchmark/10000-4      	    1598	    748777 ns/op	  963969 B/op	   20033 allocs/op
Benchmark/10000-4      	    1554	    747510 ns/op	  963969 B/op	   20033 allocs/op
Benchmark/10000-4      	    1537	    738972 ns/op	  963969 B/op	   20033 allocs/op
Benchmark/10000-4      	    1552	    736229 ns/op	  963969 B/op	   20033 allocs/op
Benchmark/100000-4     	      94	  13208360 ns/op	11102134 B/op	  200050 allocs/op
Benchmark/100000-4     	     100	  13277088 ns/op	11102114 B/op	  200050 allocs/op
Benchmark/100000-4     	     100	  13282982 ns/op	11102128 B/op	  200050 allocs/op
Benchmark/100000-4     	      97	  13330803 ns/op	11102147 B/op	  200050 allocs/op
Benchmark/100000-4     	     100	  13314265 ns/op	11102162 B/op	  200050 allocs/op
Benchmark/100000-4     	     100	  13184670 ns/op	11102160 B/op	  200050 allocs/op
