Benchmark/1-4                	36595064	        31.54 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	37190214	        31.37 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	36649848	        31.27 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	36611776	        31.64 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	36901276	        31.52 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	37236822	        31.38 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	36767323	        31.36 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	36548852	        31.41 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	36719052	        31.52 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	35834850	        31.24 ns/op	      16 B/op	       1 allocs/op
Benchmark/10-4               	 3792052	       317.4 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 3788064	       317.7 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 3784814	       318.2 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 3790041	       318.2 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 3781094	       319.8 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 3783303	       318.0 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 3637036	       320.1 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 3726708	       320.6 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 3790731	       320.4 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 3740728	       316.8 ns/op	     160 B/op	      10 allocs/op
Benchmark/100-4              	  351717	      3095 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  377919	      3091 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  357304	      3132 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  361000	      3168 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  364291	      3118 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  380138	      3097 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  377943	      3118 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  361141	      3098 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  373800	      3122 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  372190	      3093 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1000-4             	   38804	     30834 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   39202	     30747 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   38552	     31247 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   39062	     30851 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   38391	     30780 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   39070	     30889 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   38726	     32657 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   36844	     30981 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   38581	     31372 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   38330	     31061 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10000-4            	    3709	    308876 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    3681	    308338 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    3824	    307918 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    3777	    307092 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    3740	    309831 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    3784	    308511 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    3813	    311508 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    3669	    309502 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    3800	    312137 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    3634	    308368 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100000-4           	     387	   3068909 ns/op	 1600004 B/op	  100000 allocs/op
Benchmark/100000-4           	     387	   3071100 ns/op	 1600005 B/op	  100000 allocs/op
Benchmark/100000-4           	     385	   3093175 ns/op	 1600004 B/op	  100000 allocs/op
Benchmark/100000-4           	     382	   3074543 ns/op	 1600005 B/op	  100000 allocs/op
Benchmark/100000-4           	     388	   3095112 ns/op	 1600005 B/op	  100000 allocs/op
Benchmark/100000-4           	     388	   3080386 ns/op	 1600004 B/op	  100000 allocs/op
Benchmark/100000-4           	     382	   3083483 ns/op	 1600002 B/op	  100000 allocs/op
Benchmark/100000-4           	     388	   3089550 ns/op	 1600004 B/op	  100000 allocs/op
Benchmark/100000-4           	     385	   3110616 ns/op	 1600002 B/op	  100000 allocs/op
Benchmark/100000-4           	     388	   3082018 ns/op	 1600003 B/op	  100000 allocs/op
Benchmark/1000000-4          	      36	  30919619 ns/op	16000029 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      36	  30889620 ns/op	16000050 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      37	  30943780 ns/op	16000044 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      36	  31010461 ns/op	16000048 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      37	  30945082 ns/op	16000041 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      37	  30959388 ns/op	16000057 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      37	  30972492 ns/op	16000038 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      37	  30945525 ns/op	16000046 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      37	  30950621 ns/op	16000054 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      37	  30895164 ns/op	16000064 B/op	 1000000 allocs/op
