Benchmark/1-4                	36100639	        31.14 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	36472951	        31.37 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	37104128	        31.22 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	36952872	        31.09 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	37076850	        31.28 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	37091059	        31.21 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	36338760	        31.37 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	37162906	        31.50 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	34635938	        31.22 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	36725594	        31.50 ns/op	      16 B/op	       1 allocs/op
Benchmark/10-4               	 3792061	       314.9 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 3821916	       317.4 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 3819469	       316.8 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 3180944	       321.7 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 3783109	       314.8 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 3769465	       315.6 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 3810913	       315.3 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 3771865	       314.4 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 3819619	       316.1 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 3802040	       315.4 ns/op	     160 B/op	      10 allocs/op
Benchmark/100-4              	  378583	      3082 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  375758	      3066 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  373786	      3071 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  371080	      3057 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  374024	      3103 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  374800	      3066 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  374568	      3071 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  372762	      3090 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  368234	      3067 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  372324	      3072 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1000-4             	   38343	     31933 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   38440	     31191 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   36982	     31453 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   38899	     31420 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   38697	     30745 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   38983	     31423 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   38768	     30959 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   38896	     30898 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   38894	     30866 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   38733	     30841 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10000-4            	    3732	    308979 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    3765	    309037 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    3432	    310036 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    3813	    310619 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    3760	    311652 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    3800	    308729 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    3675	    312816 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    3769	    307094 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    3766	    305324 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    3846	    306284 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100000-4           	     390	   3078317 ns/op	 1600003 B/op	  100000 allocs/op
Benchmark/100000-4           	     388	   3072925 ns/op	 1600002 B/op	  100000 allocs/op
Benchmark/100000-4           	     392	   3064693 ns/op	 1600005 B/op	  100000 allocs/op
Benchmark/100000-4           	     390	   3045243 ns/op	 1600003 B/op	  100000 allocs/op
Benchmark/100000-4           	     391	   3083495 ns/op	 1600005 B/op	  100000 allocs/op
Benchmark/100000-4           	     392	   3086062 ns/op	 1600005 B/op	  100000 allocs/op
Benchmark/100000-4           	     392	   3067012 ns/op	 1600004 B/op	  100000 allocs/op
Benchmark/100000-4           	     380	   3042266 ns/op	 1600004 B/op	  100000 allocs/op
Benchmark/100000-4           	     391	   3063985 ns/op	 1600005 B/op	  100000 allocs/op
Benchmark/100000-4           	     390	   3066309 ns/op	 1600004 B/op	  100000 allocs/op
Benchmark/1000000-4          	      36	  30583978 ns/op	16000045 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      38	  30625012 ns/op	16000050 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      37	  30587969 ns/op	16000051 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      36	  30774485 ns/op	16000061 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      37	  30975123 ns/op	16000057 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      36	  30619760 ns/op	16000061 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      37	  30753404 ns/op	16000077 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      37	  30674716 ns/op	16000064 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      37	  30993256 ns/op	16000077 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      37	  30578974 ns/op	16000072 B/op	 1000000 allocs/op
