Benchmark/1-4                	33903853	        33.89 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	33874926	        34.10 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	33997557	        35.66 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	34194109	        34.04 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	33666144	        33.97 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	35184747	        33.57 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	34314961	        35.45 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	34078624	        33.80 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	34810180	        33.65 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	33689078	        33.98 ns/op	      16 B/op	       1 allocs/op
Benchmark/10-4               	 3513699	       342.8 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 3415144	       344.8 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 3495536	       341.8 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 3525345	       342.5 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 3507596	       342.3 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 3508814	       345.5 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 3478566	       345.9 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 3489633	       345.0 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 3541761	       343.0 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 3501714	       342.9 ns/op	     160 B/op	      10 allocs/op
Benchmark/100-4              	  337830	      3340 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  344365	      3351 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  349080	      3334 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  338498	      3480 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  339541	      3314 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  350193	      3372 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  342510	      3358 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  349921	      3474 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  323456	      3324 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  352206	      3360 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1000-4             	   35804	     33558 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   34803	     35073 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   36135	     33106 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   36438	     33188 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   35814	     33443 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   34435	     34914 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   36147	     34462 ns/op	   16000 B/op	    1000 allocs/op
