Benchmark/1-4                	50000000	        38.4 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	30000000	        39.7 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	30000000	        34.6 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        36.0 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        39.4 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        34.1 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        38.2 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	30000000	        39.6 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        34.0 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        37.7 ns/op	      16 B/op	       1 allocs/op
Benchmark/10-4               	 5000000	       360 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       352 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       375 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       338 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       389 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 3000000	       376 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       382 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       381 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       352 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       387 ns/op	     160 B/op	      10 allocs/op
Benchmark/100-4              	  500000	      3311 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3658 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3631 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3343 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3816 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3476 ns/op	    1600 B/op	     100 allocs/op
