Benchmark/1-4                	36747237	        33.17 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	36503175	        32.80 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	36496593	        32.83 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	35725044	        32.84 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	35916782	        32.49 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	36703216	        33.07 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	36729346	        32.72 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	36692910	        32.61 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	35923081	        32.59 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	36254629	        32.67 ns/op	      16 B/op	       1 allocs/op
Benchmark/10-4               	 3648661	       330.8 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 3606356	       341.7 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 3611020	       333.9 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 3607830	       331.3 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 3610782	       332.6 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 3609361	       331.1 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 3642268	       332.6 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 3641328	       330.6 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 3649336	       329.5 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 3665253	       332.7 ns/op	     160 B/op	      10 allocs/op
Benchmark/100-4              	  369846	      3262 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  372769	      3234 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  361520	      3236 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  365768	      3232 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  372198	      3248 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  351988	      3244 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  312421	      3227 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  364542	      3257 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  370718	      3568 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  337023	      3638 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1000-4             	   32332	     35058 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   33558	     35373 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   37028	     32363 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   37220	     32496 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   36048	     32851 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   36984	     32485 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   36024	     34069 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   35851	     32493 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   36877	     32452 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   36646	     32360 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10000-4            	    3768	    321216 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    3682	    321834 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    3730	    324362 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    3698	    324426 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    3644	    321671 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    3784	    320992 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    3722	    320825 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    3541	    319800 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    3702	    319442 ns/op	  160000 B/op	   10000 allocs/op
