Benchmark/1-4                	32769588	        33.80 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	34711116	        33.82 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	34101386	        47.34 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	34570231	        33.87 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	34898376	        33.64 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	33134516	        33.53 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	34521571	        33.73 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	34798290	        33.90 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	34537371	        33.61 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	34221798	        33.55 ns/op	      16 B/op	       1 allocs/op
Benchmark/10-4               	 3542030	       351.3 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 2997673	       342.3 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 3549621	       339.2 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 3386642	       340.8 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 3532762	       339.5 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 3536824	       339.9 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 3553335	       342.7 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 3475701	       341.0 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 3507447	       343.4 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 3558256	       338.9 ns/op	     160 B/op	      10 allocs/op
Benchmark/100-4              	  355939	      3302 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  350838	      3367 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  345273	      3291 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  353164	      3330 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  333955	      3342 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  356809	      3356 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  332191	      3322 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  350709	      3322 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  342889	      3295 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  330352	      3316 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1000-4             	   35724	     33026 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   35959	     32881 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   36410	     33445 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   36703	     33259 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   35438	     33313 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   36535	     33076 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   35326	     32972 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   36489	     33131 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   36403	     33188 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   36031	     33084 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10000-4            	    3342	    329764 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    3519	    330324 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    3637	    331929 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    3288	    334808 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    3488	    329249 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    3530	    330500 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    3549	    331797 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    3577	    332272 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    3466	    386583 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    3578	    331381 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100000-4           	     357	   3275591 ns/op	 1600005 B/op	  100000 allocs/op
Benchmark/100000-4           	     361	   3297287 ns/op	 1600005 B/op	  100000 allocs/op
Benchmark/100000-4           	     355	   3318162 ns/op	 1600006 B/op	  100000 allocs/op
Benchmark/100000-4           	     361	   3289304 ns/op	 1600004 B/op	  100000 allocs/op
Benchmark/100000-4           	     362	   3546982 ns/op	 1600006 B/op	  100000 allocs/op
Benchmark/100000-4           	     362	   3316202 ns/op	 1600004 B/op	  100000 allocs/op
Benchmark/100000-4           	     362	   3300437 ns/op	 1600002 B/op	  100000 allocs/op
Benchmark/100000-4           	     362	   3301696 ns/op	 1600004 B/op	  100000 allocs/op
Benchmark/100000-4           	     364	   3286360 ns/op	 1600006 B/op	  100000 allocs/op
Benchmark/100000-4           	     354	   3300519 ns/op	 1600005 B/op	  100000 allocs/op
Benchmark/1000000-4          	      33	  33450714 ns/op	16000061 B/op	 1000000 allocs/op
