Benchmark/1-4                	35765277	        33.37 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	34820304	        33.07 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	34007275	        32.94 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	35161834	        33.07 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	35110376	        32.90 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	35603016	        32.90 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	31963526	        33.77 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	34051531	        32.84 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	35579084	        33.01 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	32755772	        32.97 ns/op	      16 B/op	       1 allocs/op
Benchmark/10-4               	 3584637	       334.7 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 3573261	       334.4 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 3550221	       333.8 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 3563224	       333.2 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 3491604	       335.8 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 3562161	       332.0 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 3562899	       334.3 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 3602880	       334.0 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 3590732	       336.7 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 3610891	       334.2 ns/op	     160 B/op	      10 allocs/op
Benchmark/100-4              	  359942	      3263 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  341042	      3242 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  360374	      3278 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  340864	      3248 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  360244	      3259 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  355485	      3259 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  354676	      3293 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  359007	      3248 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  354690	      3253 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  358904	      3269 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1000-4             	   36612	     34984 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   36860	     32409 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   36723	     32516 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   36565	     32414 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   37188	     32310 ns/op	   16000 B/op	    1000 allocs/op
