Benchmark/1-4                	12223119	        97.48 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	12182592	        96.81 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	12194558	       103.9 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	12161725	        97.86 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	12176780	        97.63 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	12196429	        97.74 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	12244186	        97.02 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	12456556	        96.87 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	12290715	        96.90 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	12291157	        96.46 ns/op	      16 B/op	       1 allocs/op
Benchmark/10-4               	 1227939	       966.8 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 1235450	       969.7 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 1224607	       973.2 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 1234506	       968.4 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 1223944	       969.7 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 1235912	       972.2 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 1219172	       964.8 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 1236687	       961.5 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 1233690	       965.2 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 1233082	       969.8 ns/op	     160 B/op	      10 allocs/op
Benchmark/100-4              	  118771	      9682 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  122074	      9683 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  124234	      9623 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  122490	      9700 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  122323	      9710 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  121348	      9702 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  122816	      9671 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  122402	      9668 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  122738	      9665 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  120976	      9631 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1000-4             	   12338	     96391 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   12404	     96018 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   12391	     95915 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   12382	     96220 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   12206	     96968 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   12399	     96128 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   12414	     96023 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   10000	    103440 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   12444	     95920 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   12327	     96682 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10000-4            	    1216	    964444 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    1237	    965783 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    1232	    959256 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    1230	    965475 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    1248	    959318 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    1239	    958237 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    1246	    965375 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    1242	    968473 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    1231	    961790 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    1232	    961840 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100000-4           	     123	   9574645 ns/op	 1600002 B/op	  100000 allocs/op
Benchmark/100000-4           	     124	   9518614 ns/op	 1600003 B/op	  100000 allocs/op
Benchmark/100000-4           	     123	   9665308 ns/op	 1600003 B/op	  100000 allocs/op
Benchmark/100000-4           	     123	   9584316 ns/op	 1600004 B/op	  100000 allocs/op
Benchmark/100000-4           	     123	   9669093 ns/op	 1600003 B/op	  100000 allocs/op
Benchmark/100000-4           	     123	   9599720 ns/op	 1600004 B/op	  100000 allocs/op
Benchmark/100000-4           	     123	   9571459 ns/op	 1600003 B/op	  100000 allocs/op
Benchmark/100000-4           	     123	   9569420 ns/op	 1600001 B/op	  100000 allocs/op
Benchmark/100000-4           	     123	   9544360 ns/op	 1600002 B/op	  100000 allocs/op
Benchmark/100000-4           	     123	   9628879 ns/op	 1600003 B/op	  100000 allocs/op
Benchmark/1000000-4          	      12	  96081864 ns/op	16000032 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      12	  96280392 ns/op	16000056 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      12	  95955180 ns/op	16000008 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      12	  95789168 ns/op	16000024 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      12	  96468390 ns/op	16000024 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      12	  96134282 ns/op	16000048 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      12	  96742151 ns/op	16000024 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      12	  96077340 ns/op	16000072 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      12	  95622237 ns/op	16000016 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      12	  96422634 ns/op	16000032 B/op	 1000000 allocs/op
