Benchmark/1-4                	30618696	        36.41 ns/op	      32 B/op	       1 allocs/op
Benchmark/1-4                	31665903	        36.52 ns/op	      32 B/op	       1 allocs/op
Benchmark/1-4                	31728873	        36.66 ns/op	      32 B/op	       1 allocs/op
Benchmark/1-4                	31052558	        36.82 ns/op	      32 B/op	       1 allocs/op
Benchmark/1-4                	31880802	        36.73 ns/op	      32 B/op	       1 allocs/op
Benchmark/1-4                	31717717	        36.32 ns/op	      32 B/op	       1 allocs/op
Benchmark/1-4                	32177425	        36.59 ns/op	      32 B/op	       1 allocs/op
Benchmark/1-4                	31129790	        37.21 ns/op	      32 B/op	       1 allocs/op
Benchmark/1-4                	31332660	        36.39 ns/op	      32 B/op	       1 allocs/op
Benchmark/1-4                	30239248	        36.24 ns/op	      32 B/op	       1 allocs/op
Benchmark/10-4               	 3274074	       367.8 ns/op	     322 B/op	      10 allocs/op
Benchmark/10-4               	 3214030	       372.1 ns/op	     322 B/op	      10 allocs/op
Benchmark/10-4               	 3260011	       370.2 ns/op	     322 B/op	      10 allocs/op
Benchmark/10-4               	 3269550	       367.7 ns/op	     322 B/op	      10 allocs/op
Benchmark/10-4               	 3218556	       369.2 ns/op	     322 B/op	      10 allocs/op
Benchmark/10-4               	 3277338	       390.6 ns/op	     322 B/op	      10 allocs/op
Benchmark/10-4               	 3251748	       368.4 ns/op	     322 B/op	      10 allocs/op
Benchmark/10-4               	 3287421	       368.8 ns/op	     322 B/op	      10 allocs/op
Benchmark/10-4               	 3277818	       367.4 ns/op	     322 B/op	      10 allocs/op
Benchmark/10-4               	 3237421	       371.5 ns/op	     322 B/op	      10 allocs/op
Benchmark/100-4              	  329916	      3590 ns/op	    3225 B/op	     101 allocs/op
Benchmark/100-4              	  322866	      3589 ns/op	    3225 B/op	     101 allocs/op
Benchmark/100-4              	  322958	      3585 ns/op	    3225 B/op	     101 allocs/op
Benchmark/100-4              	  316948	      3596 ns/op	    3225 B/op	     101 allocs/op
Benchmark/100-4              	  314964	      3621 ns/op	    3225 B/op	     101 allocs/op
Benchmark/100-4              	  323704	      3604 ns/op	    3225 B/op	     101 allocs/op
Benchmark/100-4              	  303816	      3590 ns/op	    3225 B/op	     101 allocs/op
Benchmark/100-4              	  320846	      3608 ns/op	    3225 B/op	     101 allocs/op
Benchmark/100-4              	  323152	      3597 ns/op	    3225 B/op	     101 allocs/op
Benchmark/100-4              	  320516	      3595 ns/op	    3225 B/op	     101 allocs/op
Benchmark/1000-4             	   33324	     35811 ns/op	   32250 B/op	    1015 allocs/op
Benchmark/1000-4             	   33408	     36033 ns/op	   32250 B/op	    1015 allocs/op
Benchmark/1000-4             	   33828	     35711 ns/op	   32250 B/op	    1015 allocs/op
Benchmark/1000-4             	   33099	     35619 ns/op	   32250 B/op	    1015 allocs/op
Benchmark/1000-4             	   33655	     35940 ns/op	   32250 B/op	    1015 allocs/op
Benchmark/1000-4             	   33212	     35974 ns/op	   32250 B/op	    1015 allocs/op
Benchmark/1000-4             	   33694	     36004 ns/op	   32250 B/op	    1015 allocs/op
Benchmark/1000-4             	   33829	     35697 ns/op	   32250 B/op	    1015 allocs/op
Benchmark/1000-4             	   33004	     35988 ns/op	   32250 B/op	    1015 allocs/op
Benchmark/1000-4             	   33540	     35771 ns/op	   32250 B/op	    1015 allocs/op
Benchmark/10000-4            	    3253	    357758 ns/op	  322500 B/op	   10156 allocs/op
Benchmark/10000-4            	    2780	    361124 ns/op	  322500 B/op	   10156 allocs/op
Benchmark/10000-4            	    3170	    359975 ns/op	  322500 B/op	   10156 allocs/op
Benchmark/10000-4            	    3252	    355602 ns/op	  322500 B/op	   10156 allocs/op
Benchmark/10000-4            	    3124	    356711 ns/op	  322500 B/op	   10156 allocs/op
Benchmark/10000-4            	    3213	    357767 ns/op	  322501 B/op	   10156 allocs/op
Benchmark/10000-4            	    3250	    358244 ns/op	  322500 B/op	   10156 allocs/op
Benchmark/10000-4            	    3160	    358415 ns/op	  322501 B/op	   10156 allocs/op
Benchmark/10000-4            	    3153	    360868 ns/op	  322501 B/op	   10156 allocs/op
Benchmark/10000-4            	    3082	    360806 ns/op	  322501 B/op	   10156 allocs/op
Benchmark/100000-4           	     334	   3571905 ns/op	 3225007 B/op	  101562 allocs/op
Benchmark/100000-4           	     336	   3588690 ns/op	 3225012 B/op	  101562 allocs/op
Benchmark/100000-4           	     337	   3592167 ns/op	 3225008 B/op	  101562 allocs/op
Benchmark/100000-4           	     334	   3600106 ns/op	 3225012 B/op	  101562 allocs/op
Benchmark/100000-4           	     326	   3571908 ns/op	 3225011 B/op	  101562 allocs/op
Benchmark/100000-4           	     336	   3574018 ns/op	 3225009 B/op	  101562 allocs/op
Benchmark/100000-4           	     336	   3602609 ns/op	 3225011 B/op	  101562 allocs/op
Benchmark/100000-4           	     333	   4005130 ns/op	 3225015 B/op	  101562 allocs/op
Benchmark/100000-4           	     325	   3551485 ns/op	 3225007 B/op	  101562 allocs/op
Benchmark/100000-4           	     334	   3597381 ns/op	 3225012 B/op	  101562 allocs/op
Benchmark/1000000-4          	      30	  35974184 ns/op	32250092 B/op	 1015625 allocs/op
Benchmark/1000000-4          	      31	  35743943 ns/op	32250056 B/op	 1015625 allocs/op
Benchmark/1000000-4          	      31	  36436716 ns/op	32250062 B/op	 1015625 allocs/op
Benchmark/1000000-4          	      31	  35743406 ns/op	32250084 B/op	 1015626 allocs/op
Benchmark/1000000-4          	      28	  35868172 ns/op	32250096 B/op	 1015626 allocs/op
Benchmark/1000000-4          	      31	  35765878 ns/op	32250135 B/op	 1015626 allocs/op
Benchmark/1000000-4          	      32	  35929083 ns/op	32250084 B/op	 1015625 allocs/op
Benchmark/1000000-4          	      30	  36200503 ns/op	32250060 B/op	 1015625 allocs/op
Benchmark/1000000-4          	      32	  46847882 ns/op	32250072 B/op	 1015625 allocs/op
Benchmark/1000000-4          	      31	  36371190 ns/op	32250081 B/op	 1015626 allocs/op
