Benchmark/1-4                	13919850	        82.33 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4                	14546794	        82.26 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4                	14050122	        83.63 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4                	12656961	        82.01 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4                	14495365	        82.78 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4                	14163507	        83.76 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4                	13635160	        84.04 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4                	14317963	        82.92 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4                	13579861	        82.31 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4                	14462733	        82.02 ns/op	      64 B/op	       2 allocs/op
Benchmark/10-4               	 1445328	       821.1 ns/op	     640 B/op	      20 allocs/op
Benchmark/10-4               	 1451438	       820.3 ns/op	     640 B/op	      20 allocs/op
Benchmark/10-4               	 1449406	       852.8 ns/op	     640 B/op	      20 allocs/op
Benchmark/10-4               	 1454654	       816.0 ns/op	     640 B/op	      20 allocs/op
Benchmark/10-4               	 1000000	      1238 ns/op	     640 B/op	      20 allocs/op
Benchmark/10-4               	 1374975	       840.0 ns/op	     640 B/op	      20 allocs/op
Benchmark/10-4               	 1452414	       818.5 ns/op	     640 B/op	      20 allocs/op
Benchmark/10-4               	 1420237	       818.1 ns/op	     640 B/op	      20 allocs/op
Benchmark/10-4               	 1440882	       817.6 ns/op	     640 B/op	      20 allocs/op
Benchmark/10-4               	 1453268	       818.0 ns/op	     640 B/op	      20 allocs/op
Benchmark/100-4              	  146749	      8114 ns/op	    6400 B/op	     200 allocs/op
Benchmark/100-4              	  144601	      8099 ns/op	    6400 B/op	     200 allocs/op
Benchmark/100-4              	  146731	      8115 ns/op	    6400 B/op	     200 allocs/op
Benchmark/100-4              	  146372	      8119 ns/op	    6400 B/op	     200 allocs/op
Benchmark/100-4              	  140866	      8209 ns/op	    6400 B/op	     200 allocs/op
Benchmark/100-4              	  145458	      8214 ns/op	    6400 B/op	     200 allocs/op
Benchmark/100-4              	  146140	      8166 ns/op	    6400 B/op	     200 allocs/op
Benchmark/100-4              	  143995	      8127 ns/op	    6400 B/op	     200 allocs/op
Benchmark/100-4              	  144770	      8196 ns/op	    6400 B/op	     200 allocs/op
Benchmark/100-4              	  131224	      8250 ns/op	    6400 B/op	     200 allocs/op
Benchmark/1000-4             	   14700	     80633 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/1000-4             	   14685	     81003 ns/op	   64000 B/op	    2000 allocs/op
