Benchmark/1-4                	12445738	        98.17 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4                	12469254	        98.07 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4                	12033006	       109.5 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4                	11516376	        98.56 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4                	11403247	        96.27 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4                	12238603	        96.92 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4                	12612832	       103.9 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4                	11465061	        98.17 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4                	11992557	        97.16 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4                	12694494	        99.24 ns/op	      64 B/op	       2 allocs/op
Benchmark/10-4               	 1221582	       982.6 ns/op	     640 B/op	      20 allocs/op
Benchmark/10-4               	 1202835	       996.2 ns/op	     640 B/op	      20 allocs/op
Benchmark/10-4               	 1205271	       989.6 ns/op	     640 B/op	      20 allocs/op
Benchmark/10-4               	 1225132	       952.6 ns/op	     640 B/op	      20 allocs/op
Benchmark/10-4               	 1227915	       963.7 ns/op	     640 B/op	      20 allocs/op
Benchmark/10-4               	 1258095	       978.7 ns/op	     640 B/op	      20 allocs/op
Benchmark/10-4               	 1242819	       962.5 ns/op	     640 B/op	      20 allocs/op
Benchmark/10-4               	 1207574	       966.2 ns/op	     640 B/op	      20 allocs/op
Benchmark/10-4               	 1000000	      1006 ns/op	     640 B/op	      20 allocs/op
Benchmark/10-4               	 1225789	       976.1 ns/op	     640 B/op	      20 allocs/op
Benchmark/100-4              	  131737	      9713 ns/op	    6400 B/op	     200 allocs/op
Benchmark/100-4              	  125467	      9750 ns/op	    6400 B/op	     200 allocs/op
Benchmark/100-4              	  120639	      9405 ns/op	    6400 B/op	     200 allocs/op
Benchmark/100-4              	  127822	      9680 ns/op	    6400 B/op	     200 allocs/op
Benchmark/100-4              	  123326	      9609 ns/op	    6400 B/op	     200 allocs/op
Benchmark/100-4              	  115585	      9832 ns/op	    6400 B/op	     200 allocs/op
Benchmark/100-4              	  127767	      9922 ns/op	    6400 B/op	     200 allocs/op
Benchmark/100-4              	  115194	      9746 ns/op	    6400 B/op	     200 allocs/op
Benchmark/100-4              	  125485	      9495 ns/op	    6400 B/op	     200 allocs/op
Benchmark/100-4              	  122436	      9745 ns/op	    6400 B/op	     200 allocs/op
Benchmark/1000-4             	   12453	     96761 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/1000-4             	   12846	     93961 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/1000-4             	   12243	     97592 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/1000-4             	   12272	     95815 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/1000-4             	   12048	     93489 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/1000-4             	   10000	    100470 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/1000-4             	   12217	     96630 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/1000-4             	   12753	    102306 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/1000-4             	   11304	    100341 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/1000-4             	   12147	     97091 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/10000-4            	    1202	    980028 ns/op	  640001 B/op	   20000 allocs/op
Benchmark/10000-4            	    1171	    968514 ns/op	  640001 B/op	   20000 allocs/op
Benchmark/10000-4            	    1192	    970846 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/10000-4            	    1196	    971133 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/10000-4            	    1252	    960007 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/10000-4            	    1240	    979136 ns/op	  640001 B/op	   20000 allocs/op
Benchmark/10000-4            	    1290	    965754 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/10000-4            	    1224	    974859 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/10000-4            	    1297	   1006478 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/10000-4            	    1240	    993924 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/100000-4           	     123	   9745224 ns/op	 6400012 B/op	  200000 allocs/op
