Benchmark/1-4                	35010313	        33.34 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	35004381	        33.27 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	35538907	        33.59 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	33739413	        33.25 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	34876545	        36.73 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	32416100	        33.32 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	35444116	        33.32 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	34632024	        33.49 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	34929097	        33.28 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	34872670	        33.47 ns/op	      16 B/op	       1 allocs/op
Benchmark/10-4               	 3554505	       337.0 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 3544669	       339.8 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 3564754	       337.0 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 3552118	       338.7 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 3553422	       339.9 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 3557677	       341.8 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 3462615	       338.0 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 3535796	       336.7 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 3561234	       339.5 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 3562810	       339.3 ns/op	     160 B/op	      10 allocs/op
Benchmark/100-4              	  341454	      3286 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  351100	      3299 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  353703	      3326 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  349260	      3303 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  353907	      3305 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  345843	      3299 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  354451	      3305 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  351111	      3291 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  354277	      3302 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  343578	      3296 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1000-4             	   36550	     32936 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   36638	     32787 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   36510	     32837 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   36328	     32831 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   36537	     32849 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   36440	     32927 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   36279	     32674 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   36258	     33391 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   36675	     32978 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   36525	     32752 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10000-4            	    3507	    328165 ns/op	  160001 B/op	   10000 allocs/op
Benchmark/10000-4            	    3600	    329784 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    3513	    328729 ns/op	  160001 B/op	   10000 allocs/op
Benchmark/10000-4            	    3555	    331839 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    3481	    329490 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    3466	    330863 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    3519	    329393 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    3661	    354249 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    3554	    325038 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    3609	    329157 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100000-4           	     366	   3269329 ns/op	 1600006 B/op	  100000 allocs/op
Benchmark/100000-4           	     363	   3290332 ns/op	 1600006 B/op	  100000 allocs/op
Benchmark/100000-4           	     364	   3304599 ns/op	 1600006 B/op	  100000 allocs/op
Benchmark/100000-4           	     364	   3301884 ns/op	 1600006 B/op	  100000 allocs/op
Benchmark/100000-4           	     367	   3278370 ns/op	 1600009 B/op	  100000 allocs/op
Benchmark/100000-4           	     366	   3281831 ns/op	 1600004 B/op	  100000 allocs/op
Benchmark/100000-4           	     366	   3279919 ns/op	 1600003 B/op	  100000 allocs/op
Benchmark/100000-4           	     361	   3310461 ns/op	 1600009 B/op	  100000 allocs/op
Benchmark/100000-4           	     363	   3285653 ns/op	 1600007 B/op	  100000 allocs/op
Benchmark/100000-4           	     366	   3295343 ns/op	 1600005 B/op	  100000 allocs/op
Benchmark/1000000-4          	      34	  33120169 ns/op	16000073 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      34	  32971627 ns/op	16000064 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      34	  34163616 ns/op	16000101 B/op	 1000001 allocs/op
Benchmark/1000000-4          	      33	  35327885 ns/op	16000081 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      34	  33069299 ns/op	16000079 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      34	  32886836 ns/op	16000067 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      34	  32867920 ns/op	16000087 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      34	  32876288 ns/op	16000067 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      34	  32770874 ns/op	16000073 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      34	  32857217 ns/op	16000062 B/op	 1000000 allocs/op
