Benchmark/1-4                	26933956	        39.63 ns/op	      48 B/op	       1 allocs/op
Benchmark/1-4                	29784282	        39.52 ns/op	      48 B/op	       1 allocs/op
Benchmark/1-4                	28548430	        40.67 ns/op	      48 B/op	       1 allocs/op
Benchmark/1-4                	29846210	        39.39 ns/op	      48 B/op	       1 allocs/op
Benchmark/1-4                	29866054	        41.39 ns/op	      48 B/op	       1 allocs/op
Benchmark/1-4                	29842149	        40.92 ns/op	      48 B/op	       1 allocs/op
Benchmark/1-4                	29957997	        39.67 ns/op	      48 B/op	       1 allocs/op
Benchmark/1-4                	30145488	        41.97 ns/op	      48 B/op	       1 allocs/op
Benchmark/1-4                	30222336	        40.06 ns/op	      48 B/op	       1 allocs/op
Benchmark/1-4                	30319052	        39.40 ns/op	      48 B/op	       1 allocs/op
Benchmark/10-4               	 3007958	       430.1 ns/op	     481 B/op	      10 allocs/op
Benchmark/10-4               	 2939241	       417.4 ns/op	     481 B/op	      10 allocs/op
Benchmark/10-4               	 3019774	       397.9 ns/op	     481 B/op	      10 allocs/op
Benchmark/10-4               	 2879284	       401.4 ns/op	     481 B/op	      10 allocs/op
Benchmark/10-4               	 3018967	       400.9 ns/op	     481 B/op	      10 allocs/op
Benchmark/10-4               	 3020942	       406.1 ns/op	     481 B/op	      10 allocs/op
Benchmark/10-4               	 3049564	       409.6 ns/op	     481 B/op	      10 allocs/op
Benchmark/10-4               	 2966180	       402.3 ns/op	     481 B/op	      10 allocs/op
Benchmark/10-4               	 2959105	       396.2 ns/op	     481 B/op	      10 allocs/op
Benchmark/10-4               	 2951960	       403.9 ns/op	     481 B/op	      10 allocs/op
Benchmark/100-4              	  301008	      4007 ns/op	    4815 B/op	     100 allocs/op
Benchmark/100-4              	  307956	      3943 ns/op	    4815 B/op	     100 allocs/op
Benchmark/100-4              	  283375	      4004 ns/op	    4815 B/op	     100 allocs/op
Benchmark/100-4              	  300169	      3918 ns/op	    4815 B/op	     100 allocs/op
Benchmark/100-4              	  297015	      4209 ns/op	    4815 B/op	     100 allocs/op
Benchmark/100-4              	  301785	      3989 ns/op	    4815 B/op	     100 allocs/op
Benchmark/100-4              	  292544	      4086 ns/op	    4815 B/op	     100 allocs/op
Benchmark/100-4              	  300050	      4295 ns/op	    4815 B/op	     100 allocs/op
Benchmark/100-4              	  257344	      4046 ns/op	    4815 B/op	     100 allocs/op
Benchmark/100-4              	  297928	      3888 ns/op	    4815 B/op	     100 allocs/op
Benchmark/1000-4             	   27703	     39068 ns/op	   48156 B/op	    1000 allocs/op
Benchmark/1000-4             	   30694	     41002 ns/op	   48152 B/op	    1000 allocs/op
Benchmark/1000-4             	   30470	     39154 ns/op	   48155 B/op	    1000 allocs/op
Benchmark/1000-4             	   30800	     38880 ns/op	   48152 B/op	    1000 allocs/op
Benchmark/1000-4             	   30932	     39721 ns/op	   48153 B/op	    1000 allocs/op
Benchmark/1000-4             	   30576	     38800 ns/op	   48155 B/op	    1000 allocs/op
Benchmark/1000-4             	   30886	     39602 ns/op	   48153 B/op	    1000 allocs/op
Benchmark/1000-4             	   30579	     39268 ns/op	   48155 B/op	    1000 allocs/op
Benchmark/1000-4             	   30211	     38928 ns/op	   48155 B/op	    1000 allocs/op
Benchmark/1000-4             	   29934	     39226 ns/op	   48154 B/op	    1000 allocs/op
Benchmark/10000-4            	    2912	    397292 ns/op	  481573 B/op	   10003 allocs/op
Benchmark/10000-4            	    2898	    395195 ns/op	  481546 B/op	   10003 allocs/op
Benchmark/10000-4            	    2967	    394577 ns/op	  481534 B/op	   10003 allocs/op
