goos: darwin
goarch: amd64
pkg: github.com/ef-ds/deque-bench-tests
cpu: Intel(R) Core(TM) i5-7267U CPU @ 3.10GHz
BenchmarkFillCookiejarQueue/0-4         	  123321	      8361 ns/op	   65672 B/op	       3 allocs/op
BenchmarkFillCookiejarQueue/0-4         	  137205	      8180 ns/op	   65672 B/op	       3 allocs/op
BenchmarkFillCookiejarQueue/0-4         	  140307	      8304 ns/op	   65672 B/op	       3 allocs/op
BenchmarkFillCookiejarQueue/0-4         	  139282	      8217 ns/op	   65672 B/op	       3 allocs/op
BenchmarkFillCookiejarQueue/0-4         	  137859	      8308 ns/op	   65672 B/op	       3 allocs/op
BenchmarkFillCookiejarQueue/0-4         	  141406	      8224 ns/op	   65672 B/op	       3 allocs/op
BenchmarkFillCookiejarQueue/0-4         	  139542	      8226 ns/op	   65672 B/op	       3 allocs/op
BenchmarkFillCookiejarQueue/0-4         	  147129	      8262 ns/op	   65672 B/op	       3 allocs/op
BenchmarkFillCookiejarQueue/0-4         	  140805	      8175 ns/op	   65672 B/op	       3 allocs/op
BenchmarkFillCookiejarQueue/0-4         	  141976	      8171 ns/op	   65672 B/op	       3 allocs/op
BenchmarkFillCookiejarQueue/1-4         	  138109	      8755 ns/op	   65688 B/op	       4 allocs/op
BenchmarkFillCookiejarQueue/1-4         	  138135	      8295 ns/op	   65688 B/op	       4 allocs/op
BenchmarkFillCookiejarQueue/1-4         	  136362	      8543 ns/op	   65688 B/op	       4 allocs/op
BenchmarkFillCookiejarQueue/1-4         	  138052	      8669 ns/op	   65688 B/op	       4 allocs/op
BenchmarkFillCookiejarQueue/1-4         	  127815	      8697 ns/op	   65688 B/op	       4 allocs/op
BenchmarkFillCookiejarQueue/1-4         	  137193	      8477 ns/op	   65688 B/op	       4 allocs/op
BenchmarkFillCookiejarQueue/1-4         	  126680	      8511 ns/op	   65688 B/op	       4 allocs/op
BenchmarkFillCookiejarQueue/1-4         	  136676	      8300 ns/op	   65688 B/op	       4 allocs/op
BenchmarkFillCookiejarQueue/1-4         	  137940	      8552 ns/op	   65688 B/op	       4 allocs/op
BenchmarkFillCookiejarQueue/1-4         	  138742	      8444 ns/op	   65688 B/op	       4 allocs/op
BenchmarkFillCookiejarQueue/10-4        	  130606	      9073 ns/op	   65832 B/op	      13 allocs/op
BenchmarkFillCookiejarQueue/10-4        	  129600	      8982 ns/op	   65832 B/op	      13 allocs/op
BenchmarkFillCookiejarQueue/10-4        	  131614	      8837 ns/op	   65832 B/op	      13 allocs/op
BenchmarkFillCookiejarQueue/10-4        	  130102	      8838 ns/op	   65832 B/op	      13 allocs/op
BenchmarkFillCookiejarQueue/10-4        	  130378	      8965 ns/op	   65832 B/op	      13 allocs/op
BenchmarkFillCookiejarQueue/10-4        	  130089	      8993 ns/op	   65832 B/op	      13 allocs/op
BenchmarkFillCookiejarQueue/10-4        	  131604	      8993 ns/op	   65832 B/op	      13 allocs/op
BenchmarkFillCookiejarQueue/10-4        	  132774	      8757 ns/op	   65832 B/op	      13 allocs/op
BenchmarkFillCookiejarQueue/10-4        	  135691	      8999 ns/op	   65832 B/op	      13 allocs/op
BenchmarkFillCookiejarQueue/10-4        	  128682	      8779 ns/op	   65832 B/op	      13 allocs/op
BenchmarkFillCookiejarQueue/100-4       	   99423	     12515 ns/op	   67272 B/op	     103 allocs/op
BenchmarkFillCookiejarQueue/100-4       	   99687	     12060 ns/op	   67272 B/op	     103 allocs/op
BenchmarkFillCookiejarQueue/100-4       	   97653	     11839 ns/op	   67272 B/op	     103 allocs/op
BenchmarkFillCookiejarQueue/100-4       	   88938	     11844 ns/op	   67272 B/op	     103 allocs/op
BenchmarkFillCookiejarQueue/100-4       	   99831	     11977 ns/op	   67272 B/op	     103 allocs/op
BenchmarkFillCookiejarQueue/100-4       	  100354	     11790 ns/op	   67272 B/op	     103 allocs/op
