goos: darwin
goarch: amd64
pkg: github.com/ef-ds/deque-bench-tests
cpu: Intel(R) Core(TM) i5-7267U CPU @ 3.10GHz
BenchmarkFillDequeQueue/0-4         	27580873	        44.24 ns/op	      64 B/op	       1 allocs/op
BenchmarkFillDequeQueue/0-4         	28691145	        46.22 ns/op	      64 B/op	       1 allocs/op
BenchmarkFillDequeQueue/0-4         	29002539	        41.64 ns/op	      64 B/op	       1 allocs/op
BenchmarkFillDequeQueue/0-4         	29403235	        41.03 ns/op	      64 B/op	       1 allocs/op
BenchmarkFillDequeQueue/0-4         	28038829	        41.04 ns/op	      64 B/op	       1 allocs/op
BenchmarkFillDequeQueue/0-4         	28856211	        41.43 ns/op	      64 B/op	       1 allocs/op
BenchmarkFillDequeQueue/0-4         	29303131	        41.18 ns/op	      64 B/op	       1 allocs/op
BenchmarkFillDequeQueue/0-4         	26233492	        40.98 ns/op	      64 B/op	       1 allocs/op
BenchmarkFillDequeQueue/0-4         	28545304	        40.72 ns/op	      64 B/op	       1 allocs/op
BenchmarkFillDequeQueue/0-4         	28389698	        41.01 ns/op	      64 B/op	       1 allocs/op
BenchmarkFillDequeQueue/1-4         	 7088140	       169.6 ns/op	     192 B/op	       4 allocs/op
BenchmarkFillDequeQueue/1-4         	 7092483	       170.6 ns/op	     192 B/op	       4 allocs/op
BenchmarkFillDequeQueue/1-4         	 7094016	       166.7 ns/op	     192 B/op	       4 allocs/op
BenchmarkFillDequeQueue/1-4         	 7135543	       167.1 ns/op	     192 B/op	       4 allocs/op
BenchmarkFillDequeQueue/1-4         	 7256850	       172.3 ns/op	     192 B/op	       4 allocs/op
BenchmarkFillDequeQueue/1-4         	 7142074	       168.8 ns/op	     192 B/op	       4 allocs/op
BenchmarkFillDequeQueue/1-4         	 7227385	       167.1 ns/op	     192 B/op	       4 allocs/op
BenchmarkFillDequeQueue/1-4         	 7187046	       166.6 ns/op	     192 B/op	       4 allocs/op
BenchmarkFillDequeQueue/1-4         	 7286284	       166.3 ns/op	     192 B/op	       4 allocs/op
BenchmarkFillDequeQueue/1-4         	 7277328	       166.7 ns/op	     192 B/op	       4 allocs/op
BenchmarkFillDequeQueue/10-4        	 2070546	       581.5 ns/op	     592 B/op	      14 allocs/op
BenchmarkFillDequeQueue/10-4        	 2081602	       579.3 ns/op	     592 B/op	      14 allocs/op
BenchmarkFillDequeQueue/10-4        	 2058462	       576.3 ns/op	     592 B/op	      14 allocs/op
BenchmarkFillDequeQueue/10-4        	 2064133	       583.5 ns/op	     592 B/op	      14 allocs/op
BenchmarkFillDequeQueue/10-4        	 2080392	       579.4 ns/op	     592 B/op	      14 allocs/op
BenchmarkFillDequeQueue/10-4        	 2076693	       594.4 ns/op	     592 B/op	      14 allocs/op
BenchmarkFillDequeQueue/10-4        	 2037278	       576.7 ns/op	     592 B/op	      14 allocs/op
BenchmarkFillDequeQueue/10-4        	 2064952	       578.7 ns/op	     592 B/op	      14 allocs/op
BenchmarkFillDequeQueue/10-4        	 2085291	       578.2 ns/op	     592 B/op	      14 allocs/op
BenchmarkFillDequeQueue/10-4        	 2072396	       578.1 ns/op	     592 B/op	      14 allocs/op
BenchmarkFillDequeQueue/100-4       	  261627	      4633 ns/op	    7200 B/op	     107 allocs/op
BenchmarkFillDequeQueue/100-4       	  259650	      4637 ns/op	    7200 B/op	     107 allocs/op
BenchmarkFillDequeQueue/100-4       	  256596	      4677 ns/op	    7200 B/op	     107 allocs/op
BenchmarkFillDequeQueue/100-4       	  258967	      4693 ns/op	    7200 B/op	     107 allocs/op
BenchmarkFillDequeQueue/100-4       	  259498	      4688 ns/op	    7200 B/op	     107 allocs/op
BenchmarkFillDequeQueue/100-4       	  259024	      4633 ns/op	    7200 B/op	     107 allocs/op
BenchmarkFillDequeQueue/100-4       	  244383	      4602 ns/op	    7200 B/op	     107 allocs/op
BenchmarkFillDequeQueue/100-4       	  257472	      4949 ns/op	    7200 B/op	     107 allocs/op
BenchmarkFillDequeQueue/100-4       	  253633	      4660 ns/op	    7200 B/op	     107 allocs/op
BenchmarkFillDequeQueue/100-4       	  263078	      4622 ns/op	    7200 B/op	     107 allocs/op
BenchmarkFillDequeQueue/1000-4      	   32548	     36886 ns/op	   34032 B/op	    1013 allocs/op
BenchmarkFillDequeQueue/1000-4      	   32562	     36702 ns/op	   34032 B/op	    1013 allocs/op
BenchmarkFillDequeQueue/1000-4      	   32876	     36646 ns/op	   34032 B/op	    1013 allocs/op
BenchmarkFillDequeQueue/1000-4      	   32943	     36552 ns/op	   34032 B/op	    1013 allocs/op
BenchmarkFillDequeQueue/1000-4      	   32840	     36585 ns/op	   34032 B/op	    1013 allocs/op
BenchmarkFillDequeQueue/1000-4      	   32947	     36588 ns/op	   34032 B/op	    1013 allocs/op
BenchmarkFillDequeQueue/1000-4      	   32835	     36628 ns/op	   34032 B/op	    1013 allocs/op
BenchmarkFillDequeQueue/1000-4      	   32731	     36666 ns/op	   34032 B/op	    1013 allocs/op
BenchmarkFillDequeQueue/1000-4      	   32715	     36540 ns/op	   34032 B/op	    1013 allocs/op
BenchmarkFillDequeQueue/1000-4      	   32908	     36545 ns/op	   34032 B/op	    1013 allocs/op
BenchmarkFillDequeQueue/10000-4     	    3200	    368732 ns/op	  323072 B/op	   10083 allocs/op
BenchmarkFillDequeQueue/10000-4     	    3271	    367039 ns/op	  323073 B/op	   10083 allocs/op
BenchmarkFillDequeQueue/10000-4     	    3260	    367007 ns/op	  323073 B/op	   10083 allocs/op
BenchmarkFillDequeQueue/10000-4     	    3259	    370717 ns/op	  323072 B/op	   10083 allocs/op
BenchmarkFillDequeQueue/10000-4     	    3140	    372918 ns/op	  323072 B/op	   10083 allocs/op
BenchmarkFillDequeQueue/10000-4     	    3242	    364817 ns/op	  323072 B/op	   10083 allocs/op
BenchmarkFillDequeQueue/10000-4     	    3274	    365639 ns/op	  323072 B/op	   10083 allocs/op
BenchmarkFillDequeQueue/10000-4     	    3278	    365614 ns/op	  323072 B/op	   10083 allocs/op
BenchmarkFillDequeQueue/10000-4     	    3187	    371598 ns/op	  323072 B/op	   10083 allocs/op
BenchmarkFillDequeQueue/10000-4     	    3207	    369716 ns/op	  323072 B/op	   10083 allocs/op
BenchmarkFillDequeQueue/100000-4    	     319	   3779341 ns/op	 3221769 B/op	  100787 allocs/op
BenchmarkFillDequeQueue/100000-4    	     313	   3878811 ns/op	 3221766 B/op	  100787 allocs/op
BenchmarkFillDequeQueue/100000-4    	     318	   3789426 ns/op	 3221765 B/op	  100787 allocs/op
BenchmarkFillDequeQueue/100000-4    	     316	   3898266 ns/op	 3221768 B/op	  100787 allocs/op
BenchmarkFillDequeQueue/100000-4    	     316	   3792751 ns/op	 3221767 B/op	  100787 allocs/op
BenchmarkFillDequeQueue/100000-4    	     316	   3775349 ns/op	 3221765 B/op	  100787 allocs/op
BenchmarkFillDequeQueue/100000-4    	     314	   3779154 ns/op	 3221767 B/op	  100787 allocs/op
BenchmarkFillDequeQueue/100000-4    	     314	   3776538 ns/op	 3221767 B/op	  100787 allocs/op
BenchmarkFillDequeQueue/100000-4    	     316	   3776104 ns/op	 3221766 B/op	  100787 allocs/op
BenchmarkFillDequeQueue/100000-4    	     315	   3776272 ns/op	 3221766 B/op	  100787 allocs/op
BenchmarkFillDequeQueue/1000000-4   	      26	  44068905 ns/op	32187931 B/op	 1007817 allocs/op
BenchmarkFillDequeQueue/1000000-4   	      26	  44427007 ns/op	32187934 B/op	 1007817 allocs/op
BenchmarkFillDequeQueue/1000000-4   	      24	  44739955 ns/op	32187928 B/op	 1007817 allocs/op
BenchmarkFillDequeQueue/1000000-4   	      24	  44145342 ns/op	32187920 B/op	 1007817 allocs/op
BenchmarkFillDequeQueue/1000000-4   	      24	  44325280 ns/op	32187948 B/op	 1007817 allocs/op
BenchmarkFillDequeQueue/1000000-4   	      24	  43831354 ns/op	32187936 B/op	 1007817 allocs/op
BenchmarkFillDequeQueue/1000000-4   	      26	  43679808 ns/op	32187942 B/op	 1007817 allocs/op
BenchmarkFillDequeQueue/1000000-4   	      26	  44321395 ns/op	32187956 B/op	 1007817 allocs/op
BenchmarkFillDequeQueue/1000000-4   	      26	  44248795 ns/op	32187960 B/op	 1007817 allocs/op
BenchmarkFillDequeQueue/1000000-4   	      26	  44783217 ns/op	32187923 B/op	 1007817 allocs/op
BenchmarkFillDequeStack/0-4         	27847726	        40.46 ns/op	      64 B/op	       1 allocs/op
BenchmarkFillDequeStack/0-4         	29592736	        40.45 ns/op	      64 B/op	       1 allocs/op
BenchmarkFillDequeStack/0-4         	29133260	        40.39 ns/op	      64 B/op	       1 allocs/op
BenchmarkFillDequeStack/0-4         	29798728	        40.35 ns/op	      64 B/op	       1 allocs/op
BenchmarkFillDequeStack/0-4         	29169423	        40.48 ns/op	      64 B/op	       1 allocs/op
BenchmarkFillDequeStack/0-4         	28729470	        40.54 ns/op	      64 B/op	       1 allocs/op
BenchmarkFillDequeStack/0-4         	29057074	        40.44 ns/op	      64 B/op	       1 allocs/op
BenchmarkFillDequeStack/0-4         	29565162	        40.38 ns/op	      64 B/op	       1 allocs/op
BenchmarkFillDequeStack/0-4         	28548932	        40.57 ns/op	      64 B/op	       1 allocs/op
BenchmarkFillDequeStack/0-4         	29062861	        40.43 ns/op	      64 B/op	       1 allocs/op
BenchmarkFillDequeStack/1-4         	 7286845	       163.3 ns/op	     192 B/op	       4 allocs/op
BenchmarkFillDequeStack/1-4         	 7421299	       162.8 ns/op	     192 B/op	       4 allocs/op
BenchmarkFillDequeStack/1-4         	 7363308	       163.2 ns/op	     192 B/op	       4 allocs/op
BenchmarkFillDequeStack/1-4         	 7366870	       163.6 ns/op	     192 B/op	       4 allocs/op
BenchmarkFillDequeStack/1-4         	 7374777	       163.1 ns/op	     192 B/op	       4 allocs/op
BenchmarkFillDequeStack/1-4         	 7353127	       162.6 ns/op	     192 B/op	       4 allocs/op
BenchmarkFillDequeStack/1-4         	 7318591	       166.3 ns/op	     192 B/op	       4 allocs/op
BenchmarkFillDequeStack/1-4         	 7408441	       162.8 ns/op	     192 B/op	       4 allocs/op
BenchmarkFillDequeStack/1-4         	 7252454	       164.0 ns/op	     192 B/op	       4 allocs/op
BenchmarkFillDequeStack/1-4         	 7408272	       163.6 ns/op	     192 B/op	       4 allocs/op
BenchmarkFillDequeStack/10-4        	 2077395	       577.6 ns/op	     592 B/op	      14 allocs/op
BenchmarkFillDequeStack/10-4        	 2079579	       577.9 ns/op	     592 B/op	      14 allocs/op
BenchmarkFillDequeStack/10-4        	 2029662	       578.1 ns/op	     592 B/op	      14 allocs/op
BenchmarkFillDequeStack/10-4        	 2074087	       576.8 ns/op	     592 B/op	      14 allocs/op
BenchmarkFillDequeStack/10-4        	 2072186	       578.7 ns/op	     592 B/op	      14 allocs/op
BenchmarkFillDequeStack/10-4        	 2079656	       578.0 ns/op	     592 B/op	      14 allocs/op
BenchmarkFillDequeStack/10-4        	 2089275	       578.1 ns/op	     592 B/op	      14 allocs/op
BenchmarkFillDequeStack/10-4        	 2083771	       578.1 ns/op	     592 B/op	      14 allocs/op
BenchmarkFillDequeStack/10-4        	 2076546	       577.0 ns/op	     592 B/op	      14 allocs/op
BenchmarkFillDequeStack/10-4        	 2068309	       578.8 ns/op	     592 B/op	      14 allocs/op
BenchmarkFillDequeStack/100-4       	  262620	      4589 ns/op	    7200 B/op	     107 allocs/op
BenchmarkFillDequeStack/100-4       	  220113	      4588 ns/op	    7200 B/op	     107 allocs/op
BenchmarkFillDequeStack/100-4       	  259112	      4609 ns/op	    7200 B/op	     107 allocs/op
BenchmarkFillDequeStack/100-4       	  259680	      4712 ns/op	    7200 B/op	     107 allocs/op
BenchmarkFillDequeStack/100-4       	  262564	      4595 ns/op	    7200 B/op	     107 allocs/op
BenchmarkFillDequeStack/100-4       	  254658	      4599 ns/op	    7200 B/op	     107 allocs/op
BenchmarkFillDequeStack/100-4       	  261099	      4660 ns/op	    7200 B/op	     107 allocs/op
BenchmarkFillDequeStack/100-4       	  249589	      4595 ns/op	    7200 B/op	     107 allocs/op
BenchmarkFillDequeStack/100-4       	  250520	      4594 ns/op	    7200 B/op	     107 allocs/op
BenchmarkFillDequeStack/100-4       	  261331	      4581 ns/op	    7200 B/op	     107 allocs/op
BenchmarkFillDequeStack/1000-4      	   29662	     37019 ns/op	   34032 B/op	    1013 allocs/op
BenchmarkFillDequeStack/1000-4      	   33022	     36103 ns/op	   34032 B/op	    1013 allocs/op
BenchmarkFillDequeStack/1000-4      	   33099	     36187 ns/op	   34032 B/op	    1013 allocs/op
BenchmarkFillDequeStack/1000-4      	   33346	     36105 ns/op	   34032 B/op	    1013 allocs/op
BenchmarkFillDequeStack/1000-4      	   32971	     36182 ns/op	   34032 B/op	    1013 allocs/op
BenchmarkFillDequeStack/1000-4      	   33025	     36052 ns/op	   34032 B/op	    1013 allocs/op
BenchmarkFillDequeStack/1000-4      	   33315	     36195 ns/op	   34032 B/op	    1013 allocs/op
BenchmarkFillDequeStack/1000-4      	   32977	     36049 ns/op	   34032 B/op	    1013 allocs/op
BenchmarkFillDequeStack/1000-4      	   33114	     36987 ns/op	   34032 B/op	    1013 allocs/op
BenchmarkFillDequeStack/1000-4      	   32578	     36164 ns/op	   34032 B/op	    1013 allocs/op
BenchmarkFillDequeStack/10000-4     	    3308	    365022 ns/op	  323072 B/op	   10083 allocs/op
BenchmarkFillDequeStack/10000-4     	    3208	    365348 ns/op	  323073 B/op	   10083 allocs/op
BenchmarkFillDequeStack/10000-4     	    3218	    366560 ns/op	  323072 B/op	   10083 allocs/op
BenchmarkFillDequeStack/10000-4     	    3231	    361922 ns/op	  323072 B/op	   10083 allocs/op
BenchmarkFillDequeStack/10000-4     	    3242	    368480 ns/op	  323072 B/op	   10083 allocs/op
BenchmarkFillDequeStack/10000-4     	    3216	    363092 ns/op	  323072 B/op	   10083 allocs/op
BenchmarkFillDequeStack/10000-4     	    3166	    366741 ns/op	  323072 B/op	   10083 allocs/op
BenchmarkFillDequeStack/10000-4     	    3222	    367193 ns/op	  323072 B/op	   10083 allocs/op
BenchmarkFillDequeStack/10000-4     	    3264	    365517 ns/op	  323072 B/op	   10083 allocs/op
BenchmarkFillDequeStack/10000-4     	    3238	    362825 ns/op	  323073 B/op	   10083 allocs/op
BenchmarkFillDequeStack/100000-4    	     318	   3763375 ns/op	 3221767 B/op	  100787 allocs/op
BenchmarkFillDequeStack/100000-4    	     318	   3772240 ns/op	 3221768 B/op	  100787 allocs/op
BenchmarkFillDequeStack/100000-4    	     318	   3770665 ns/op	 3221766 B/op	  100787 allocs/op
BenchmarkFillDequeStack/100000-4    	     319	   3778529 ns/op	 3221766 B/op	  100787 allocs/op
BenchmarkFillDequeStack/100000-4    	     318	   3765219 ns/op	 3221767 B/op	  100787 allocs/op
BenchmarkFillDequeStack/100000-4    	     315	   3768779 ns/op	 3221769 B/op	  100787 allocs/op
BenchmarkFillDequeStack/100000-4    	     319	   3756214 ns/op	 3221768 B/op	  100787 allocs/op
BenchmarkFillDequeStack/100000-4    	     318	   3763443 ns/op	 3221769 B/op	  100787 allocs/op
BenchmarkFillDequeStack/100000-4    	     319	   3766203 ns/op	 3221768 B/op	  100787 allocs/op
BenchmarkFillDequeStack/100000-4    	     319	   3757341 ns/op	 3221766 B/op	  100787 allocs/op
BenchmarkFillDequeStack/1000000-4   	      26	  43820672 ns/op	32187953 B/op	 1007817 allocs/op
BenchmarkFillDequeStack/1000000-4   	      26	  44304918 ns/op	32187949 B/op	 1007817 allocs/op
BenchmarkFillDequeStack/1000000-4   	      26	  44211631 ns/op	32187949 B/op	 1007817 allocs/op
BenchmarkFillDequeStack/1000000-4   	      24	  44267485 ns/op	32187932 B/op	 1007817 allocs/op
BenchmarkFillDequeStack/1000000-4   	      24	  43842442 ns/op	32187924 B/op	 1007817 allocs/op
BenchmarkFillDequeStack/1000000-4   	      24	  43891213 ns/op	32187944 B/op	 1007817 allocs/op
BenchmarkFillDequeStack/1000000-4   	      24	  43449847 ns/op	32187940 B/op	 1007817 allocs/op
BenchmarkFillDequeStack/1000000-4   	      28	  43743875 ns/op	32187947 B/op	 1007817 allocs/op
BenchmarkFillDequeStack/1000000-4   	      26	  43793348 ns/op	32187949 B/op	 1007817 allocs/op
BenchmarkFillDequeStack/1000000-4   	      24	  43974086 ns/op	32187928 B/op	 1007817 allocs/op
BenchmarkMicroserviceDequeQueue/0-4 	26803501	        44.31 ns/op	      64 B/op	       1 allocs/op
BenchmarkMicroserviceDequeQueue/0-4 	27089558	        44.39 ns/op	      64 B/op	       1 allocs/op
BenchmarkMicroserviceDequeQueue/0-4 	27098272	        44.40 ns/op	      64 B/op	       1 allocs/op
BenchmarkMicroserviceDequeQueue/0-4 	26802487	        44.35 ns/op	      64 B/op	       1 allocs/op
BenchmarkMicroserviceDequeQueue/0-4 	26726346	        44.23 ns/op	      64 B/op	       1 allocs/op
BenchmarkMicroserviceDequeQueue/0-4 	26988566	        44.30 ns/op	      64 B/op	       1 allocs/op
BenchmarkMicroserviceDequeQueue/0-4 	26914506	        44.41 ns/op	      64 B/op	       1 allocs/op
BenchmarkMicroserviceDequeQueue/0-4 	26946924	        44.34 ns/op	      64 B/op	       1 allocs/op
BenchmarkMicroserviceDequeQueue/0-4 	26656617	        44.14 ns/op	      64 B/op	       1 allocs/op
BenchmarkMicroserviceDequeQueue/0-4 	26969860	        44.33 ns/op	      64 B/op	       1 allocs/op
BenchmarkMicroserviceDequeQueue/1-4 	 2625850	       456.1 ns/op	     544 B/op	      11 allocs/op
BenchmarkMicroserviceDequeQueue/1-4 	 2611291	       455.7 ns/op	     544 B/op	      11 allocs/op
BenchmarkMicroserviceDequeQueue/1-4 	 2638580	       455.2 ns/op	     544 B/op	      11 allocs/op
BenchmarkMicroserviceDequeQueue/1-4 	 2629701	       454.9 ns/op	     544 B/op	      11 allocs/op
BenchmarkMicroserviceDequeQueue/1-4 	 2634348	       456.0 ns/op	     544 B/op	      11 allocs/op
BenchmarkMicroserviceDequeQueue/1-4 	 2637564	       456.3 ns/op	     544 B/op	      11 allocs/op
BenchmarkMicroserviceDequeQueue/1-4 	 2632036	       455.5 ns/op	     544 B/op	      11 allocs/op
BenchmarkMicroserviceDequeQueue/1-4 	 2624841	       456.3 ns/op	     544 B/op	      11 allocs/op
BenchmarkMicroserviceDequeQueue/1-4 	 2630974	       459.4 ns/op	     544 B/op	      11 allocs/op
BenchmarkMicroserviceDequeQueue/1-4 	 2617369	       455.3 ns/op	     544 B/op	      11 allocs/op
