Benchmark/0-4 	10000000	       134 ns/op	     304 B/op	       2 allocs/op
Benchmark/0-4 	10000000	       134 ns/op	     304 B/op	       2 allocs/op
Benchmark/0-4 	10000000	       134 ns/op	     304 B/op	       2 allocs/op
Benchmark/0-4 	10000000	       134 ns/op	     304 B/op	       2 allocs/op
Benchmark/0-4 	10000000	       150 ns/op	     304 B/op	       2 allocs/op
Benchmark/0-4 	10000000	       141 ns/op	     304 B/op	       2 allocs/op
Benchmark/0-4 	10000000	       140 ns/op	     304 B/op	       2 allocs/op
Benchmark/0-4 	10000000	       145 ns/op	     304 B/op	       2 allocs/op
Benchmark/0-4 	10000000	       144 ns/op	     304 B/op	       2 allocs/op
Benchmark/0-4 	10000000	       140 ns/op	     304 B/op	       2 allocs/op
Benchmark/1-4 	 5000000	       357 ns/op	     416 B/op	       9 allocs/op
Benchmark/1-4 	 5000000	       357 ns/op	     416 B/op	       9 allocs/op
Benchmark/1-4 	 5000000	       356 ns/op	     416 B/op	       9 allocs/op
Benchmark/1-4 	 5000000	       355 ns/op	     416 B/op	       9 allocs/op
Benchmark/1-4 	 5000000	       357 ns/op	     416 B/op	       9 allocs/op
Benchmark/1-4 	 5000000	       357 ns/op	     416 B/op	       9 allocs/op
Benchmark/1-4 	 5000000	       356 ns/op	     416 B/op	       9 allocs/op
Benchmark/1-4 	 5000000	       355 ns/op	     416 B/op	       9 allocs/op
Benchmark/1-4 	 5000000	       357 ns/op	     416 B/op	       9 allocs/op
Benchmark/1-4 	 5000000	       356 ns/op	     416 B/op	       9 allocs/op
Benchmark/10-4         	 1000000	      2419 ns/op	    1424 B/op	      72 allocs/op
Benchmark/10-4         	  500000	      2460 ns/op	    1424 B/op	      72 allocs/op
Benchmark/10-4         	  500000	      2420 ns/op	    1424 B/op	      72 allocs/op
Benchmark/10-4         	 1000000	      2423 ns/op	    1424 B/op	      72 allocs/op
Benchmark/10-4         	  500000	      2411 ns/op	    1424 B/op	      72 allocs/op
Benchmark/10-4         	  500000	      2421 ns/op	    1424 B/op	      72 allocs/op
Benchmark/10-4         	 1000000	      2428 ns/op	    1424 B/op	      72 allocs/op
Benchmark/10-4         	 1000000	      2447 ns/op	    1424 B/op	      72 allocs/op
Benchmark/10-4         	  500000	      2416 ns/op	    1424 B/op	      72 allocs/op
Benchmark/10-4         	  500000	      2419 ns/op	    1424 B/op	      72 allocs/op
Benchmark/100-4        	   50000	     25681 ns/op	   22256 B/op	     714 allocs/op
Benchmark/100-4        	   50000	     25571 ns/op	   22256 B/op	     714 allocs/op
Benchmark/100-4        	   50000	     25803 ns/op	   22256 B/op	     714 allocs/op
Benchmark/100-4        	   50000	     25754 ns/op	   22256 B/op	     714 allocs/op
Benchmark/100-4        	   50000	     25899 ns/op	   22256 B/op	     714 allocs/op
Benchmark/100-4        	   50000	     25859 ns/op	   22256 B/op	     714 allocs/op
Benchmark/100-4        	   50000	     26115 ns/op	   22256 B/op	     714 allocs/op
Benchmark/100-4        	   50000	     25595 ns/op	   22256 B/op	     714 allocs/op
Benchmark/100-4        	   50000	     25699 ns/op	   22256 B/op	     714 allocs/op
Benchmark/100-4        	   50000	     25712 ns/op	   22256 B/op	     714 allocs/op
Benchmark/1000-4       	   10000	    242967 ns/op	  209072 B/op	    7026 allocs/op
Benchmark/1000-4       	   10000	    241762 ns/op	  209072 B/op	    7026 allocs/op
Benchmark/1000-4       	   10000	    242460 ns/op	  209072 B/op	    7026 allocs/op
Benchmark/1000-4       	   10000	    241389 ns/op	  209072 B/op	    7026 allocs/op
Benchmark/1000-4       	    5000	    242586 ns/op	  209072 B/op	    7026 allocs/op
Benchmark/1000-4       	    5000	    242081 ns/op	  209072 B/op	    7026 allocs/op
Benchmark/1000-4       	    5000	    242285 ns/op	  209072 B/op	    7026 allocs/op
Benchmark/1000-4       	    5000	    242295 ns/op	  209072 B/op	    7026 allocs/op
Benchmark/1000-4       	    5000	    241365 ns/op	  209072 B/op	    7026 allocs/op
Benchmark/1000-4       	    5000	    242274 ns/op	  209072 B/op	    7026 allocs/op
Benchmark/10000-4      	     500	   2550240 ns/op	 2691632 B/op	   70042 allocs/op
Benchmark/10000-4      	     500	   2561169 ns/op	 2691632 B/op	   70042 allocs/op
Benchmark/10000-4      	     500	   2568345 ns/op	 2691632 B/op	   70042 allocs/op
Benchmark/10000-4      	     500	   2563000 ns/op	 2691632 B/op	   70042 allocs/op
Benchmark/10000-4      	     500	   2567595 ns/op	 2691632 B/op	   70042 allocs/op
Benchmark/10000-4      	     500	   2568816 ns/op	 2691632 B/op	   70042 allocs/op
Benchmark/10000-4      	     500	   2570521 ns/op	 2691632 B/op	   70042 allocs/op
Benchmark/10000-4      	     500	   2579542 ns/op	 2691632 B/op	   70042 allocs/op
Benchmark/10000-4      	     500	   2590391 ns/op	 2691632 B/op	   70042 allocs/op
Benchmark/10000-4      	     500	   2565754 ns/op	 2691632 B/op	   70042 allocs/op
Benchmark/100000-4     	      50	  30880693 ns/op	23781680 B/op	  700054 allocs/op
Benchmark/100000-4     	      50	  30859385 ns/op	23781680 B/op	  700054 allocs/op
Benchmark/100000-4     	      50	  31504238 ns/op	23781680 B/op	  700054 allocs/op
Benchmark/100000-4     	      50	  30931166 ns/op	23781680 B/op	  700054 allocs/op
Benchmark/100000-4     	      50	  30571524 ns/op	23781680 B/op	  700054 allocs/op
Benchmark/100000-4     	      50	  31743475 ns/op	23781680 B/op	  700054 allocs/op
Benchmark/100000-4     	      50	  31617985 ns/op	23781680 B/op	  700054 allocs/op
Benchmark/100000-4     	      50	  30831865 ns/op	23781680 B/op	  700054 allocs/op
Benchmark/100000-4     	      50	  30346227 ns/op	23781681 B/op	  700054 allocs/op
Benchmark/100000-4     	      50	  31281872 ns/op	23781680 B/op	  700054 allocs/op
Benchmark/1000000-4    	       5	 321116918 ns/op	212662064 B/op	 7000066 allocs/op
Benchmark/1000000-4    	       5	 325556540 ns/op	212662064 B/op	 7000066 allocs/op
Benchmark/1000000-4    	       5	 325605041 ns/op	212662064 B/op	 7000066 allocs/op
Benchmark/1000000-4    	       5	 325337158 ns/op	212662064 B/op	 7000066 allocs/op
