goos: darwin
goarch: amd64
pkg: github.com/ef-ds/deque-bench-tests
cpu: Intel(R) Core(TM) i5-7267U CPU @ 3.10GHz
BenchmarkFillGammazeroQueue/0-4         	27841816	        40.59 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillGammazeroQueue/0-4         	29334966	        40.28 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillGammazeroQueue/0-4         	28661168	        40.17 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillGammazeroQueue/0-4         	28741084	        39.94 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillGammazeroQueue/0-4         	28604473	        39.94 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillGammazeroQueue/0-4         	28832248	        47.58 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillGammazeroQueue/0-4         	29033149	        41.85 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillGammazeroQueue/0-4         	29656587	        42.29 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillGammazeroQueue/0-4         	25853215	        44.32 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillGammazeroQueue/0-4         	28445844	        40.02 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillGammazeroQueue/1-4         	 7580176	       175.9 ns/op	     320 B/op	       3 allocs/op
BenchmarkFillGammazeroQueue/1-4         	 7122014	       163.3 ns/op	     320 B/op	       3 allocs/op
BenchmarkFillGammazeroQueue/1-4         	 6743433	       166.2 ns/op	     320 B/op	       3 allocs/op
BenchmarkFillGammazeroQueue/1-4         	 7712409	       159.6 ns/op	     320 B/op	       3 allocs/op
BenchmarkFillGammazeroQueue/1-4         	 7699669	       178.9 ns/op	     320 B/op	       3 allocs/op
BenchmarkFillGammazeroQueue/1-4         	 6743977	       168.1 ns/op	     320 B/op	       3 allocs/op
BenchmarkFillGammazeroQueue/1-4         	 7441292	       175.4 ns/op	     320 B/op	       3 allocs/op
BenchmarkFillGammazeroQueue/1-4         	 7522478	       153.7 ns/op	     320 B/op	       3 allocs/op
BenchmarkFillGammazeroQueue/1-4         	 7743700	       171.8 ns/op	     320 B/op	       3 allocs/op
BenchmarkFillGammazeroQueue/1-4         	 7742996	       155.4 ns/op	     320 B/op	       3 allocs/op
