goos: darwin
goarch: amd64
pkg: github.com/ef-ds/deque-bench-tests
cpu: Intel(R) Core(TM) i5-7267U CPU @ 3.10GHz
BenchmarkFillGostlQueue/0-4         	14197327	        82.55 ns/op	      88 B/op	       2 allocs/op
BenchmarkFillGostlQueue/0-4         	14358382	        82.36 ns/op	      88 B/op	       2 allocs/op
BenchmarkFillGostlQueue/0-4         	14305154	        82.61 ns/op	      88 B/op	       2 allocs/op
BenchmarkFillGostlQueue/0-4         	14455777	        82.78 ns/op	      88 B/op	       2 allocs/op
BenchmarkFillGostlQueue/0-4         	14356264	        82.68 ns/op	      88 B/op	       2 allocs/op
BenchmarkFillGostlQueue/0-4         	13947459	        82.47 ns/op	      88 B/op	       2 allocs/op
BenchmarkFillGostlQueue/0-4         	14249440	        82.30 ns/op	      88 B/op	       2 allocs/op
BenchmarkFillGostlQueue/0-4         	14400255	        83.16 ns/op	      88 B/op	       2 allocs/op
BenchmarkFillGostlQueue/0-4         	14437819	        86.94 ns/op	      88 B/op	       2 allocs/op
BenchmarkFillGostlQueue/0-4         	13566396	        85.04 ns/op	      88 B/op	       2 allocs/op
BenchmarkFillGostlQueue/1-4         	 2071796	       575.7 ns/op	    1216 B/op	       9 allocs/op
BenchmarkFillGostlQueue/1-4         	 2064022	       576.6 ns/op	    1216 B/op	       9 allocs/op
BenchmarkFillGostlQueue/1-4         	 2080802	       576.7 ns/op	    1216 B/op	       9 allocs/op
BenchmarkFillGostlQueue/1-4         	 2081845	       574.1 ns/op	    1216 B/op	       9 allocs/op
BenchmarkFillGostlQueue/1-4         	 2067158	       578.7 ns/op	    1216 B/op	       9 allocs/op
BenchmarkFillGostlQueue/1-4         	 2082223	       576.6 ns/op	    1216 B/op	       9 allocs/op
BenchmarkFillGostlQueue/1-4         	 2071513	       574.3 ns/op	    1216 B/op	       9 allocs/op
BenchmarkFillGostlQueue/1-4         	 2074339	       579.2 ns/op	    1216 B/op	       9 allocs/op
BenchmarkFillGostlQueue/1-4         	 2087724	       575.1 ns/op	    1216 B/op	       9 allocs/op
BenchmarkFillGostlQueue/1-4         	 2081865	       581.6 ns/op	    1216 B/op	       9 allocs/op
BenchmarkFillGostlQueue/10-4        	  847700	      1362 ns/op	    1360 B/op	      18 allocs/op
BenchmarkFillGostlQueue/10-4        	  857718	      1356 ns/op	    1360 B/op	      18 allocs/op
BenchmarkFillGostlQueue/10-4        	  825332	      1354 ns/op	    1360 B/op	      18 allocs/op
BenchmarkFillGostlQueue/10-4        	  838621	      1356 ns/op	    1360 B/op	      18 allocs/op
BenchmarkFillGostlQueue/10-4        	  865153	      1362 ns/op	    1360 B/op	      18 allocs/op
BenchmarkFillGostlQueue/10-4        	  868926	      1346 ns/op	    1360 B/op	      18 allocs/op
BenchmarkFillGostlQueue/10-4        	  857313	      1350 ns/op	    1360 B/op	      18 allocs/op
BenchmarkFillGostlQueue/10-4        	  868359	      1355 ns/op	    1360 B/op	      18 allocs/op
BenchmarkFillGostlQueue/10-4        	  828289	      1350 ns/op	    1360 B/op	      18 allocs/op
BenchmarkFillGostlQueue/10-4        	  861782	      1352 ns/op	    1360 B/op	      18 allocs/op
BenchmarkFillGostlQueue/100-4       	  134390	      8799 ns/op	    2800 B/op	     108 allocs/op
BenchmarkFillGostlQueue/100-4       	  131667	      9128 ns/op	    2800 B/op	     108 allocs/op
BenchmarkFillGostlQueue/100-4       	  130909	      8913 ns/op	    2800 B/op	     108 allocs/op
BenchmarkFillGostlQueue/100-4       	  134652	      8911 ns/op	    2800 B/op	     108 allocs/op
BenchmarkFillGostlQueue/100-4       	  134878	      8877 ns/op	    2800 B/op	     108 allocs/op
BenchmarkFillGostlQueue/100-4       	  132039	      8925 ns/op	    2800 B/op	     108 allocs/op
BenchmarkFillGostlQueue/100-4       	  133663	      8794 ns/op	    2800 B/op	     108 allocs/op
BenchmarkFillGostlQueue/100-4       	  132657	      8772 ns/op	    2800 B/op	     108 allocs/op
BenchmarkFillGostlQueue/100-4       	  134722	      8809 ns/op	    2800 B/op	     108 allocs/op
BenchmarkFillGostlQueue/100-4       	  134968	      8820 ns/op	    2800 B/op	     108 allocs/op
BenchmarkFillGostlQueue/1000-4      	   13779	     87126 ns/op	   25208 B/op	    1034 allocs/op
BenchmarkFillGostlQueue/1000-4      	   13834	     86121 ns/op	   25208 B/op	    1034 allocs/op
BenchmarkFillGostlQueue/1000-4      	   13789	     86421 ns/op	   25208 B/op	    1034 allocs/op
BenchmarkFillGostlQueue/1000-4      	   13756	     86396 ns/op	   25208 B/op	    1034 allocs/op
BenchmarkFillGostlQueue/1000-4      	   13724	     86346 ns/op	   25208 B/op	    1034 allocs/op
BenchmarkFillGostlQueue/1000-4      	   13820	     86121 ns/op	   25208 B/op	    1034 allocs/op
BenchmarkFillGostlQueue/1000-4      	   13830	     86223 ns/op	   25208 B/op	    1034 allocs/op
BenchmarkFillGostlQueue/1000-4      	   13861	     91808 ns/op	   25208 B/op	    1034 allocs/op
BenchmarkFillGostlQueue/1000-4      	   13872	     86129 ns/op	   25208 B/op	    1034 allocs/op
BenchmarkFillGostlQueue/1000-4      	   13766	     88381 ns/op	   25208 B/op	    1034 allocs/op
BenchmarkFillGostlQueue/10000-4     	    1364	    861189 ns/op	  249944 B/op	   10199 allocs/op
BenchmarkFillGostlQueue/10000-4     	    1369	    861512 ns/op	  249944 B/op	   10199 allocs/op
BenchmarkFillGostlQueue/10000-4     	    1371	    870166 ns/op	  249944 B/op	   10199 allocs/op
BenchmarkFillGostlQueue/10000-4     	    1380	    852676 ns/op	  249944 B/op	   10199 allocs/op
BenchmarkFillGostlQueue/10000-4     	    1344	    914094 ns/op	  249944 B/op	   10199 allocs/op
BenchmarkFillGostlQueue/10000-4     	    1356	    854224 ns/op	  249944 B/op	   10199 allocs/op
BenchmarkFillGostlQueue/10000-4     	    1357	    859051 ns/op	  249944 B/op	   10199 allocs/op
BenchmarkFillGostlQueue/10000-4     	    1346	    871617 ns/op	  249944 B/op	   10199 allocs/op
BenchmarkFillGostlQueue/10000-4     	    1327	    887699 ns/op	  249944 B/op	   10199 allocs/op
BenchmarkFillGostlQueue/10000-4     	    1345	    880607 ns/op	  249944 B/op	   10199 allocs/op
BenchmarkFillGostlQueue/100000-4    	     128	   9209429 ns/op	 2484877 B/op	  101629 allocs/op
BenchmarkFillGostlQueue/100000-4    	     127	   9249694 ns/op	 2484876 B/op	  101629 allocs/op
BenchmarkFillGostlQueue/100000-4    	     128	   9308858 ns/op	 2484872 B/op	  101629 allocs/op
BenchmarkFillGostlQueue/100000-4    	     127	   9270715 ns/op	 2484880 B/op	  101629 allocs/op
BenchmarkFillGostlQueue/100000-4    	     128	   9191691 ns/op	 2484878 B/op	  101629 allocs/op
BenchmarkFillGostlQueue/100000-4    	     128	   9202919 ns/op	 2484877 B/op	  101629 allocs/op
BenchmarkFillGostlQueue/100000-4    	     129	   9209449 ns/op	 2484874 B/op	  101629 allocs/op
BenchmarkFillGostlQueue/100000-4    	     128	   9259826 ns/op	 2484875 B/op	  101629 allocs/op
BenchmarkFillGostlQueue/100000-4    	     128	   9223059 ns/op	 2484884 B/op	  101629 allocs/op
BenchmarkFillGostlQueue/100000-4    	     128	   9256105 ns/op	 2484881 B/op	  101629 allocs/op
BenchmarkFillGostlQueue/1000000-4   	      12	  95284094 ns/op	24835384 B/op	 1015721 allocs/op
BenchmarkFillGostlQueue/1000000-4   	      12	  97284707 ns/op	24835368 B/op	 1015721 allocs/op
BenchmarkFillGostlQueue/1000000-4   	      12	  98183890 ns/op	24835416 B/op	 1015721 allocs/op
BenchmarkFillGostlQueue/1000000-4   	      12	  98220752 ns/op	24835392 B/op	 1015721 allocs/op
BenchmarkFillGostlQueue/1000000-4   	      12	  97474735 ns/op	24835408 B/op	 1015721 allocs/op
BenchmarkFillGostlQueue/1000000-4   	      12	  96642060 ns/op	24835424 B/op	 1015721 allocs/op
BenchmarkFillGostlQueue/1000000-4   	      12	  96529680 ns/op	24835384 B/op	 1015721 allocs/op
BenchmarkFillGostlQueue/1000000-4   	      12	  99570875 ns/op	24835384 B/op	 1015721 allocs/op
BenchmarkFillGostlQueue/1000000-4   	      12	  97619416 ns/op	24835360 B/op	 1015721 allocs/op
BenchmarkFillGostlQueue/1000000-4   	      12	  97277595 ns/op	24835368 B/op	 1015721 allocs/op
BenchmarkFillGostlStack/0-4         	14210276	        83.23 ns/op	      88 B/op	       2 allocs/op
BenchmarkFillGostlStack/0-4         	14183928	        83.00 ns/op	      88 B/op	       2 allocs/op
BenchmarkFillGostlStack/0-4         	14304792	        82.96 ns/op	      88 B/op	       2 allocs/op
BenchmarkFillGostlStack/0-4         	13867857	        82.61 ns/op	      88 B/op	       2 allocs/op
BenchmarkFillGostlStack/0-4         	14328051	        83.41 ns/op	      88 B/op	       2 allocs/op
BenchmarkFillGostlStack/0-4         	14225827	        85.49 ns/op	      88 B/op	       2 allocs/op
BenchmarkFillGostlStack/0-4         	14282061	        82.59 ns/op	      88 B/op	       2 allocs/op
BenchmarkFillGostlStack/0-4         	14180859	        83.84 ns/op	      88 B/op	       2 allocs/op
BenchmarkFillGostlStack/0-4         	14283597	        83.81 ns/op	      88 B/op	       2 allocs/op
BenchmarkFillGostlStack/0-4         	13825671	        84.31 ns/op	      88 B/op	       2 allocs/op
BenchmarkFillGostlStack/1-4         	 2052613	       579.6 ns/op	    1216 B/op	       9 allocs/op
BenchmarkFillGostlStack/1-4         	 2054803	       582.3 ns/op	    1216 B/op	       9 allocs/op
BenchmarkFillGostlStack/1-4         	 2061217	       581.7 ns/op	    1216 B/op	       9 allocs/op
BenchmarkFillGostlStack/1-4         	 2063583	       587.9 ns/op	    1216 B/op	       9 allocs/op
BenchmarkFillGostlStack/1-4         	 2038693	       582.0 ns/op	    1216 B/op	       9 allocs/op
BenchmarkFillGostlStack/1-4         	 1997964	       580.3 ns/op	    1216 B/op	       9 allocs/op
BenchmarkFillGostlStack/1-4         	 2057182	       583.6 ns/op	    1216 B/op	       9 allocs/op
BenchmarkFillGostlStack/1-4         	 2058445	       581.3 ns/op	    1216 B/op	       9 allocs/op
BenchmarkFillGostlStack/1-4         	 2063600	       582.3 ns/op	    1216 B/op	       9 allocs/op
BenchmarkFillGostlStack/1-4         	 2021013	       586.9 ns/op	    1216 B/op	       9 allocs/op
BenchmarkFillGostlStack/10-4        	  791966	      1458 ns/op	    1360 B/op	      18 allocs/op
BenchmarkFillGostlStack/10-4        	  789348	      1474 ns/op	    1360 B/op	      18 allocs/op
BenchmarkFillGostlStack/10-4        	  795777	      1461 ns/op	    1360 B/op	      18 allocs/op
BenchmarkFillGostlStack/10-4        	  803001	      1459 ns/op	    1360 B/op	      18 allocs/op
BenchmarkFillGostlStack/10-4        	  784494	      1537 ns/op	    1360 B/op	      18 allocs/op
BenchmarkFillGostlStack/10-4        	  757194	      1471 ns/op	    1360 B/op	      18 allocs/op
BenchmarkFillGostlStack/10-4        	  786601	      1471 ns/op	    1360 B/op	      18 allocs/op
BenchmarkFillGostlStack/10-4        	  806127	      1475 ns/op	    1360 B/op	      18 allocs/op
BenchmarkFillGostlStack/10-4        	  777801	      1465 ns/op	    1360 B/op	      18 allocs/op
BenchmarkFillGostlStack/10-4        	  787414	      1461 ns/op	    1360 B/op	      18 allocs/op
BenchmarkFillGostlStack/100-4       	  118938	      9967 ns/op	    2800 B/op	     108 allocs/op
BenchmarkFillGostlStack/100-4       	  117336	     10058 ns/op	    2800 B/op	     108 allocs/op
