goos: darwin
goarch: amd64
pkg: github.com/ef-ds/deque-bench-tests
cpu: Intel(R) Core(TM) i5-7267U CPU @ 3.10GHz
BenchmarkFillImpl7Queue/0-4         	27607797	        40.18 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillImpl7Queue/0-4         	28303815	        41.92 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillImpl7Queue/0-4         	28896832	        41.22 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillImpl7Queue/0-4         	28715383	        40.00 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillImpl7Queue/0-4         	28425159	        40.07 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillImpl7Queue/0-4         	28436044	        40.10 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillImpl7Queue/0-4         	28567263	        40.78 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillImpl7Queue/0-4         	28301058	        40.27 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillImpl7Queue/0-4         	28468322	        42.79 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillImpl7Queue/0-4         	27910392	        43.21 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillImpl7Queue/1-4         	 8420192	       142.0 ns/op	     112 B/op	       4 allocs/op
BenchmarkFillImpl7Queue/1-4         	 8433901	       142.2 ns/op	     112 B/op	       4 allocs/op
BenchmarkFillImpl7Queue/1-4         	 8423319	       141.8 ns/op	     112 B/op	       4 allocs/op
BenchmarkFillImpl7Queue/1-4         	 8311575	       141.8 ns/op	     112 B/op	       4 allocs/op
BenchmarkFillImpl7Queue/1-4         	 8484510	       141.4 ns/op	     112 B/op	       4 allocs/op
BenchmarkFillImpl7Queue/1-4         	 8283547	       141.9 ns/op	     112 B/op	       4 allocs/op
BenchmarkFillImpl7Queue/1-4         	 8495946	       141.8 ns/op	     112 B/op	       4 allocs/op
BenchmarkFillImpl7Queue/1-4         	 8403987	       141.2 ns/op	     112 B/op	       4 allocs/op
BenchmarkFillImpl7Queue/1-4         	 8357067	       141.7 ns/op	     112 B/op	       4 allocs/op
BenchmarkFillImpl7Queue/1-4         	 8432008	       143.4 ns/op	     112 B/op	       4 allocs/op
BenchmarkFillImpl7Queue/10-4        	 1582633	       795.6 ns/op	     736 B/op	      17 allocs/op
BenchmarkFillImpl7Queue/10-4        	 1592068	       747.7 ns/op	     736 B/op	      17 allocs/op
BenchmarkFillImpl7Queue/10-4        	 1584757	       749.9 ns/op	     736 B/op	      17 allocs/op
BenchmarkFillImpl7Queue/10-4        	 1585466	       753.7 ns/op	     736 B/op	      17 allocs/op
BenchmarkFillImpl7Queue/10-4        	 1588222	       747.4 ns/op	     736 B/op	      17 allocs/op
BenchmarkFillImpl7Queue/10-4        	 1593242	       746.6 ns/op	     736 B/op	      17 allocs/op
BenchmarkFillImpl7Queue/10-4        	 1585132	       748.0 ns/op	     736 B/op	      17 allocs/op
BenchmarkFillImpl7Queue/10-4        	 1589298	       745.7 ns/op	     736 B/op	      17 allocs/op
BenchmarkFillImpl7Queue/10-4        	 1569745	       746.7 ns/op	     736 B/op	      17 allocs/op
BenchmarkFillImpl7Queue/10-4        	 1593120	       746.5 ns/op	     736 B/op	      17 allocs/op
BenchmarkFillImpl7Queue/100-4       	  293942	      4050 ns/op	    4256 B/op	     109 allocs/op
BenchmarkFillImpl7Queue/100-4       	  276922	      4073 ns/op	    4256 B/op	     109 allocs/op
BenchmarkFillImpl7Queue/100-4       	  285166	      4072 ns/op	    4256 B/op	     109 allocs/op
BenchmarkFillImpl7Queue/100-4       	  278618	      4084 ns/op	    4256 B/op	     109 allocs/op
BenchmarkFillImpl7Queue/100-4       	  277557	      4076 ns/op	    4256 B/op	     109 allocs/op
BenchmarkFillImpl7Queue/100-4       	  281040	      4062 ns/op	    4256 B/op	     109 allocs/op
BenchmarkFillImpl7Queue/100-4       	  282594	      4063 ns/op	    4256 B/op	     109 allocs/op
BenchmarkFillImpl7Queue/100-4       	  284869	      4091 ns/op	    4256 B/op	     109 allocs/op
BenchmarkFillImpl7Queue/100-4       	  272498	      4058 ns/op	    4256 B/op	     109 allocs/op
BenchmarkFillImpl7Queue/100-4       	  283701	      4039 ns/op	    4256 B/op	     109 allocs/op
BenchmarkFillImpl7Queue/1000-4      	   34083	     35498 ns/op	   33216 B/op	    1023 allocs/op
BenchmarkFillImpl7Queue/1000-4      	   34092	     35388 ns/op	   33216 B/op	    1023 allocs/op
BenchmarkFillImpl7Queue/1000-4      	   33936	     35271 ns/op	   33216 B/op	    1023 allocs/op
BenchmarkFillImpl7Queue/1000-4      	   33763	     35390 ns/op	   33216 B/op	    1023 allocs/op
BenchmarkFillImpl7Queue/1000-4      	   33924	     35459 ns/op	   33216 B/op	    1023 allocs/op
BenchmarkFillImpl7Queue/1000-4      	   33975	     35483 ns/op	   33216 B/op	    1023 allocs/op
BenchmarkFillImpl7Queue/1000-4      	   33768	     35519 ns/op	   33216 B/op	    1023 allocs/op
BenchmarkFillImpl7Queue/1000-4      	   33891	     35357 ns/op	   33216 B/op	    1023 allocs/op
BenchmarkFillImpl7Queue/1000-4      	   34042	     35907 ns/op	   33216 B/op	    1023 allocs/op
BenchmarkFillImpl7Queue/1000-4      	   33620	     35425 ns/op	   33216 B/op	    1023 allocs/op
BenchmarkFillImpl7Queue/10000-4     	    3141	    358261 ns/op	  322817 B/op	   10163 allocs/op
BenchmarkFillImpl7Queue/10000-4     	    3201	    357701 ns/op	  322816 B/op	   10163 allocs/op
BenchmarkFillImpl7Queue/10000-4     	    3163	    357673 ns/op	  322816 B/op	   10163 allocs/op
BenchmarkFillImpl7Queue/10000-4     	    3199	    369574 ns/op	  322817 B/op	   10163 allocs/op
BenchmarkFillImpl7Queue/10000-4     	    3223	    358924 ns/op	  322816 B/op	   10163 allocs/op
BenchmarkFillImpl7Queue/10000-4     	    3076	    359458 ns/op	  322816 B/op	   10163 allocs/op
BenchmarkFillImpl7Queue/10000-4     	    3228	    356084 ns/op	  322816 B/op	   10163 allocs/op
BenchmarkFillImpl7Queue/10000-4     	    3118	    357425 ns/op	  322816 B/op	   10163 allocs/op
BenchmarkFillImpl7Queue/10000-4     	    3120	    357758 ns/op	  322816 B/op	   10163 allocs/op
BenchmarkFillImpl7Queue/10000-4     	    3248	    361359 ns/op	  322816 B/op	   10163 allocs/op
BenchmarkFillImpl7Queue/100000-4    	     330	   3863747 ns/op	 3227144 B/op	  101571 allocs/op
BenchmarkFillImpl7Queue/100000-4    	     328	   3635232 ns/op	 3227144 B/op	  101571 allocs/op
BenchmarkFillImpl7Queue/100000-4    	     330	   3656422 ns/op	 3227140 B/op	  101571 allocs/op
BenchmarkFillImpl7Queue/100000-4    	     327	   3641912 ns/op	 3227145 B/op	  101571 allocs/op
