goos: darwin
goarch: amd64
pkg: github.com/ef-ds/deque-bench-tests
cpu: Intel(R) Core(TM) i5-7267U CPU @ 3.10GHz
BenchmarkFillPhfQueue/0-4         	15948807	        77.88 ns/op	      64 B/op	       2 allocs/op
BenchmarkFillPhfQueue/0-4         	15679194	        73.28 ns/op	      64 B/op	       2 allocs/op
BenchmarkFillPhfQueue/0-4         	16293163	        74.16 ns/op	      64 B/op	       2 allocs/op
BenchmarkFillPhfQueue/0-4         	15370810	        74.13 ns/op	      64 B/op	       2 allocs/op
BenchmarkFillPhfQueue/0-4         	15954811	        74.03 ns/op	      64 B/op	       2 allocs/op
BenchmarkFillPhfQueue/0-4         	16144636	        72.87 ns/op	      64 B/op	       2 allocs/op
BenchmarkFillPhfQueue/0-4         	15815121	        73.57 ns/op	      64 B/op	       2 allocs/op
BenchmarkFillPhfQueue/0-4         	16225236	        73.30 ns/op	      64 B/op	       2 allocs/op
BenchmarkFillPhfQueue/0-4         	16182476	        72.96 ns/op	      64 B/op	       2 allocs/op
BenchmarkFillPhfQueue/0-4         	16136703	        73.58 ns/op	      64 B/op	       2 allocs/op
BenchmarkFillPhfQueue/1-4         	10809074	       109.3 ns/op	      80 B/op	       3 allocs/op
BenchmarkFillPhfQueue/1-4         	10953344	       108.5 ns/op	      80 B/op	       3 allocs/op
BenchmarkFillPhfQueue/1-4         	10969935	       110.6 ns/op	      80 B/op	       3 allocs/op
BenchmarkFillPhfQueue/1-4         	10948210	       108.7 ns/op	      80 B/op	       3 allocs/op
BenchmarkFillPhfQueue/1-4         	10791193	       109.0 ns/op	      80 B/op	       3 allocs/op
BenchmarkFillPhfQueue/1-4         	11006498	       108.9 ns/op	      80 B/op	       3 allocs/op
BenchmarkFillPhfQueue/1-4         	10653668	       108.6 ns/op	      80 B/op	       3 allocs/op
BenchmarkFillPhfQueue/1-4         	10946391	       108.7 ns/op	      80 B/op	       3 allocs/op
BenchmarkFillPhfQueue/1-4         	11002180	       108.7 ns/op	      80 B/op	       3 allocs/op
BenchmarkFillPhfQueue/1-4         	10917115	       108.9 ns/op	      80 B/op	       3 allocs/op
BenchmarkFillPhfQueue/10-4        	 1479736	       790.8 ns/op	     832 B/op	      17 allocs/op
BenchmarkFillPhfQueue/10-4        	 1496965	       791.5 ns/op	     832 B/op	      17 allocs/op
BenchmarkFillPhfQueue/10-4        	 1497003	       787.6 ns/op	     832 B/op	      17 allocs/op
BenchmarkFillPhfQueue/10-4        	 1511106	       793.8 ns/op	     832 B/op	      17 allocs/op
BenchmarkFillPhfQueue/10-4        	 1508145	       790.5 ns/op	     832 B/op	      17 allocs/op
BenchmarkFillPhfQueue/10-4        	 1510352	       787.8 ns/op	     832 B/op	      17 allocs/op
BenchmarkFillPhfQueue/10-4        	 1508683	       783.5 ns/op	     832 B/op	      17 allocs/op
BenchmarkFillPhfQueue/10-4        	 1506547	       787.2 ns/op	     832 B/op	      17 allocs/op
BenchmarkFillPhfQueue/10-4        	 1505866	       785.5 ns/op	     832 B/op	      17 allocs/op
BenchmarkFillPhfQueue/10-4        	 1506844	       789.8 ns/op	     832 B/op	      17 allocs/op
BenchmarkFillPhfQueue/100-4       	  229393	      5149 ns/op	    7648 B/op	     113 allocs/op
BenchmarkFillPhfQueue/100-4       	  232651	      5076 ns/op	    7648 B/op	     113 allocs/op
BenchmarkFillPhfQueue/100-4       	  228339	      5089 ns/op	    7648 B/op	     113 allocs/op
BenchmarkFillPhfQueue/100-4       	  228246	      5121 ns/op	    7648 B/op	     113 allocs/op
BenchmarkFillPhfQueue/100-4       	  230544	      5110 ns/op	    7648 B/op	     113 allocs/op
BenchmarkFillPhfQueue/100-4       	  228974	      5086 ns/op	    7648 B/op	     113 allocs/op
BenchmarkFillPhfQueue/100-4       	  224395	      5160 ns/op	    7648 B/op	     113 allocs/op
BenchmarkFillPhfQueue/100-4       	  226147	      5118 ns/op	    7648 B/op	     113 allocs/op
BenchmarkFillPhfQueue/100-4       	  225090	      5084 ns/op	    7648 B/op	     113 allocs/op
BenchmarkFillPhfQueue/100-4       	  223279	      5178 ns/op	    7648 B/op	     113 allocs/op
BenchmarkFillPhfQueue/1000-4      	   28497	     42341 ns/op	   65056 B/op	    1019 allocs/op
BenchmarkFillPhfQueue/1000-4      	   28560	     44435 ns/op	   65056 B/op	    1019 allocs/op
BenchmarkFillPhfQueue/1000-4      	   28208	     42080 ns/op	   65056 B/op	    1019 allocs/op
BenchmarkFillPhfQueue/1000-4      	   28628	     42186 ns/op	   65056 B/op	    1019 allocs/op
BenchmarkFillPhfQueue/1000-4      	   28686	     41883 ns/op	   65056 B/op	    1019 allocs/op
BenchmarkFillPhfQueue/1000-4      	   28903	     41835 ns/op	   65056 B/op	    1019 allocs/op
BenchmarkFillPhfQueue/1000-4      	   28795	     42020 ns/op	   65056 B/op	    1019 allocs/op
BenchmarkFillPhfQueue/1000-4      	   28671	     42037 ns/op	   65056 B/op	    1019 allocs/op
BenchmarkFillPhfQueue/1000-4      	   28684	     41937 ns/op	   65056 B/op	    1019 allocs/op
BenchmarkFillPhfQueue/1000-4      	   28779	     41922 ns/op	   65056 B/op	    1019 allocs/op
BenchmarkFillPhfQueue/10000-4     	    2454	    468123 ns/op	  946340 B/op	   10027 allocs/op
