goos: darwin
goarch: amd64
pkg: github.com/ef-ds/deque-bench-tests
cpu: Intel(R) Core(TM) i5-7267U CPU @ 3.10GHz
BenchmarkFillSliceQueue/0-4         	28661444	        40.41 ns/op	      24 B/op	       1 allocs/op
BenchmarkFillSliceQueue/0-4         	29135476	        40.00 ns/op	      24 B/op	       1 allocs/op
BenchmarkFillSliceQueue/0-4         	28295826	        39.94 ns/op	      24 B/op	       1 allocs/op
BenchmarkFillSliceQueue/0-4         	29141712	        41.23 ns/op	      24 B/op	       1 allocs/op
BenchmarkFillSliceQueue/0-4         	28093707	        44.91 ns/op	      24 B/op	       1 allocs/op
BenchmarkFillSliceQueue/0-4         	28429251	        40.12 ns/op	      24 B/op	       1 allocs/op
BenchmarkFillSliceQueue/0-4         	29525889	        39.89 ns/op	      24 B/op	       1 allocs/op
BenchmarkFillSliceQueue/0-4         	27343090	        39.69 ns/op	      24 B/op	       1 allocs/op
BenchmarkFillSliceQueue/0-4         	29190573	        42.60 ns/op	      24 B/op	       1 allocs/op
BenchmarkFillSliceQueue/0-4         	26963223	        39.61 ns/op	      24 B/op	       1 allocs/op
BenchmarkFillSliceQueue/1-4         	11572753	       103.8 ns/op	      48 B/op	       3 allocs/op
BenchmarkFillSliceQueue/1-4         	11349939	       103.7 ns/op	      48 B/op	       3 allocs/op
BenchmarkFillSliceQueue/1-4         	11431408	       105.7 ns/op	      48 B/op	       3 allocs/op
BenchmarkFillSliceQueue/1-4         	11468564	       103.2 ns/op	      48 B/op	       3 allocs/op
BenchmarkFillSliceQueue/1-4         	11461104	       103.2 ns/op	      48 B/op	       3 allocs/op
BenchmarkFillSliceQueue/1-4         	11573958	       103.2 ns/op	      48 B/op	       3 allocs/op
BenchmarkFillSliceQueue/1-4         	11603706	       102.8 ns/op	      48 B/op	       3 allocs/op
BenchmarkFillSliceQueue/1-4         	11535330	       104.0 ns/op	      48 B/op	       3 allocs/op
BenchmarkFillSliceQueue/1-4         	11506401	       103.8 ns/op	      48 B/op	       3 allocs/op
BenchmarkFillSliceQueue/1-4         	11398921	       104.2 ns/op	      48 B/op	       3 allocs/op
BenchmarkFillSliceQueue/10-4        	 1837644	       638.5 ns/op	     432 B/op	      16 allocs/op
BenchmarkFillSliceQueue/10-4        	 1851026	       639.1 ns/op	     432 B/op	      16 allocs/op
BenchmarkFillSliceQueue/10-4        	 1793820	       699.4 ns/op	     432 B/op	      16 allocs/op
BenchmarkFillSliceQueue/10-4        	 1842774	       664.0 ns/op	     432 B/op	      16 allocs/op
BenchmarkFillSliceQueue/10-4        	 1852570	       643.1 ns/op	     432 B/op	      16 allocs/op
BenchmarkFillSliceQueue/10-4        	 1877932	       637.7 ns/op	     432 B/op	      16 allocs/op
BenchmarkFillSliceQueue/10-4        	 1867612	       637.2 ns/op	     432 B/op	      16 allocs/op
BenchmarkFillSliceQueue/10-4        	 1869518	       636.5 ns/op	     432 B/op	      16 allocs/op
BenchmarkFillSliceQueue/10-4        	 1865527	       646.4 ns/op	     432 B/op	      16 allocs/op
BenchmarkFillSliceQueue/10-4        	 1869782	       643.6 ns/op	     432 B/op	      16 allocs/op
BenchmarkFillSliceQueue/100-4       	  288097	      3990 ns/op	    3664 B/op	     109 allocs/op
BenchmarkFillSliceQueue/100-4       	  289971	      4036 ns/op	    3664 B/op	     109 allocs/op
BenchmarkFillSliceQueue/100-4       	  287977	      3981 ns/op	    3664 B/op	     109 allocs/op
BenchmarkFillSliceQueue/100-4       	  298375	      3999 ns/op	    3664 B/op	     109 allocs/op
BenchmarkFillSliceQueue/100-4       	  294189	      3966 ns/op	    3664 B/op	     109 allocs/op
BenchmarkFillSliceQueue/100-4       	  293662	      3993 ns/op	    3664 B/op	     109 allocs/op
BenchmarkFillSliceQueue/100-4       	  293508	      3971 ns/op	    3664 B/op	     109 allocs/op
BenchmarkFillSliceQueue/100-4       	  291010	      3955 ns/op	    3664 B/op	     109 allocs/op
BenchmarkFillSliceQueue/100-4       	  296212	      3966 ns/op	    3664 B/op	     109 allocs/op
BenchmarkFillSliceQueue/100-4       	  288240	      4061 ns/op	    3664 B/op	     109 allocs/op
BenchmarkFillSliceQueue/1000-4      	   34254	     35405 ns/op	   41232 B/op	    1013 allocs/op
BenchmarkFillSliceQueue/1000-4      	   34322	     35110 ns/op	   41232 B/op	    1013 allocs/op
BenchmarkFillSliceQueue/1000-4      	   33991	     35019 ns/op	   41232 B/op	    1013 allocs/op
BenchmarkFillSliceQueue/1000-4      	   34384	     35126 ns/op	   41232 B/op	    1013 allocs/op
BenchmarkFillSliceQueue/1000-4      	   34404	     35050 ns/op	   41232 B/op	    1013 allocs/op
BenchmarkFillSliceQueue/1000-4      	   34284	     35198 ns/op	   41232 B/op	    1013 allocs/op
BenchmarkFillSliceQueue/1000-4      	   34089	     34874 ns/op	   41232 B/op	    1013 allocs/op
BenchmarkFillSliceQueue/1000-4      	   34237	     34976 ns/op	   41232 B/op	    1013 allocs/op
BenchmarkFillSliceQueue/1000-4      	   33160	     35710 ns/op	   41232 B/op	    1013 allocs/op
BenchmarkFillSliceQueue/1000-4      	   33286	     37553 ns/op	   41232 B/op	    1013 allocs/op
BenchmarkFillSliceQueue/10000-4     	    3151	    366049 ns/op	  517648 B/op	   10020 allocs/op
BenchmarkFillSliceQueue/10000-4     	    3121	    367037 ns/op	  517648 B/op	   10020 allocs/op
BenchmarkFillSliceQueue/10000-4     	    2966	    366724 ns/op	  517648 B/op	   10020 allocs/op
BenchmarkFillSliceQueue/10000-4     	    3104	    367313 ns/op	  517648 B/op	   10020 allocs/op
BenchmarkFillSliceQueue/10000-4     	    3260	    363840 ns/op	  517648 B/op	   10020 allocs/op
BenchmarkFillSliceQueue/10000-4     	    3036	    364822 ns/op	  517649 B/op	   10020 allocs/op
BenchmarkFillSliceQueue/10000-4     	    3152	    367794 ns/op	  517648 B/op	   10020 allocs/op
BenchmarkFillSliceQueue/10000-4     	    3129	    380096 ns/op	  517648 B/op	   10020 allocs/op
BenchmarkFillSliceQueue/10000-4     	    3004	    377672 ns/op	  517648 B/op	   10020 allocs/op
BenchmarkFillSliceQueue/10000-4     	    3099	    365812 ns/op	  517648 B/op	   10020 allocs/op
BenchmarkFillSliceQueue/100000-4    	     153	   6724435 ns/op	 5701427 B/op	  100029 allocs/op
